ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,PVEM_PT_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,0,VOTO EN EL EXTRANJERO,0,0,13,22461,2160,1532,0,0,2418,0,0,12926,3045,329,97,31,44999,121,622,45742,50277,
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,347,697,699,66863,23365,6594,0,0,30830,0,0,134814,5914,963,204,99,269646,352,6249,276247,384044,
9,CIUDAD DE MEXICO,3,COYOACAN,403,974,977,129291,38773,23328,0,0,40290,0,0,169818,0,0,0,0,401500,583,16600,418683,572022,
9,CIUDAD DE MEXICO,4,CUAJIMALPA DE MORELOS,79,293,293,43222,14411,2176,0,0,13945,0,0,57696,0,0,0,0,131450,267,4855,136572,188127,
9,CIUDAD DE MEXICO,5,GUSTAVO A. MADERO,866,1856,1864,140876,62452,20216,0,0,76992,0,0,394091,14566,2478,631,300,712602,936,20221,733759,1056400,
9,CIUDAD DE MEXICO,6,IZTACALCO,299,638,640,57041,21282,5929,0,0,27460,0,0,126349,5810,924,401,96,245292,428,6478,252198,364050,
9,CIUDAD DE MEXICO,7,IZTAPALAPA,1011,2568,2583,143442,69987,37076,18355,11724,86388,152199,5406,418950,13303,2310,662,294,960096,1176,42127,1003399,1526203,
9,CIUDAD DE MEXICO,8,LA MAGDALENA CONTRERAS,149,359,360,29751,21845,3612,0,0,13853,0,0,71839,3076,686,110,80,144852,138,4104,149094,212554,
9,CIUDAD DE MEXICO,9,MILPA ALTA,45,183,184,6397,11428,1596,4956,8372,8373,30979,0,0,1176,253,31,47,73608,76,5287,78971,119675,
9,CIUDAD DE MEXICO,10,ALVARO OBREGON,445,1056,1063,128021,33031,12499,0,0,40657,0,0,202887,9325,1541,390,162,428513,529,11313,440355,621043,
9,CIUDAD DE MEXICO,11,TLAHUAC,152,504,506,27981,16812,5667,4561,2329,23703,30155,0,81377,3376,566,146,138,196811,262,8387,205460,318695,
9,CIUDAD DE MEXICO,12,TLALPAN,359,960,966,107394,30775,10707,7991,6027,37026,71304,0,107297,9213,1502,358,150,389744,611,15273,405628,578802,
9,CIUDAD DE MEXICO,13,XOCHIMILCO,177,581,585,54686,19162,6491,0,0,25294,0,0,123376,2066,347,66,26,231514,315,10016,241845,368019,
9,CIUDAD DE MEXICO,14,BENITO JUAREZ,254,644,646,159604,22001,7266,0,0,21410,0,0,72378,2880,543,116,30,286228,520,8557,295305,384081,
9,CIUDAD DE MEXICO,15,CUAUHTEMOC,389,858,861,86959,44875,10603,0,0,32544,0,0,144034,4620,822,206,108,324771,658,12663,338092,493555,
9,CIUDAD DE MEXICO,16,MIGUEL HIDALGO,257,560,562,97229,19158,4950,0,0,18820,0,0,90249,1981,366,73,31,232857,321,6851,240029,329179,
9,CIUDAD DE MEXICO,17,VENUSTIANO CARRANZA,336,700,702,59390,27452,7865,0,0,29250,0,0,142380,6426,1015,195,125,274098,351,7393,281842,404600,
