ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MA,FXMG,PSG,PES,PAC,MLGRO,PBG,REGENERACION,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
12,GUERRERO,36,IGUALA DE LA INDEPENDENCIA,87,205,206,1622,16117,2254,6448,1605,10081,14883,95,,,146,397,443,3016,330,948,136,23,105,1420,271,154,561,61055,13,1804,62872,115920,
12,GUERRERO,37,IGUALAPA,12,17,17,,32,1931,1581,12,149,97,1,,,,14,2,1950,,,,,,,,,,5769,0,292,6061,8812,
12,GUERRERO,38,IXCATEOPAN DE CUAUHTEMOC,11,13,13,2618,43,46,25,22,,262,,,,,11,,22,,,,,,4,1,2,0,3056,3,493,3552,5424,
12,GUERRERO,39,ZIHUATANEJO DE AZUETA,67,171,172,903,23024,1144,985,508,582,22404,,,,517,232,255,,,961,110,15,148,,,,,51788,10,3148,54946,99835,
12,GUERRERO,40,JUAN R. ESCUDERO,24,36,36,198,2459,252,3294,66,3303,975,,,,,35,,,,124,15,0,14,,,,,10735,1,580,11316,18735,
12,GUERRERO,41,LEONARDO BRAVO,22,37,37,3829,663,228,392,316,170,4148,12,,,,,,126,,109,73,31,2,159,24,49,53,10384,1,389,10774,17918,
12,GUERRERO,42,MALINALTEPEC,13,30,30,44,60,232,89,5541,87,2483,,,,669,31,13,883,,0,0,0,0,,,,,10132,0,517,10132,16234,
12,GUERRERO,43,MARTIR DE CUILAPAN,16,27,27,58,1100,3044,397,803,1728,1345,10,,,52,,15,,,39,8,13,37,101,43,40,17,8850,4,526,9380,14825,
12,GUERRERO,44,METLATONOC,16,33,33,8,44,1251,2064,2664,1619,108,31,,,,124,36,26,,,,,,,,,,7975,1,411,7639,14144,
12,GUERRERO,45,MOCHITLAN,16,22,22,62,112,526,3518,35,73,407,,,38,14,104,,29,,25,4,3,5,96,32,3,132,5218,2,309,5529,9328,
12,GUERRERO,46,OLINALA,25,40,40,31,6416,253,128,474,1543,4585,,,,,131,50,52,,120,20,3,34,114,14,37,23,14028,1,469,14498,20948,
12,GUERRERO,47,OMETEPEC,38,91,91,,11748,225,1120,2139,350,15199,36,594,,70,114,235,441,,,,,,386,122,108,133,33020,1,1354,34375,49461,
12,GUERRERO,48,PEDRO ASCENCIO ALQUISIRAS,20,21,21,,144,2372,64,73,,243,,,,,,,25,,,,,,4,2,2,2,2931,0,144,3075,4826,
12,GUERRERO,49,PETATLAN,52,76,77,160,1751,287,284,236,445,12061,,43,,51,259,,,,74,14,5,8,,,,,15678,2,1035,16715,32967,
12,GUERRERO,50,PILCAYA,15,21,21,2819,114,59,2185,199,,917,,,,,,,,98,79,14,7,1,79,18,5,31,6625,9,152,6786,9457,
12,GUERRERO,51,PUNGARABATO,22,53,54,422,7198,504,219,252,,4115,,,,,74,65,,,173,39,1,32,231,49,67,68,13509,3,848,14360,29726,
12,GUERRERO,52,QUECHULTENANGO,40,56,56,,295,10549,241,184,,980,,,223,,95,,,,,,,,56,31,9,17,12680,1,761,13442,24835,
12,GUERRERO,53,SAN LUIS ACATLAN,25,60,61,92,321,2579,1658,5435,3559,4827,,,,,147,,146,,47,3,11,25,,,,,18850,3,1196,18850,32433,
12,GUERRERO,54,SAN MARCOS,39,61,61,52,6431,829,4441,206,475,3331,,42,83,19,113,18,,29,,,,,273,114,23,293,16772,1,904,17677,30312,
12,GUERRERO,55,SAN MIGUEL TOTOLAPAN,37,43,43,18,7585,38,26,4829,63,210,39,,,,,,5,,,,,,,,,,12813,1,624,12813,14253,
12,GUERRERO,56,TAXCO DE ALARCON,88,151,152,9152,4159,1063,1819,1031,6368,13657,429,590,,,152,427,,705,668,207,55,28,529,97,103,224,41463,11,1789,43263,79881,
12,GUERRERO,57,TECOANAPA,39,65,65,3587,408,596,5143,512,8048,2531,,,,,84,,,,145,35,50,9,238,97,22,136,21641,0,928,22569,33002,
12,GUERRERO,58,TECPAN DE GALEANA,66,105,106,381,2168,4575,3249,530,1209,13036,,,,72,134,388,592,,258,18,15,40,581,94,70,274,27684,4,858,28546,50612,
12,GUERRERO,59,TELOLOAPAN,74,101,102,147,578,10131,557,470,,2976,,102,,79,80,,107,,,,,,123,89,42,67,15548,2727,2094,20369,39301,
12,GUERRERO,60,TEPECOACUILCO DE TRUJANO,31,49,50,4570,286,214,217,134,4596,3833,394,,,,64,22,,,134,51,15,2,135,25,33,40,14765,2,502,15269,25049,
12,GUERRERO,61,TETIPAC,23,27,27,215,1431,74,2415,550,55,446,,,,,,,,,126,25,5,4,133,113,22,72,5686,2,373,6061,9771,
12,GUERRERO,62,TIXTLA DE GUERRERO,29,60,61,420,5189,2296,797,211,877,5979,,,161,54,51,73,774,,265,27,13,102,,,,,17289,14,1110,18413,32950,
12,GUERRERO,63,TLACOACHISTLAHUACA,14,32,32,44,653,34,5042,133,59,4619,,,,,21,,,,,,,,,,,,10605,0,293,10898,16684,
12,GUERRERO,64,TLACOAPA,10,15,15,15,,691,2047,761,307,809,,,,,,,,124,,,,,,,,,4754,1,187,4942,6754,
12,GUERRERO,65,TLALCHAPA,17,22,23,125,247,29,777,95,88,4334,,,,,41,,11,,6,1,1,3,40,5,11,18,5832,18,215,6064,9728,
12,GUERRERO,66,TLALIXTAQUILLA DE MALDONADO,8,13,13,4,373,7,10,844,1762,521,,,,,,3,,,58,1,0,0,,,,,3583,0,178,3761,5732,
12,GUERRERO,67,TLAPA DE COMONFORT,36,114,114,280,11640,495,613,6289,957,2870,59,,,289,212,8265,4945,,229,43,4,72,374,129,175,45,37985,12,2217,40214,67851,
12,GUERRERO,68,TLAPEHUALA,22,36,37,,9098,28,60,48,80,1351,,,,,75,8,,,,,,,97,7,8,6,10866,0,262,11128,17057,
12,GUERRERO,69,LA UNION DE ISIDORO MONTES DE OCA,33,51,51,,2065,6521,517,90,,4136,,21,,,25,,,,,,,,94,24,24,47,13564,2,410,13976,21830,
12,GUERRERO,70,XALPATLAHUAC,13,20,20,29,2375,287,66,54,2856,485,,,,,42,,,,13,8,0,15,3,6,3,0,6242,0,494,6736,10145,
12,GUERRERO,71,XOCHIHUEHUETLAN,8,12,12,7,3,1283,40,50,,1766,,,,,19,453,27,,,,,,,,,,3648,3,175,3826,5968,
12,GUERRERO,72,XOCHISTLAHUACA,15,39,39,63,6258,58,149,134,226,7826,52,,,,137,,,,,,,,,,,,14903,7,636,14903,21765,
12,GUERRERO,73,ZAPOTITLAN TABLAS,9,16,16,25,93,897,43,1865,404,996,,,,31,291,249,112,,6,2,2,10,,,,,5026,5,585,5616,7678,
12,GUERRERO,74,ZIRANDARO,22,32,33,90,767,3010,59,46,57,3802,,,,,56,,,,127,15,14,32,,,,,8075,0,291,8366,13938,
12,GUERRERO,75,ZITLALA,19,33,34,565,3460,3534,113,283,,1871,31,,,44,,,,,,,,,,,,,9901,0,574,10475,16416,
12,GUERRERO,76,ACATEPEC,26,67,67,,60,8706,8344,124,,941,,,,,,,,,,,,,46,33,1,73,18328,4,706,19038,24372,
12,GUERRERO,77,JOSE JOAQUIN DE HERRERA,9,21,21,,3572,68,1437,182,54,2337,,,,,,,97,,,,,,39,6,5,26,7823,1,392,8216,11880,
12,GUERRERO,78,ILIATENCO,6,14,14,,320,416,621,831,1331,500,,,,984,,,,,,,,,,,,,5003,0,247,5250,7781,
12,GUERRERO,79,COCHOAPA EL GRANDE,16,33,33,862,39,52,2203,2514,50,1305,2316,,,37,57,17,,,,,,,,,,,9452,2,367,9821,15760,
12,GUERRERO,80,MARQUELIA,11,19,20,310,970,158,183,2772,216,1722,,,,,7,,,,41,15,4,3,,,,,6401,1,280,6682,10150,
12,GUERRERO,81,JUCHITAN,12,15,15,1232,17,14,586,29,494,1280,,,,,,,17,,16,6,4,0,,,,,3695,0,159,3854,5690,
12,GUERRERO,83,LAS VIGAS,9,14,14,,62,1547,228,80,226,1649,,,,,70,,,,,,,,66,21,15,38,4002,0,205,4207,7166,
12,GUERRERO,84,SAN NICOLAS,8,12,12,,31,1,1077,363,203,214,24,,,,,,663,147,,,,,26,39,7,20,2815,1,157,2973,5088,
12,GUERRERO,85,SANTA CRUZ DEL RINCON,3,9,9,,7,101,28,944,,80,5,,,130,,986,746,,,,,,34,19,17,3,3100,1,146,3247,4960,
