CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MA,FXMG,PSG,PES,PAC,MLGRO,PBG,REGENERACION,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,12,GUERRERO,24,TIXTLA,75,ZITLALA,2752,3,3,90,373,347,15,53,0,183,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1074,0,98,1172,1842
4,12,GUERRERO,24,TIXTLA,75,ZITLALA,2753,3,3,133,346,293,6,80,0,159,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1030,0,48,1078,1608
4,12,GUERRERO,24,TIXTLA,75,ZITLALA,2754,3,3,133,439,266,10,46,0,117,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1013,0,69,1082,1608
4,12,GUERRERO,24,TIXTLA,75,ZITLALA,2755,1,1,1,28,109,9,7,0,54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,209,0,15,224,391
4,12,GUERRERO,24,TIXTLA,75,ZITLALA,2757,1,1,1,94,4,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,12,121,206
4,12,GUERRERO,24,TIXTLA,75,ZITLALA,2758,1,1,2,68,77,1,2,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,8,200,302
4,12,GUERRERO,24,TIXTLA,75,ZITLALA,2759,3,3,84,298,293,14,11,0,73,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,777,0,65,842,1473
4,12,GUERRERO,24,TIXTLA,75,ZITLALA,2760,1,1,3,92,26,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,4,135,227
4,12,GUERRERO,24,TIXTLA,75,ZITLALA,2761,1,1,2,34,243,10,8,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,14,324,515
4,12,GUERRERO,24,TIXTLA,75,ZITLALA,2762,1,1,1,80,40,1,4,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,3,144,222
4,12,GUERRERO,24,TIXTLA,75,ZITLALA,2763,2,2,17,174,265,5,10,0,34,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,509,0,27,536,904
4,12,GUERRERO,24,TIXTLA,75,ZITLALA,2764,1,1,9,174,102,0,8,0,43,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,339,0,22,361,565
4,12,GUERRERO,24,TIXTLA,75,ZITLALA,2765,1,1,7,72,59,2,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,11,169,260
4,12,GUERRERO,24,TIXTLA,75,ZITLALA,2766,1,1,27,278,89,3,9,0,76,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,484,0,22,506,717
4,12,GUERRERO,24,TIXTLA,75,ZITLALA,2767,1,1,2,94,48,2,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,9,169,270
4,12,GUERRERO,24,TIXTLA,75,ZITLALA,2768,1,1,2,74,178,1,2,0,96,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,358,0,16,374,576
4,12,GUERRERO,24,TIXTLA,75,ZITLALA,2769,4,4,22,320,439,22,27,0,590,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1433,0,71,1504,2419
4,12,GUERRERO,24,TIXTLA,75,ZITLALA,2770,1,1,4,106,33,2,0,0,79,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,7,233,358
4,12,GUERRERO,24,TIXTLA,75,ZITLALA,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4
4,12,GUERRERO,24,TIXTLA,75,ZITLALA,2771,3,3,25,313,622,10,10,0,257,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1244,0,53,1297,1949
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1112,8,8,35,982,45,85,39,56,1558,6,0,0,0,22,0,0,0,31,3,1,3,68,8,10,20,2972,1,121,3094,5640
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1113,6,6,24,626,91,62,23,37,1147,6,0,0,0,15,0,0,0,12,2,0,8,34,1,6,6,2100,0,86,2186,4076
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1114,4,4,8,505,17,35,17,27,833,2,0,0,0,8,0,0,0,9,0,0,1,24,5,1,8,1500,0,50,1550,2700
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1115,3,3,11,344,30,20,11,16,467,3,0,0,0,6,0,0,0,6,0,0,1,24,0,1,3,943,1,45,989,1361
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1116,4,4,13,332,23,24,13,25,502,2,0,0,0,9,0,0,0,12,0,0,4,15,2,2,6,984,1,40,1025,1070
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1117,3,3,12,293,38,27,6,20,479,2,0,0,0,8,0,0,0,8,2,0,5,18,4,2,5,929,0,33,962,1534
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1118,2,2,5,307,19,9,7,11,339,2,0,0,0,0,0,0,0,7,1,0,1,12,1,1,4,726,0,20,746,1116
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1119,3,3,10,478,23,45,8,27,512,3,0,0,0,7,0,0,0,15,4,2,1,25,1,5,5,1171,3,56,1230,2099
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1120,2,2,15,311,28,14,9,10,428,2,0,0,0,1,0,0,0,12,1,0,2,13,0,2,4,852,0,25,877,1286
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1121,2,2,28,327,36,28,11,11,470,2,0,0,0,7,0,0,0,9,1,0,0,21,1,0,3,955,3,34,992,1464
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1122,3,3,9,404,36,24,14,25,617,1,0,0,0,9,0,0,0,17,2,0,1,19,2,5,5,1190,1,41,1232,2071
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1123,2,2,11,192,26,28,12,14,312,1,0,0,0,8,0,0,0,4,1,1,0,18,1,2,3,634,0,40,674,1416
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1124,2,2,13,155,32,29,21,13,282,2,0,0,0,11,0,0,0,6,1,1,3,9,3,2,1,584,0,49,633,1395
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1125,1,1,3,211,9,12,11,8,97,0,0,0,0,7,0,0,0,3,2,0,1,2,1,0,3,370,0,14,384,713
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1126,3,3,19,417,31,49,32,23,145,1,0,0,0,17,0,0,0,1,1,0,7,6,4,0,3,756,1,63,820,1973
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1127,2,2,9,251,24,33,28,21,136,3,0,0,0,9,0,0,0,2,2,0,1,1,2,0,1,523,0,41,564,1458
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1128,3,3,2,193,36,25,9,13,150,1,0,0,0,4,0,0,0,2,1,0,2,1,0,1,1,441,0,18,459,982
