CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,30,VERACRUZ,1,PANUCO,0,VOTO ANTICIPADO,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,320,1,1,49,30,2,22,13,16,246,14,4,0,0,0,11,1,1,3,412,0,11,423,683
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,321,2,2,81,49,6,27,19,30,404,15,14,0,0,0,17,0,4,4,670,0,9,679,999
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,322,2,2,108,59,4,14,14,34,374,14,9,4,0,1,16,0,7,2,660,1,17,678,1020
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,323,1,1,73,39,7,21,16,30,227,8,10,2,0,0,21,0,6,1,461,0,17,478,738
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,324,2,2,117,42,2,24,18,45,393,20,10,5,0,0,30,0,5,2,713,0,22,735,1158
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,325,2,2,132,58,15,29,11,41,383,16,7,4,2,0,24,0,8,6,736,0,22,758,1204
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,326,1,1,59,22,3,9,5,10,150,5,6,2,0,0,8,0,0,2,281,0,9,290,447
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,327,1,1,45,25,0,13,2,19,182,4,3,2,0,0,8,0,2,2,307,0,9,316,506
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,328,3,3,140,73,12,46,21,52,670,28,9,3,0,10,33,4,8,2,1111,0,24,1135,1811
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,329,3,4,194,99,13,52,45,75,797,51,9,6,1,0,34,5,7,3,1391,0,44,1435,1165
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,330,4,4,207,77,16,59,29,68,838,22,15,8,1,0,29,6,15,6,1396,0,36,1432,2424
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,331,2,2,84,55,9,21,17,40,364,5,9,1,0,0,17,6,8,3,639,0,19,658,938
