ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,C_PRD_PESM,C_PT_PVEM,C_PT_MORENA,C_PT_PESM,C_PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,1,ACUITZIO,14,21,21,578,188,127,1224,61,27,370,337,2272,,343,,,,,,,165,31,52,13,,175,,,,,,,,5963,2,282,6247,9507,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/19%20Tac%C3%A1mbaro/Acuitzio.pdf
16,MICHOACAN,2,AGUILILLA,11,20,20,31,107,34,172,2558,,798,,,,,,,,,,,,,,,22,5,1,,,,99,,,3827,1,337,4165,11009,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/21%20Coalcom%C3%A1n/Aguililla.pdf
16,MICHOACAN,3,ALVARO OBREGON,12,30,30,217,1923,157,2018,411,2424,856,2132,112,,,,,,,,,,,,,177,33,6,5,,,,,,10471,0,438,10909,17690,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/08%20Tar%C3%ADmbaro/%C3%81lvaro%20Obreg%C3%B3n%20.pdf
16,MICHOACAN,4,ANGAMACUTIRO,13,25,26,173,2395,514,248,625,,2802,,,,34,,,,,,,565,36,52,92,427,35,10,39,,,,,,8047,0,216,8263,13064,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/02%20Puru%C3%A1ndiro/Angamacutiro.pdf
16,MICHOACAN,5,ANGANGUEO,6,13,13,51,813,97,1529,112,1166,572,21,7,,,,,,,,,304,91,89,44,,123,,,7,,,,,5026,0,240,5266,8327,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/13%20Zit%C3%A1cuaro/Angangueo.pdf
16,MICHOACAN,6,APATZINGAN,78,172,173,1835,3071,2928,1288,1515,10858,13743,306,,282,119,,,,,,,1271,143,217,254,648,72,42,47,,,,,,38639,14,1464,40117,95323,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/23%20Apatzing%C3%A1n/Apatzing%C3%A1n.pdf
16,MICHOACAN,7,APORO,4,6,6,,,346,24,4,805,114,20,14,,704,,,,,,,18,1,1,1,,,,,57,,,,,2109,0,89,2198,3021,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/03%20Maravat%C3%ADo/Aporo.pdf
16,MICHOACAN,8,AQUILA,11,30,30,44,151,345,122,9683,,424,,,,,,,,,,,,,,,8,1,,1,,,,,,10779,12,752,11543,17259,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/21%20Coalcom%C3%A1n/Aquila.pdf
16,MICHOACAN,9,ARIO,21,48,48,3788,797,395,394,3311,4814,1276,,,131,33,,,,,,,605,123,38,143,,802,,,,,,,,16650,4,696,17350,29061,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/19%20Tac%C3%A1mbaro/Ario.pdf
16,MICHOACAN,10,ARTEAGA,14,35,35,158,773,291,669,234,192,3709,43,,,,,,,,,,408,40,85,44,,21,,,,,,,,6667,15,581,7263,16367,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/22%20M%C3%BAgica/Arteaga.pdf
16,MICHOACAN,11,BRISENAS,6,12,12,362,1028,58,15,170,1527,816,,,,,,,,,,,,,,,,,,112,,,,,157,4245,1,129,4375,6648,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/04%20Jiquilpan/Brise%C3%B1as.pdf
16,MICHOACAN,12,BUENAVISTA,22,55,56,436,3547,1641,374,320,,3200,49,,70,2379,,,,,,,221,36,40,55,,,,,21,,,,,12389,2,579,12970,33148,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/21%20Coalcom%C3%A1n/Buenavista.pdf
16,MICHOACAN,13,CARACUARO,12,17,17,15,61,3146,69,137,,431,59,,,,,,,,,,55,6,11,20,,2,,,217,,,,,4229,1,328,4558,7621,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/18%20Huetamo/Car%C3%A1cuaro.pdf
16,MICHOACAN,14,COAHUAYANA,12,23,23,233,286,1220,183,651,160,654,617,1702,,108,,,,,,,186,32,6,42,191,11,19,10,,,,,,6311,0,219,6530,12101,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/21%20Coalcom%C3%A1n/Coahuayana.pdf
16,MICHOACAN,15,COALCOMAN DE VAZQUEZ PALLARES,16,30,30,94,407,3067,86,343,3254,372,27,,,,,,,,,,51,13,13,23,,13,,,45,,,,,7808,2,373,8183,15176,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/21%20Coalcom%C3%A1n/Coalcom%C3%A1n.pdf
