ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,1,ACUITZIO,14,21,21,578,188,127,1321,137,27,458,337,2272,,343,,,,,,,5963,2,282,6247,9507,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/19%20Tac%C3%A1mbaro/Acuitzio.pdf
16,MICHOACAN,2,AGUILILLA,11,20,20,31,107,34,738,3134,,1346,,,,,,,,,,,3827,1,337,4165,11009,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/21%20Coalcom%C3%A1n/Aguililla.pdf
16,MICHOACAN,3,ALVARO OBREGON,12,30,30,217,1923,157,2018,411,2424,856,2132,112,,,,,,,,,10471,0,438,10909,17690,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/08%20Tar%C3%ADmbaro/%C3%81lvaro%20Obreg%C3%B3n%20.pdf
16,MICHOACAN,4,ANGAMACUTIRO,13,25,26,173,2395,514,480,877,,3063,,,,34,,,,,,,8047,0,216,8263,13064,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/02%20Puru%C3%A1ndiro/Angamacutiro.pdf
16,MICHOACAN,5,ANGANGUEO,6,13,13,51,813,97,1722,280,1166,739,21,7,,,,,,,,,5026,0,240,5266,8327,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/13%20Zit%C3%A1cuaro/Angangueo.pdf
16,MICHOACAN,6,APATZINGAN,78,172,173,1835,3071,2928,1891,2137,10858,14403,306,,282,119,,,,,,,38639,14,1464,40117,95323,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/23%20Apatzing%C3%A1n/Apatzing%C3%A1n.pdf
16,MICHOACAN,7,APORO,4,6,6,,,346,31,10,805,122,20,14,,704,,,,,,,2109,0,89,2198,3021,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/03%20Maravat%C3%ADo/Aporo.pdf
16,MICHOACAN,8,AQUILA,11,30,30,44,151,345,122,9683,,424,,,,,,,,,,,10779,12,752,11543,17259,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/21%20Coalcom%C3%A1n/Aquila.pdf
16,MICHOACAN,9,ARIO,21,48,48,3788,797,395,676,3647,4814,1567,,,131,33,,,,,,,16650,4,696,17350,29061,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/19%20Tac%C3%A1mbaro/Ario.pdf
16,MICHOACAN,10,ARTEAGA,14,35,35,158,773,291,867,412,192,3910,43,,,,,,,,,,6667,15,581,7263,16367,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/22%20M%C3%BAgica/Arteaga.pdf
16,MICHOACAN,11,BRISENAS,6,12,12,362,1028,58,15,170,1527,816,,,,,,,,,,,4245,1,129,4375,6648,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/04%20Jiquilpan/Brise%C3%B1as.pdf
16,MICHOACAN,12,BUENAVISTA,22,55,56,436,3547,1641,486,438,,3322,49,,70,2379,,,,,,,12389,2,579,12970,33148,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/21%20Coalcom%C3%A1n/Buenavista.pdf
16,MICHOACAN,13,CARACUARO,12,17,17,15,61,3146,95,168,,466,59,,,,,,,,,,4229,1,328,4558,7621,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/18%20Huetamo/Car%C3%A1cuaro.pdf
16,MICHOACAN,14,COAHUAYANA,12,23,23,233,286,1220,264,750,160,740,617,1702,,108,,,,,,,6311,0,219,6530,12101,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/21%20Coalcom%C3%A1n/Coahuayana.pdf
16,MICHOACAN,15,COALCOMAN DE VAZQUEZ PALLARES,16,30,30,94,407,3067,115,378,3254,408,27,,,,,,,,,,7808,2,373,8183,15176,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/21%20Coalcom%C3%A1n/Coalcom%C3%A1n.pdf
16,MICHOACAN,16,COENEO,29,43,44,47,85,3706,579,467,1815,3530,,,,,,,,,,,10230,0,441,10671,20164,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/05%20Paracho/Coeneo.pdf
16,MICHOACAN,17,CONTEPEC,13,40,40,237,4569,903,980,638,,4978,195,274,,78,,,,,,,13639,3,669,14311,24899,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/03%20Maravat%C3%ADo/Contepec.pdf
16,MICHOACAN,18,COPANDARO,6,13,13,,1024,130,286,177,1606,866,,,,,,,,,,,4380,1,177,4558,7882,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/02%20Puru%C3%A1ndiro/Cop%C3%A1ndaro%20.pdf
16,MICHOACAN,19,COTIJA,18,34,34,2419,382,1734,183,314,1888,996,,,,20,,,,,,,8250,0,391,8641,17716,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/09%20Los%20Reyes/Cotija.pdf
16,MICHOACAN,20,CUITZEO,16,44,44,3349,582,2020,2385,299,127,1349,451,35,891,533,,,,,,,11885,3,518,12406,24807,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/08%20Tar%C3%ADmbaro/Cuitzeo.pdf
16,MICHOACAN,21,CHARAPAN,3,8,8,,256,909,167,79,,654,829,611,456,23,,,,,,,3984,0,287,4271,5698,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/05%20Paracho/Charapan.pdf
16,MICHOACAN,22,CHARO,15,31,31,952,602,663,405,324,3196,1636,,85,,31,2741,,,,,,11067,10,432,11509,18141,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/08%20Tar%C3%ADmbaro/Charo.pdf
16,MICHOACAN,23,CHAVINDA,11,21,21,357,730,279,35,47,1538,1292,17,,,,,,,,,,4621,0,202,4823,10344,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/09%20Los%20Reyes/Chavinda.pdf
16,MICHOACAN,24,CHERAN,2,4,4,,,,,,,,,,,,,,,,,,0,0,0,0,2271,
16,MICHOACAN,25,CHILCHOTA,15,42,42,40,1990,2654,1402,553,2960,4620,383,758,,168,,,,,,,15528,1,574,16103,26162,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/05%20Paracho/Chilchota.pdf
16,MICHOACAN,26,CHINICUILA,8,11,12,15,126,28,98,793,,218,931,,,,,,,,,14,2243,3,88,2334,3858,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/21%20Coalcom%C3%A1n/Chinicuila.pdf
16,MICHOACAN,27,CHUCANDIRO,6,11,11,82,198,1228,98,331,,374,,,,,,,,,,,2740,1,111,2852,5168,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/02%20Puru%C3%A1ndiro/Chuc%C3%A1ndiro.pdf
