CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,C_PRD_PESM,C_PT_PVEM,C_PT_MORENA,C_PT_PESM,C_PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,2,AGUILILLA,13,3,3,8,24,4,15,410,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,19,0,0,619,0,45,664,1845
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,2,AGUILILLA,14,3,3,2,25,5,30,387,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,21,0,0,580,0,81,661,1631
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,2,AGUILILLA,15,1,1,2,4,2,7,128,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,172,0,17,189,663
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,2,AGUILILLA,16,3,3,4,8,7,24,368,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,11,0,0,563,0,28,591,1708
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,2,AGUILILLA,17,1,1,0,1,1,16,105,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,164,0,9,173,400
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,2,AGUILILLA,18,1,1,0,2,2,13,148,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,227,0,23,250,579
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,2,AGUILILLA,19,1,1,2,5,0,5,209,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,263,0,18,281,441
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,2,AGUILILLA,22,1,1,1,4,0,2,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,0,1,33,143
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,2,AGUILILLA,23,1,1,0,1,1,3,31,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39,0,6,45,128
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,58,2,2,8,11,26,22,19,108,208,5,0,1,0,0,0,0,0,0,0,0,1,13,1,4,0,0,0,0,0,0,0,0,427,0,14,441,1056
