CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAZ,PES,FMZ,RPZ,MAZ,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_NAZ_PES,PT_NAZ,PT_PES,NAZ_PES,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,32,ZACATECAS,15,JALPA,2,APULCO,21,B,1,0,B,0,0,1,0,0,3,30,0,2,0,0,0,18,0,0,0,0,0,0,0,0,0,54,0,15,69,143,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,3,ATOLINGA,22,B,1,0,B,0,79,15,8,2,15,0,90,0,1,0,0,0,14,2,0,1,0,0,0,0,14,241,0,9,250,441,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,3,ATOLINGA,22,C,1,0,C01,0,80,14,5,1,32,0,106,2,0,0,0,0,10,1,0,0,0,0,0,1,16,268,0,16,284,440,ACTA DE CASILLA,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,3,ATOLINGA,23,B,1,0,B,0,73,7,3,1,24,0,65,0,0,0,0,0,11,5,1,0,0,0,0,0,17,207,0,5,212,404,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,3,ATOLINGA,24,B,1,0,B,0,64,8,3,6,45,0,91,0,0,0,0,0,9,3,2,0,0,0,0,1,12,244,0,21,265,474,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,3,ATOLINGA,26,B,1,0,B,0,46,2,2,1,14,0,66,1,3,0,0,0,4,1,0,0,1,0,0,0,10,151,0,7,158,306,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,3,ATOLINGA,27,B,1,0,B,0,60,7,5,3,19,0,46,1,4,0,0,0,8,2,1,0,0,0,0,1,4,161,0,6,167,277,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,3,ATOLINGA,28,B,1,0,B,0,29,14,2,2,14,0,34,0,4,0,0,0,4,1,0,0,0,0,0,0,12,116,0,13,129,197,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,4,BENITO JUAREZ,31,B,1,0,B,0,106,2,0,1,55,0,65,3,32,0,0,0,0,0,0,0,0,0,0,0,20,284,1,8,293,425,ACTA DE CASILLA,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,4,BENITO JUAREZ,32,B,1,0,B,0,157,2,0,2,67,0,49,1,21,0,0,0,0,0,0,0,0,0,0,0,22,321,0,16,337,517,ACTA DE CASILLA,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,4,BENITO JUAREZ,33,B,1,0,B,0,132,2,0,0,62,0,49,0,40,0,0,0,0,0,0,0,0,0,0,0,23,308,0,7,315,504,ACTA DE CASILLA,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,4,BENITO JUAREZ,34,B,1,0,B,0,163,0,0,0,84,0,41,1,32,0,0,0,0,0,0,0,0,0,0,0,38,359,0,4,363,550,ACTA DE CASILLA,,,
