ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAZ,PES,FMZ,RPZ,MAZ,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
32,ZACATECAS,44,TABASCO,21,30,30,2864,215,0,1318,301,1757,1706,206,0,0,50,0,8417,5,240,8662,14157,
32,ZACATECAS,45,TEPECHITLAN,18,20,21,0,580,19,276,191,0,1221,288,1860,0,22,0,4457,0,168,4625,7458,
32,ZACATECAS,46,TEPETONGO,20,21,21,238,1049,296,0,473,36,1396,6,0,27,3,0,3524,0,152,3676,6501,
32,ZACATECAS,47,TEUL DE GONZALEZ ORTEGA,11,14,14,220,345,32,1148,629,0,238,434,6,7,79,0,3138,0,55,3193,4713,
32,ZACATECAS,48,TLALTENANGO DE SANCHEZ ROMAN,36,55,55,2487,1124,353,145,1474,313,6350,57,37,0,487,0,12827,7,559,13393,22162,
32,ZACATECAS,49,VALPARAISO,66,77,78,1151,2067,3768,247,1334,1,7327,150,75,1,118,23,16262,5,667,16934,28571,
32,ZACATECAS,50,VETAGRANDE,8,16,16,414,157,58,156,146,50,1074,1794,9,2036,19,0,5913,1,241,6155,8541,
32,ZACATECAS,51,VILLA DE COS,46,65,66,1059,6261,305,3025,140,315,2188,2588,443,133,186,0,16643,2,602,17247,26113,
32,ZACATECAS,52,VILLA GARCIA,15,25,25,193,1828,125,54,70,3666,2902,33,1,1,51,0,8924,2,388,9314,13000,
32,ZACATECAS,53,VILLA GONZALEZ ORTEGA,12,20,20,896,120,1175,87,52,1140,1177,68,245,585,18,0,5563,0,339,5902,10487,
32,ZACATECAS,54,VILLA HIDALGO,24,31,31,0,4481,41,268,89,77,4592,77,0,0,31,0,9656,5,386,10047,14181,
32,ZACATECAS,55,VILLANUEVA,49,62,62,745,247,6291,209,992,173,7041,108,112,186,20,0,16124,1,734,16859,27996,
32,ZACATECAS,56,ZACATECAS,122,215,217,16980,7297,1753,2797,7433,9501,15284,1147,732,4489,1112,963,69488,80,2829,72397,116975,
32,ZACATECAS,57,TRANCOSO,11,26,27,92,884,1133,3570,142,168,2434,67,21,6,51,375,8943,2,302,9247,14637,
32,ZACATECAS,58,SANTA MARIA DE LA PAZ,7,8,8,418,132,32,0,29,750,213,4,0,0,0,0,1578,0,48,1626,2560,
