ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAZ,PES,FMZ,RPZ,MAZ,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_NAZ_PES,PT_NAZ,PT_PES,NAZ_PES,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
32,ZACATECAS,34,NOCHISTLAN DE MEJIA,39,57,57,1462,306,0,293,601,4674,4712,101,46,305,340,0,0,0,0,0,0,0,0,0,533,13373,3,750,14126,26798,
32,ZACATECAS,35,NORIA DE ANGELES,16,24,24,0,2707,31,122,119,88,3617,26,24,249,707,60,0,0,0,0,12,1,0,0,0,7763,3,304,8070,12255,
32,ZACATECAS,36,OJOCALIENTE,42,64,64,214,2936,6328,0,492,238,5269,145,0,129,1771,72,0,0,0,0,0,0,0,0,0,17594,10,658,18262,32065,
32,ZACATECAS,37,PANUCO,14,27,27,0,3902,0,125,171,1631,1316,907,11,75,53,0,0,0,0,0,0,0,0,0,90,8281,1,363,8645,13123,
32,ZACATECAS,38,PINOS,95,121,121,0,13315,0,797,759,17,15973,272,181,357,0,2,0,0,0,0,5,4,0,0,0,31682,10,1913,33605,52639,
32,ZACATECAS,39,RIO GRANDE,64,105,106,652,8434,3785,5377,328,524,8212,390,42,0,304,64,0,0,0,0,0,0,0,0,0,28112,2,1604,29718,53323,
32,ZACATECAS,40,SAIN ALTO,27,36,36,62,4613,1907,0,1016,0,1871,281,0,0,37,0,0,0,0,0,0,0,0,0,425,10212,1,350,10563,17593,
32,ZACATECAS,41,EL SALVADOR,5,5,5,13,34,4,7,999,0,150,17,0,0,0,1,2,1,0,0,0,0,0,0,0,1228,0,112,1340,1924,
32,ZACATECAS,42,SOMBRERETE,89,114,114,3516,7084,238,640,1004,1019,10590,260,73,2,231,403,0,0,0,0,2,3,4,14,873,25956,7,1407,27370,49788,
32,ZACATECAS,43,SUSTICACAN,4,4,4,34,181,5,160,5,237,104,5,0,71,23,0,17,4,1,0,0,0,0,0,8,855,0,38,893,1486,
32,ZACATECAS,44,TABASCO,21,30,30,2864,215,0,1318,235,1757,1640,206,0,0,50,0,0,0,0,0,0,0,0,0,132,8417,5,240,8662,14157,
32,ZACATECAS,45,TEPECHITLAN,18,20,21,0,580,19,220,158,0,1187,217,1782,0,22,0,0,0,0,0,128,8,19,50,67,4457,0,168,4625,7458,
32,ZACATECAS,46,TEPETONGO,20,21,21,162,972,223,0,346,36,1268,6,0,27,3,0,191,17,11,7,0,0,0,0,255,3524,0,152,3676,6501,
32,ZACATECAS,47,TEUL DE GONZALEZ ORTEGA,11,14,14,206,330,21,1148,629,0,238,434,6,7,79,0,31,5,3,1,0,0,0,0,0,3138,0,55,3193,4713,
32,ZACATECAS,48,TLALTENANGO DE SANCHEZ ROMAN,36,55,55,2294,945,194,142,961,313,5836,55,36,0,487,0,418,72,34,7,0,3,1,2,1027,12827,7,559,13393,22162,
32,ZACATECAS,49,VALPARAISO,66,77,78,899,1829,3519,238,964,1,6957,137,65,1,118,23,611,39,60,29,15,6,1,10,740,16262,5,667,16934,28571,
32,ZACATECAS,50,VETAGRANDE,8,16,16,387,131,38,156,110,50,1037,1794,9,2036,19,0,59,11,2,1,0,0,0,0,73,5913,1,241,6155,8541,
32,ZACATECAS,51,VILLA DE COS,46,65,66,848,6039,129,2750,140,315,2188,2298,231,133,186,0,479,95,8,27,481,190,37,69,0,16643,2,602,17247,26113,
32,ZACATECAS,52,VILLA GARCIA,15,25,25,128,1761,68,54,70,3666,2902,33,1,1,51,0,167,16,1,5,0,0,0,0,0,8924,2,388,9314,13000,
32,ZACATECAS,53,VILLA GONZALEZ ORTEGA,12,20,20,896,120,1175,87,52,1140,1177,68,245,585,18,0,0,0,0,0,0,0,0,0,0,5563,0,339,5902,10487,
32,ZACATECAS,54,VILLA HIDALGO,24,31,31,0,4481,41,268,89,77,4592,77,0,0,31,0,0,0,0,0,0,0,0,0,0,9656,5,386,10047,14181,
32,ZACATECAS,55,VILLANUEVA,49,62,62,745,247,6291,196,739,173,6788,98,102,186,20,0,0,0,0,0,21,6,5,1,506,16124,1,734,16859,27996,
32,ZACATECAS,56,ZACATECAS,122,215,217,16142,6507,1064,2739,6644,9501,14495,1086,673,4489,1112,963,1855,319,117,26,99,25,23,31,1578,69488,80,2829,72397,116975,
32,ZACATECAS,57,TRANCOSO,11,26,27,92,884,1133,3570,87,168,2379,67,21,6,51,375,0,0,0,0,0,0,0,0,110,8943,2,302,9247,14637,
32,ZACATECAS,58,SANTA MARIA DE LA PAZ,7,8,8,403,119,21,0,22,750,205,4,0,0,0,0,34,4,1,0,0,0,0,0,15,1578,0,48,1626,2560,
