CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAZ,PES,FMZ,RPZ,MAZ,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_NAZ_PES,PT_NAZ,PT_PES,NAZ_PES,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,32,ZACATECAS,14,PINOS,38,PINOS,1115,2,2,0,227,0,26,39,0,419,7,0,11,0,0,0,0,0,0,0,0,0,0,0,729,0,43,772,1358
2,32,ZACATECAS,14,PINOS,38,PINOS,1116,1,1,0,154,0,18,10,0,212,3,6,5,0,0,0,0,0,0,0,1,0,0,0,409,0,24,433,742
2,32,ZACATECAS,14,PINOS,38,PINOS,1117,1,1,0,170,0,6,4,0,124,2,0,5,0,0,0,0,0,0,0,0,0,0,0,311,0,11,322,461
2,32,ZACATECAS,14,PINOS,38,PINOS,1118,2,2,0,136,0,20,27,0,214,13,5,5,0,0,0,0,0,0,0,0,0,0,0,420,0,28,448,822
2,32,ZACATECAS,14,PINOS,38,PINOS,1119,2,2,0,219,0,36,39,0,307,32,10,19,0,0,0,0,0,0,0,0,0,0,0,662,0,53,715,1239
2,32,ZACATECAS,14,PINOS,38,PINOS,1120,2,2,0,152,0,22,8,0,363,6,4,9,0,0,0,0,0,0,0,0,0,0,0,564,0,23,587,1143
2,32,ZACATECAS,14,PINOS,38,PINOS,1121,2,2,0,226,0,24,9,0,448,7,3,6,0,0,0,0,0,0,0,0,0,0,0,723,0,37,760,1374
2,32,ZACATECAS,14,PINOS,38,PINOS,1122,1,1,0,57,0,4,3,3,99,1,0,7,0,0,0,0,0,0,0,0,0,0,0,174,0,11,185,247
2,32,ZACATECAS,14,PINOS,38,PINOS,1123,2,2,0,241,0,8,16,0,233,6,3,2,0,0,0,0,0,0,0,0,0,0,0,509,0,41,550,796
2,32,ZACATECAS,14,PINOS,38,PINOS,1124,1,1,0,205,0,8,3,0,123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,15,355,581
2,32,ZACATECAS,14,PINOS,38,PINOS,1125,1,1,0,152,0,3,6,0,147,3,0,2,0,0,0,0,0,0,0,0,0,0,0,313,0,18,331,546
2,32,ZACATECAS,14,PINOS,38,PINOS,1126,1,1,0,80,0,0,3,2,77,2,1,1,0,0,0,0,0,0,0,0,0,0,0,166,0,13,179,258
