CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,18,NAYARIT,8,TEPIC,17,TEPIC,5,TEPIC 05,772,2,2,7,33,6,79,14,64,146,7,0,0,8,2,0,1,1,0,1,7,0,1,0,1,2,0,1,0,0,381,3,11,395,775
,18,NAYARIT,9,TEPIC,17,TEPIC,5,TEPIC 05,773,1,1,3,24,1,106,7,39,80,0,0,0,7,1,1,0,0,0,0,2,0,0,0,4,4,0,0,0,0,279,0,8,287,524
,18,NAYARIT,8,TEPIC,17,TEPIC,5,TEPIC 05,774,3,3,17,21,4,40,19,72,265,221,0,0,8,13,3,0,1,2,0,13,0,0,0,1,3,3,2,1,0,709,0,27,736,1565
,18,NAYARIT,9,TEPIC,17,TEPIC,5,TEPIC 05,775,2,2,7,20,1,8,5,34,65,5,0,0,4,0,1,1,0,0,0,2,0,0,0,1,1,0,2,0,0,157,0,8,165,330
,18,NAYARIT,9,TEPIC,17,TEPIC,5,TEPIC 05,776,1,1,3,11,0,5,2,10,38,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,77,0,1,78,143
,18,NAYARIT,9,TEPIC,17,TEPIC,5,TEPIC 05,777,1,1,3,4,0,12,4,11,52,1,0,0,6,1,0,0,1,0,2,6,0,0,0,0,0,0,1,0,0,104,0,2,106,225
,18,NAYARIT,8,TEPIC,17,TEPIC,5,TEPIC 05,778,1,1,15,20,5,39,14,33,106,11,0,0,22,0,6,0,0,0,0,10,0,0,0,60,0,0,0,0,0,341,0,21,362,581
,18,NAYARIT,8,TEPIC,17,TEPIC,5,TEPIC 05,779,2,2,14,25,11,22,21,105,310,26,0,0,13,5,3,1,1,0,4,12,0,1,0,1,0,0,2,0,0,577,0,15,592,1252
,18,NAYARIT,8,TEPIC,17,TEPIC,5,TEPIC 05,780,3,3,32,44,12,72,23,131,453,23,0,0,26,4,5,1,0,0,1,19,0,1,0,3,8,0,6,0,0,864,0,35,899,1977
,18,NAYARIT,8,TEPIC,17,TEPIC,5,TEPIC 05,781,2,2,21,35,4,84,18,71,278,18,0,0,20,3,1,1,0,0,4,9,0,0,1,0,7,0,5,0,1,581,0,31,612,1204
,18,NAYARIT,8,TEPIC,17,TEPIC,5,TEPIC 05,782,2,2,22,17,9,35,22,89,243,42,0,0,20,0,3,0,0,0,1,7,4,1,0,0,4,0,0,0,0,519,0,17,536,1062
,18,NAYARIT,8,TEPIC,17,TEPIC,5,TEPIC 05,783,2,2,28,26,4,37,14,84,254,23,0,0,14,4,1,1,3,0,1,6,0,1,0,2,4,1,3,0,0,511,0,13,524,910
,18,NAYARIT,8,TEPIC,17,TEPIC,5,TEPIC 05,784,2,2,7,20,1,31,7,11,144,3,0,0,4,2,0,0,0,0,0,3,0,0,1,0,20,0,1,0,0,255,0,32,287,541
,18,NAYARIT,8,TEPIC,17,TEPIC,3,TEPIC 03,785,3,3,16,41,7,64,19,134,267,3,0,0,29,2,3,0,0,0,4,11,0,0,1,3,7,0,1,0,0,612,0,56,668,1743
,18,NAYARIT,8,TEPIC,17,TEPIC,5,TEPIC 05,786,1,1,7,14,4,20,6,27,133,7,0,0,7,1,0,0,0,0,0,4,0,0,0,3,1,0,3,0,0,237,0,13,250,494
,18,NAYARIT,8,TEPIC,17,TEPIC,5,TEPIC 05,787,1,1,3,7,3,8,4,23,75,16,0,0,10,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,156,0,9,165,358
,18,NAYARIT,8,TEPIC,17,TEPIC,5,TEPIC 05,788,2,2,21,23,1,22,12,65,177,49,0,0,32,3,3,0,1,0,1,12,0,1,0,1,1,0,3,0,0,428,0,32,460,839
,18,NAYARIT,8,TEPIC,17,TEPIC,5,TEPIC 05,789,2,2,13,33,8,24,18,76,265,57,0,0,20,4,0,0,0,0,3,16,0,1,0,1,0,0,0,0,0,539,0,27,566,1069
,18,NAYARIT,9,TEPIC,17,TEPIC,5,TEPIC 05,790,1,1,6,11,2,19,5,45,50,1,0,0,3,2,2,0,0,1,0,2,0,0,0,0,2,0,1,0,0,152,0,5,157,364
,18,NAYARIT,9,TEPIC,17,TEPIC,5,TEPIC 05,791,1,1,0,12,1,5,5,25,25,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,9,90,154
,18,NAYARIT,9,TEPIC,17,TEPIC,5,TEPIC 05,792,2,2,2,10,3,31,14,206,106,5,0,0,3,3,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,388,0,4,392,822
,18,NAYARIT,9,TEPIC,17,TEPIC,5,TEPIC 05,793,2,2,10,20,2,46,7,91,58,3,0,0,12,1,0,0,1,0,2,8,0,0,0,0,4,0,0,0,0,265,0,14,279,472
,18,NAYARIT,9,TEPIC,17,TEPIC,5,TEPIC 05,794,1,1,23,7,1,16,12,39,99,4,0,0,27,1,1,1,0,0,1,2,0,0,0,1,1,0,1,0,0,237,0,11,248,508
,18,NAYARIT,9,TEPIC,17,TEPIC,5,TEPIC 05,795,2,2,13,13,7,32,12,98,175,3,0,0,23,5,0,0,0,0,0,4,0,0,0,4,3,0,0,0,0,392,0,11,403,901
,18,NAYARIT,7,TEPIC,17,TEPIC,3,TEPIC 03,796,2,2,20,15,8,63,15,128,210,18,0,0,12,4,2,0,0,1,0,7,0,0,1,0,5,0,1,0,0,510,0,16,526,1057
,18,NAYARIT,12,SANTA MARIA DEL ORO,17,TEPIC,3,TEPIC 03,797,2,2,44,36,6,54,19,86,265,11,0,0,15,5,5,1,0,0,12,3,0,0,0,0,0,0,1,0,0,563,0,23,586,1110
,18,NAYARIT,7,TEPIC,17,TEPIC,3,TEPIC 03,798,2,2,13,11,7,78,16,58,138,26,0,0,10,0,3,2,0,0,3,3,0,0,1,4,0,1,0,0,0,374,4,5,383,838
,18,NAYARIT,9,TEPIC,17,TEPIC,5,TEPIC 05,800,1,1,12,20,2,21,8,45,92,22,0,0,19,10,3,0,1,1,1,9,0,0,0,0,0,0,0,0,0,266,0,15,281,587
,18,NAYARIT,9,TEPIC,17,TEPIC,5,TEPIC 05,801,2,2,26,31,3,56,29,110,220,9,0,0,171,6,7,0,0,0,19,11,0,1,0,24,1,0,3,0,1,728,0,18,746,1391
,18,NAYARIT,9,TEPIC,17,TEPIC,2,TEPIC 02,802,2,2,17,29,4,28,19,128,161,11,0,0,12,3,3,0,0,0,1,13,0,0,0,3,2,0,0,0,0,434,0,21,455,912
,18,NAYARIT,9,TEPIC,17,TEPIC,2,TEPIC 02,803,2,2,21,44,12,45,72,92,179,28,0,0,6,3,3,2,0,1,7,13,2,0,1,5,4,0,4,0,1,545,1,24,570,1147
,18,NAYARIT,12,SANTA MARIA DEL ORO,17,TEPIC,3,TEPIC 03,804,5,5,56,77,18,79,45,285,521,63,0,0,49,12,11,5,1,0,5,35,0,0,0,3,13,1,6,0,0,1285,3,42,1330,2983
,18,NAYARIT,12,SANTA MARIA DEL ORO,17,TEPIC,3,TEPIC 03,805,2,2,33,37,11,59,22,189,240,31,0,0,28,1,6,0,1,0,4,14,1,0,0,0,9,0,6,0,0,692,0,28,720,1398
,18,NAYARIT,9,TEPIC,17,TEPIC,2,TEPIC 02,806,2,2,60,52,20,28,32,94,166,32,0,0,36,6,12,0,0,0,4,16,2,2,2,0,0,0,0,0,0,564,0,26,590,1158
