CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PSI,MORENA,NAP,FXM,PAN_PRI_PRD_PSI,PAN_PRI_PRD,PAN_PRI_PSI,PAN_PRD_PSI,PRI_PRD_PSI,PAN_PRI,PAN_PRD,PAN_PSI,PRI_PRD,PRI_PSI,PRD_PSI,PT_PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA_NAP,PT_PVEM_MORENA_FXM,PT_PVEM_NAP_FXM,PT_MORENA_NAP_FXM,PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA,PT_PVEM_NAP,PT_PVEM_FXM,PT_MORENA_NAP,PT_MORENA_FXM,PT_NAP_FXM,PVEM_MORENA_NAP,PVEM_MORENA_FXM,PVEM_NAP_FXM,MORENA_NAP_FXM,PT_PVEM,PT_MORENA,PT_NAP,PT_FXM,PVEM_MORENA,PVEM_NAP,PVEM_FXM,MORENA_NAP,MORENA_FXM,NAP_FXM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,21,PUEBLA,21,ATLIXCO,127,SAN JERONIMO TECUANIPAN,1696,2,2,122,16,23,125,23,66,85,177,2,2,2,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,1,3,0,0,0,0,0,657,0,53,710,1114
4,21,PUEBLA,21,ATLIXCO,127,SAN JERONIMO TECUANIPAN,1697,2,2,85,17,4,206,52,138,106,354,3,5,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,6,0,0,0,0,0,1,0,0,0,0,3,0,0,6,1,0,0,0,0,992,0,41,1033,1352
4,21,PUEBLA,21,ATLIXCO,148,SANTA ISABEL CHOLULA,1877,3,3,82,44,11,57,22,145,74,436,110,34,7,3,0,0,0,2,0,0,0,0,0,2,1,1,7,0,0,8,0,0,2,0,0,0,0,0,0,1,2,1,1,2,1,0,0,1,1,1058,0,89,1147,1879
4,21,PUEBLA,21,ATLIXCO,148,SANTA ISABEL CHOLULA,1878,2,2,25,10,5,52,21,71,16,396,19,16,3,2,2,0,0,2,1,0,0,0,3,2,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,4,1,0,1,2,0,1,2,0,0,664,0,45,709,1317
4,21,PUEBLA,21,ATLIXCO,148,SANTA ISABEL CHOLULA,1879,2,2,15,18,3,16,10,52,9,207,20,13,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,371,0,22,393,654
4,21,PUEBLA,21,ATLIXCO,148,SANTA ISABEL CHOLULA,1880,3,3,96,36,2,76,45,134,79,573,16,130,4,0,0,1,0,4,0,0,0,0,1,9,0,0,0,0,1,12,2,1,1,0,0,1,0,0,1,0,6,0,0,5,0,0,1,5,2,1244,0,76,1320,2238
4,21,PUEBLA,21,ATLIXCO,148,SANTA ISABEL CHOLULA,1881,4,4,101,38,10,79,68,106,188,714,21,93,7,1,0,0,3,4,0,1,0,2,0,13,4,2,0,1,0,17,1,0,0,0,0,0,0,0,2,2,2,0,1,4,0,0,1,1,1,1488,0,84,1572,2577
4,21,PUEBLA,21,ATLIXCO,174,TIANGUISMANALCO,2175,2,2,19,56,0,135,27,52,8,259,69,34,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,2,1,0,675,0,31,706,947
4,21,PUEBLA,21,ATLIXCO,174,TIANGUISMANALCO,2176,3,3,60,94,3,236,46,94,17,618,154,84,2,2,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,4,1,1,3,2,1,3,1,0,1439,0,68,1507,2042
4,21,PUEBLA,21,ATLIXCO,174,TIANGUISMANALCO,2177,3,3,46,70,5,335,47,57,23,480,139,87,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,4,0,0,2,1,0,1,1,2,1311,20,39,1370,1839
4,21,PUEBLA,21,ATLIXCO,174,TIANGUISMANALCO,2178,2,2,37,32,0,86,29,40,13,344,38,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,5,3,1,0,3,1,0,3,0,0,684,0,28,712,953
4,21,PUEBLA,21,ATLIXCO,174,TIANGUISMANALCO,2179,2,2,40,43,1,105,22,35,19,280,21,91,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,2,0,0,1,0,0,1,1,0,0,1,1,0,673,0,34,707,970
4,21,PUEBLA,21,ATLIXCO,174,TIANGUISMANALCO,2180,4,4,99,93,8,96,52,129,28,718,94,85,4,0,0,0,0,2,0,0,0,0,0,21,0,0,1,0,0,3,0,0,2,0,0,1,0,0,0,0,5,0,0,5,0,0,2,1,0,1449,2,78,1529,2587
4,21,PUEBLA,22,IZUCAR DE MATAMOROS,5,ACTEOPAN,61,2,2,55,167,10,26,24,12,303,135,1,10,0,0,1,0,0,0,0,28,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,1,0,786,0,60,846,1040
4,21,PUEBLA,22,IZUCAR DE MATAMOROS,5,ACTEOPAN,62,1,1,58,111,5,10,25,8,188,76,2,4,0,0,0,0,0,2,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,505,0,41,546,654
4,21,PUEBLA,22,IZUCAR DE MATAMOROS,5,ACTEOPAN,63,2,2,20,176,4,8,7,3,169,75,1,1,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,472,0,29,501,625
4,21,PUEBLA,22,IZUCAR DE MATAMOROS,21,ATZALA,224,2,2,22,13,3,143,24,87,62,303,214,6,2,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,897,0,22,919,1129
4,21,PUEBLA,22,IZUCAR DE MATAMOROS,22,ATZITZIHUACAN,225,2,2,36,371,2,12,26,5,0,151,6,39,3,4,0,0,0,5,0,0,0,0,0,4,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,673,0,29,702,854
4,21,PUEBLA,22,IZUCAR DE MATAMOROS,22,ATZITZIHUACAN,226,3,3,16,114,13,42,64,30,3,411,6,456,0,0,0,0,0,1,1,0,0,0,0,4,1,2,0,0,0,4,0,3,0,5,0,0,2,0,2,4,3,1,7,2,0,3,0,7,3,1210,0,110,1320,1798
4,21,PUEBLA,22,IZUCAR DE MATAMOROS,22,ATZITZIHUACAN,227,3,3,22,157,17,43,66,19,9,348,6,412,0,2,1,1,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,2,1,1,0,0,0,0,1,0,3,0,5,3,0,1,0,5,0,1131,0,90,1221,1687
4,21,PUEBLA,22,IZUCAR DE MATAMOROS,22,ATZITZIHUACAN,228,2,2,24,387,3,19,26,8,2,175,4,81,0,1,0,0,0,1,0,0,0,1,1,2,2,2,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,5,0,755,0,59,814,1125
4,21,PUEBLA,22,IZUCAR DE MATAMOROS,22,ATZITZIHUACAN,229,2,2,29,316,5,15,37,4,2,137,3,86,2,3,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,4,0,658,0,47,705,988
4,21,PUEBLA,22,IZUCAR DE MATAMOROS,22,ATZITZIHUACAN,230,2,2,23,260,5,12,31,6,0,215,2,44,1,3,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,4,0,1,1,1,0,0,0,1,1,2,2,0,2,0,0,0,0,3,0,626,0,34,660,989
4,21,PUEBLA,22,IZUCAR DE MATAMOROS,22,ATZITZIHUACAN,231,1,1,8,115,2,12,19,4,2,98,2,91,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,362,0,14,376,474
4,21,PUEBLA,22,IZUCAR DE MATAMOROS,22,ATZITZIHUACAN,232,2,2,6,177,10,16,38,8,5,121,2,183,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,578,0,57,635,974
4,21,PUEBLA,22,IZUCAR DE MATAMOROS,22,ATZITZIHUACAN,233,1,1,5,93,3,9,42,9,1,81,1,98,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,358,0,18,376,526
4,21,PUEBLA,22,IZUCAR DE MATAMOROS,52,CHIETLA,439,2,2,32,20,5,120,17,80,7,414,5,7,1,2,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,5,0,0,0,0,0,0,0,0,0,1,4,0,3,2,0,0,0,0,0,730,0,29,759,1168
4,21,PUEBLA,22,IZUCAR DE MATAMOROS,52,CHIETLA,440,2,2,44,17,4,87,16,68,3,374,8,5,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,5,0,0,1,1,0,1,0,0,0,1,2,0,0,3,0,0,0,0,0,646,0,45,691,1068
4,21,PUEBLA,22,IZUCAR DE MATAMOROS,52,CHIETLA,441,2,2,28,12,3,135,10,85,4,369,2,10,2,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,6,1,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,1,0,684,0,36,720,1215
4,21,PUEBLA,22,IZUCAR DE MATAMOROS,52,CHIETLA,442,3,3,3,20,5,242,15,33,4,366,4,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,1,2,0,0,2,0,0,0,1,0,712,0,24,736,1158
4,21,PUEBLA,22,IZUCAR DE MATAMOROS,52,CHIETLA,443,3,3,20,20,2,216,14,60,2,430,3,2,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,18,0,0,0,0,0,800,0,23,823,1301
4,21,PUEBLA,22,IZUCAR DE MATAMOROS,52,CHIETLA,444,4,4,29,15,3,261,25,122,3,705,5,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,5,0,0,3,1,0,1,0,0,0,1,1,0,1,7,0,0,0,0,0,1199,0,37,1236,1909
4,21,PUEBLA,22,IZUCAR DE MATAMOROS,52,CHIETLA,445,3,3,22,16,3,445,9,97,49,252,113,2,1,1,0,0,0,1,1,0,0,0,0,5,1,1,1,0,2,8,1,0,1,0,0,0,0,0,0,2,2,0,0,5,0,0,2,0,0,1043,1,34,1078,1804
4,21,PUEBLA,22,IZUCAR DE MATAMOROS,52,CHIETLA,446,2,2,20,8,2,311,12,81,1,276,6,1,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,7,0,0,0,0,0,0,0,1,0,6,2,0,0,8,0,0,0,1,0,749,0,41,790,1253
4,21,PUEBLA,22,IZUCAR DE MATAMOROS,52,CHIETLA,447,3,3,54,23,6,344,19,122,4,400,5,4,0,1,0,1,0,1,0,0,0,0,0,3,3,2,0,1,0,11,0,0,1,0,0,0,0,0,0,4,3,0,0,5,1,0,0,0,0,1018,0,33,1051,1589
