CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESC,CL,EDC,MLC,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,4,CAMPECHE,19,HECELCHAKAN,12,DZITBALCHE,180,B,1,0,B,0,5,106,2,20,10,263,218,4,0,2,2,2,4,1,0,0,639,0,15,654,739,Grupo de recuento ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0180B-CIPR.pdf
3,4,CAMPECHE,19,HECELCHAKAN,12,DZITBALCHE,180,C,1,0,C01,0,1,131,0,14,6,313,162,1,0,0,2,1,1,1,1,1,635,0,18,653,739,Acta del consejo ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0180C1-AC.pdf
3,4,CAMPECHE,19,HECELCHAKAN,12,DZITBALCHE,180,C,2,0,C02,0,0,161,2,14,4,287,158,0,0,2,3,2,4,1,1,0,639,0,22,661,738,Acta del consejo ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0180C2-AC.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,363,B,1,0,B,0,1,23,2,26,9,156,217,3,2,24,0,1,9,3,4,2,482,0,10,492,687,Acta del consejo ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0363B-AC.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,363,C,1,0,C01,0,2,22,4,15,5,153,237,4,2,37,3,1,10,5,0,3,503,0,14,517,686,Acta levantada en consejo,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0363C1-ACL.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,363,C,2,0,C02,0,3,14,3,19,7,178,231,1,1,21,1,0,14,1,1,1,496,0,15,511,686,Acta del consejo ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0363C2-AC.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,364,B,1,0,B,0,5,24,0,14,10,137,242,0,3,66,0,0,5,2,0,1,509,0,21,530,738,Acta del consejo ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0364B-AC.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,364,C,1,0,C01,0,6,24,1,18,4,124,238,2,1,45,3,0,11,2,2,2,483,0,9,492,738,Acta levantada en consejo,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0364C1-ACL.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,364,C,2,0,C02,0,4,21,1,24,9,157,237,2,3,47,1,1,10,3,2,0,522,0,13,535,737,Grupo de recuento ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0364C2-CIPR.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,365,B,1,0,B,0,1,20,1,6,6,96,184,2,2,31,1,0,7,3,5,0,365,0,14,379,483,Acta del consejo ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0365B-AC.pdf
