ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESC,CL,EDC,MLC,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
4,CAMPECHE,11,CIUDAD DEL CARMEN,27,54,54,414,418,66,398,291,3944,9519,121,135,107,96,29,664,51,100,62,16415,9,440,16864,31655,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPMR_D11.pdf
4,CAMPECHE,12,SABANCUY,24,53,54,567,388,78,504,473,5576,8663,90,251,49,73,5,404,64,89,55,17329,4,663,17996,31018,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPMR_D12.pdf
4,CAMPECHE,13,ESCARCEGA,29,64,65,617,2897,184,778,535,3164,6037,124,3128,64,62,31,475,97,79,66,18338,5,929,19272,35612,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPMR_D13.pdf
4,CAMPECHE,14,CANDELARIA,35,70,70,3070,269,42,741,551,6019,7965,43,30,25,28,39,491,89,116,57,19575,7,916,20498,36016,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPMR_D14.pdf
4,CAMPECHE,15,CHAMPOTON,25,61,62,1268,2238,120,661,485,5518,7554,85,308,57,74,29,433,81,126,80,19117,48,785,19950,34088,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPMR_D15.pdf
4,CAMPECHE,16,SEYBAPLAYA,32,69,69,3188,3863,199,867,704,3180,9444,112,565,34,64,64,482,91,70,73,23000,15,975,23990,36586,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPMR_D16.pdf
4,CAMPECHE,17,CALKINI,30,63,63,966,1738,83,770,780,7480,10360,66,502,116,71,10,347,55,82,46,23472,4,665,24141,32551,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPMR_D17.pdf
4,CAMPECHE,18,HOPELCHEN,32,58,59,172,9076,124,443,792,2393,7647,137,15,40,96,69,183,58,53,43,21341,1,533,21875,30813,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPMR_D18.pdf
4,CAMPECHE,19,HECELCHAKAN,24,60,60,343,2216,69,668,417,11184,9667,237,64,580,63,21,302,59,72,33,25995,1,669,26665,36433,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPMR_D19.pdf
4,CAMPECHE,20,PALIZADA,34,66,66,966,1790,159,1773,808,5448,9991,88,91,396,66,22,,,,,21598,3,1285,22886,35323,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPMR_D20.pdf
4,CAMPECHE,21,XPUJIL,25,58,58,586,2066,59,603,517,1747,7275,124,2823,62,92,20,320,86,48,64,16492,17,906,17415,30005,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPMR_D21.pdf
