CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,14,JALISCO,1,TEQUILA,5,AMATITAN,43,4,4,89,54,15,46,33,847,858,22,4,3,2,0,0,0,0,1,9,0,0,0,3,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1995,0,25,2020,2888
1,14,JALISCO,1,TEQUILA,5,AMATITAN,44,1,1,7,2,4,10,5,168,152,3,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,359,1,3,363,534
1,14,JALISCO,1,TEQUILA,5,AMATITAN,45,1,1,5,3,0,9,1,112,128,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,266,0,7,273,382
1,14,JALISCO,1,TEQUILA,5,AMATITAN,46,1,1,6,7,0,7,5,224,122,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,378,0,10,388,509
1,14,JALISCO,1,TEQUILA,5,AMATITAN,47,2,2,27,27,6,47,5,389,344,8,4,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,866,0,11,877,1177
1,14,JALISCO,1,TEQUILA,6,AMECA,48,4,4,63,99,6,35,25,536,670,35,15,10,2,0,1,10,1,2,12,0,0,0,2,1,0,1,9,0,0,0,1,0,1,1,0,1,0,0,3,0,0,1542,2,30,1574,2874
1,14,JALISCO,1,TEQUILA,6,AMECA,50,3,3,41,53,8,24,25,487,485,19,7,4,3,0,0,7,0,3,12,0,0,1,0,1,1,1,2,0,0,1,0,1,1,3,0,0,1,0,2,1,1,1195,0,24,1219,2192
1,14,JALISCO,1,TEQUILA,6,AMECA,51,2,2,33,51,5,11,12,288,268,18,7,2,1,0,0,6,2,2,11,3,0,0,1,0,0,1,8,0,0,1,0,0,0,2,0,0,0,1,0,2,0,736,0,18,754,1268
1,14,JALISCO,1,TEQUILA,6,AMECA,52,5,5,68,79,4,36,24,836,674,38,8,9,3,0,1,5,2,4,12,1,0,0,5,1,0,1,4,1,1,2,1,1,0,7,0,0,1,1,2,0,0,1832,2,37,1871,3207
1,14,JALISCO,1,TEQUILA,6,AMECA,53,2,2,22,29,1,11,10,232,208,16,0,4,0,0,1,2,2,0,3,0,0,0,1,0,0,1,1,0,0,0,0,1,0,2,0,0,0,1,0,1,0,549,0,10,559,947
1,14,JALISCO,1,TEQUILA,6,AMECA,54,2,2,16,40,2,15,15,214,191,5,2,2,0,1,0,3,1,0,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,515,0,16,531,1002
1,14,JALISCO,1,TEQUILA,6,AMECA,55,2,2,29,46,2,15,11,211,195,12,5,9,2,1,0,2,2,0,2,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,550,1,12,563,996
1,14,JALISCO,1,TEQUILA,6,AMECA,56,4,4,47,63,15,33,28,516,541,37,13,9,2,0,0,8,1,3,19,1,0,0,0,1,0,2,12,0,0,0,0,0,0,4,0,0,1,2,4,0,0,1362,1,42,1405,2603
1,14,JALISCO,1,TEQUILA,6,AMECA,57,2,2,36,57,8,14,15,323,275,11,2,4,2,0,0,1,3,1,3,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,1,0,0,763,1,23,787,1333
1,14,JALISCO,1,TEQUILA,6,AMECA,58,2,2,37,32,5,2,12,206,129,14,3,2,1,0,1,5,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,456,0,11,467,771
1,14,JALISCO,1,TEQUILA,6,AMECA,59,3,3,76,80,7,13,19,545,297,22,8,10,5,0,0,2,0,0,10,0,0,0,1,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1100,0,28,1128,837
1,14,JALISCO,1,TEQUILA,6,AMECA,60,1,1,16,15,3,8,7,178,117,2,3,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,0,8,369,659
1,14,JALISCO,1,TEQUILA,6,AMECA,61,2,2,37,37,5,14,6,320,177,14,9,0,0,0,0,0,0,0,5,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,631,0,13,644,1049
