CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1937,B,1,0,B,0,11,5,2,61,2,75,95,1,6,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,269,0,10,279,538,Acta casilla,,,
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1937,C,2,0,C02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,Acta casilla,,,
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1938,C,2,0,C02,0,12,9,4,75,3,109,146,9,17,1,0,0,0,2,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,395,1,13,409,744,Acta casilla,,,
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1939,B,1,0,B,0,7,4,1,68,5,83,109,2,6,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,295,0,11,306,552,Acta casilla,,,
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1940,B,1,0,B,0,19,10,0,43,1,105,65,7,2,2,0,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,261,0,4,265,506,Acta casilla,,,
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1942,B,1,0,B,0,8,4,2,64,4,122,129,6,12,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,357,0,7,364,700,Acta casilla,,,
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1942,C,2,0,C02,0,10,3,0,90,6,100,118,14,8,3,0,0,0,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,363,0,10,373,700,Acta casilla,,,
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1942,C,5,0,C05,0,5,9,1,57,5,126,94,6,11,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,7,329,700,Acta casilla,,,
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1943,C,1,0,C01,0,19,13,2,63,8,152,118,7,17,2,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,410,1,8,419,696,Acta casilla,,,
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1943,C,3,0,C03,0,28,13,0,83,5,135,115,12,18,1,0,0,0,1,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,425,0,2,427,696,Acta casilla,,,
