ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,C_PAN_PRI_PRD,PT,PVEM,MC,C_MORENA_NAH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
13,HIDALGO,54,SAN SALVADOR,24,49,49,2098,2566,1235,931,10603,17433,29,1056,18518,28057,
13,HIDALGO,55,SANTIAGO DE ANAYA,19,29,29,839,1941,432,1328,4060,8600,12,576,9188,14066,
13,HIDALGO,56,SANTIAGO TULANTEPEC DE LUGO GUERRERO,11,44,44,4748,645,1398,1144,8270,16205,33,924,17162,28847,
13,HIDALGO,57,SINGUILUCAN,11,24,24,1735,1584,632,707,4567,9225,10,635,9870,13768,
13,HIDALGO,58,TASQUILLO,19,30,30,928,515,1349,451,5041,8284,8,624,8916,15330,
13,HIDALGO,59,TECOZAUTLA,25,51,51,4014,2667,2605,1250,5991,16527,2,991,17520,29419,
13,HIDALGO,60,TENANGO DE DORIA,14,26,27,882,745,954,2123,3424,8128,8,563,8699,13093,
13,HIDALGO,61,TEPEAPULCO,38,81,82,6528,2184,3071,2979,13231,27993,38,1502,29533,46963,
13,HIDALGO,62,TEPEHUACAN DE GUERRERO,33,47,48,5139,1641,334,286,6735,14135,21,820,14976,21386,
13,HIDALGO,63,TEPEJI DEL RIO DE OCAMPO,33,111,112,5254,4784,7656,1905,21756,41355,16,1766,43137,69049,
13,HIDALGO,64,TEPETITLAN,8,16,16,1201,1454,290,408,2671,6024,5,305,6334,8469,
13,HIDALGO,65,TETEPANGO,7,16,16,370,1699,1349,258,3141,6817,10,283,7110,9564,
13,HIDALGO,66,TEZONTEPEC DE ALDAMA,24,68,69,8808,2888,1176,1905,12839,27616,12,1425,29053,40537,
13,HIDALGO,67,TIANGUISTENGO,16,24,24,500,2848,245,142,4851,8586,14,358,8958,11534,
13,HIDALGO,68,TIZAYUCA,54,194,195,15338,10481,3007,7569,30652,67047,24,3063,70134,122820,
13,HIDALGO,69,TLAHUELILPAN,9,25,26,1324,1738,996,787,4649,9494,30,460,9984,14384,
13,HIDALGO,70,TLAHUILTEPA,17,21,21,683,1411,109,80,2586,4869,2,239,5110,7393,
13,HIDALGO,71,TLANALAPA,8,16,16,1275,1003,583,385,3022,6268,11,275,6554,9059,
13,HIDALGO,72,TLANCHINOL,26,55,56,4427,3157,881,1174,7710,17349,17,1657,19023,27038,
13,HIDALGO,73,TLAXCOAPAN,12,39,39,2606,2326,1536,1504,7423,15395,12,805,16212,23158,
13,HIDALGO,74,TOLCAYUCA,8,23,23,1804,666,453,456,5497,8876,4,334,9214,13816,
13,HIDALGO,75,TULA DE ALLENDE,52,151,153,9621,11701,5154,4536,26685,57697,47,2453,60197,92222,
13,HIDALGO,76,TULANCINGO DE BRAVO,63,219,221,15006,10503,4124,6063,38085,73781,92,4028,77901,138452,
13,HIDALGO,77,VILLA DE TEZONTEPEC,7,17,17,833,1297,982,988,2533,6633,2,321,6956,10463,
13,HIDALGO,78,XOCHIATIPAN,13,26,26,3347,834,251,233,5369,10034,13,893,10940,13893,
13,HIDALGO,79,XOCHICOATLAN,9,14,14,218,1936,65,362,1963,4544,1,167,4712,5787,
13,HIDALGO,80,YAHUALICA,15,36,36,3591,1412,693,360,6933,12989,16,1199,14204,19265,
13,HIDALGO,81,ZACUALTIPAN DE ANGELES,19,50,50,3815,3446,894,1461,6494,16110,24,815,16949,29025,
13,HIDALGO,82,ZAPOTLAN DE JUAREZ,8,28,28,2455,1216,1377,1299,5173,11520,2,478,12000,17645,
13,HIDALGO,83,ZEMPOALA,17,72,72,6048,1820,1332,4391,14188,27779,29,1230,29038,44419,
13,HIDALGO,84,ZIMAPAN,53,74,75,2712,1584,2413,762,10565,18036,35,1076,19147,32772,
