CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,CAND_IND_1,CAND_IND_2,CAND_IND_3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,798,3,3,365,49,6,24,9,24,168,9,6,0,0,0,0,0,660,0,24,684,1201
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,799,1,1,156,26,2,23,6,17,65,1,2,0,0,0,0,0,298,1,19,318,629
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,800,1,1,172,22,2,25,7,13,63,3,3,1,0,0,0,0,311,0,17,328,680
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,801,4,4,536,61,6,40,17,45,196,11,15,1,0,0,0,0,928,1,45,974,1870
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,802,4,4,676,84,16,56,16,56,249,21,21,1,0,0,0,0,1196,1,53,1250,2415
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,803,3,3,586,25,13,41,16,57,273,20,3,0,1,0,0,0,1035,0,53,1088,1773
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,804,4,4,464,70,14,51,20,59,205,16,5,3,1,0,0,0,908,0,48,956,2192
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,805,4,4,647,63,12,45,7,87,199,21,11,0,0,0,0,0,1092,1,46,1139,2407
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,806,2,2,232,26,3,21,6,44,101,5,1,0,0,0,0,0,439,0,26,465,988
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,807,3,3,328,15,3,58,10,31,247,4,6,2,0,0,0,0,704,1,46,751,1660
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,808,4,4,738,58,4,32,16,53,287,15,8,1,1,0,0,0,1213,0,44,1257,2419
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,809,4,4,741,42,8,50,24,78,193,10,6,1,0,0,0,0,1153,1,38,1192,2236
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,810,2,2,449,45,3,21,10,26,101,5,12,2,0,0,0,0,674,0,30,704,1271
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,811,3,3,697,76,7,57,19,25,176,13,7,2,0,0,0,0,1079,0,48,1127,2053
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,812,1,1,97,9,1,3,1,3,18,0,0,0,0,0,0,0,132,0,3,135,293
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,813,3,3,349,60,5,15,8,24,77,10,5,0,0,0,0,0,553,0,31,584,1248
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,814,1,1,264,25,10,25,9,11,41,4,3,1,0,0,0,0,393,0,28,421,746
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,815,2,2,267,37,9,12,12,18,88,5,8,1,0,0,0,0,457,0,49,506,1160
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,816,2,2,277,42,4,34,10,26,110,5,4,0,0,0,0,0,512,0,30,542,1033
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,817,2,2,254,36,5,22,7,20,81,6,5,0,0,0,0,0,436,1,33,470,1154
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,818,3,3,682,61,13,30,19,16,66,9,9,2,0,0,0,0,907,0,35,942,1725
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,819,1,1,89,7,2,15,8,14,123,0,0,1,0,0,0,0,259,0,20,279,640
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,820,2,2,162,56,3,46,8,15,140,2,33,0,3,0,0,0,468,0,39,507,1248
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,821,3,3,367,61,5,20,17,32,226,12,5,0,0,0,0,0,745,1,49,795,1506
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,822,2,2,235,45,6,15,9,11,234,8,3,0,0,0,0,0,566,0,49,615,1216
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,22,OCAMPO,1894,2,2,106,251,1,68,7,6,121,2,5,0,0,0,0,0,567,0,13,580,977
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,22,OCAMPO,1895,4,4,207,644,3,137,13,13,282,7,19,0,0,0,0,0,1325,0,28,1353,2341
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,22,OCAMPO,1896,2,2,74,366,2,66,11,6,189,6,6,1,0,0,0,0,727,0,26,753,1262
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,22,OCAMPO,1897,3,3,105,433,6,191,10,8,272,8,9,1,0,0,0,0,1043,0,25,1068,1826
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,22,OCAMPO,1898,1,1,9,147,0,1,1,2,49,4,2,1,0,0,0,0,216,0,2,218,277
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,22,OCAMPO,1899,2,2,59,102,2,51,7,8,153,0,1,0,0,0,0,0,383,0,34,417,892
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,22,OCAMPO,1900,1,1,11,121,0,17,4,2,70,0,0,0,0,0,0,0,225,0,10,235,366
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,22,OCAMPO,1901,4,4,94,783,4,221,4,9,138,1,5,0,1,0,0,0,1260,0,32,1292,2036
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,22,OCAMPO,1902,1,1,10,76,0,12,0,0,58,2,0,0,0,0,0,0,158,0,2,160,307
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,22,OCAMPO,1903,2,2,31,197,4,37,16,4,186,1,2,0,0,0,0,0,478,0,17,495,928
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,22,OCAMPO,1904,2,2,22,202,2,28,9,3,164,4,3,0,0,0,0,0,437,0,21,458,960
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,22,OCAMPO,1905,2,2,57,283,3,48,9,7,186,2,2,0,0,0,0,0,597,0,17,614,1059
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,22,OCAMPO,1906,2,2,59,182,8,46,15,9,270,4,7,0,0,0,0,0,600,0,20,620,1123
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,22,OCAMPO,1907,2,2,70,126,0,40,42,6,211,0,2,0,0,0,0,0,497,0,15,512,980
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,22,OCAMPO,1908,2,2,76,82,5,43,63,8,116,1,2,0,0,0,0,0,396,0,16,412,873
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,22,OCAMPO,1909,1,1,37,115,1,58,1,5,21,5,2,0,0,0,0,0,245,0,5,250,371
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,22,OCAMPO,1910,3,3,197,369,5,126,5,11,144,7,7,0,0,0,0,0,871,0,21,892,1666
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,22,OCAMPO,1911,2,2,161,220,2,111,9,16,222,4,7,0,1,0,0,0,753,0,28,781,1323
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2375,3,3,361,28,6,151,40,80,117,7,4,1,0,0,0,0,795,0,43,838,1568
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2376,2,2,201,32,3,162,29,94,77,7,1,0,0,0,0,0,606,0,25,631,1210
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2377,3,3,387,54,2,189,42,117,130,57,11,0,0,0,0,0,989,0,53,1042,2080
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2378,2,2,267,27,5,126,23,74,114,0,0,0,0,0,0,0,636,0,21,657,1230
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2379,4,4,428,47,7,255,55,182,210,16,4,1,0,0,0,0,1205,0,32,1237,2346
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2380,2,2,253,42,7,144,29,75,114,8,4,0,0,0,0,0,676,0,33,709,1286
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2381,3,3,272,38,4,215,32,109,117,11,3,1,0,0,0,0,802,3,31,836,943
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2382,4,4,412,56,7,318,67,205,228,5,2,1,0,0,0,0,1301,6,33,1340,2550
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2383,2,2,220,20,92,115,57,88,44,3,0,0,0,0,0,0,639,0,24,663,1166
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2384,2,2,190,31,1,138,37,56,57,0,0,0,0,0,0,0,510,0,14,524,915
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2385,6,6,762,73,12,453,100,296,313,26,6,0,0,0,0,0,2041,3,77,2121,4175
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2386,2,2,227,38,2,131,20,80,108,5,2,0,0,0,0,0,613,0,20,633,1160
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2387,2,2,218,15,1,169,24,68,86,7,2,0,0,0,0,0,590,0,20,610,1105
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2388,3,3,326,36,6,282,51,184,159,22,1,2,0,0,0,0,1069,3,42,1114,2063
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2389,3,3,355,56,14,198,55,143,172,14,4,0,0,0,0,0,1011,1,27,1039,2040
