CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,CAND_IND_1,CAND_IND_2,CAND_IND_3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2390,4,4,464,63,8,400,90,68,265,19,10,0,0,0,0,0,1387,0,129,1516,2942
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2391,1,1,108,19,0,115,21,52,51,1,7,0,0,0,0,0,374,0,32,406,695
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2392,3,3,260,51,8,337,23,87,131,10,2,1,0,0,0,0,910,0,39,949,2102
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2393,2,2,153,19,1,205,17,94,62,2,0,0,0,0,0,0,553,0,45,598,979
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2394,2,2,191,30,2,202,34,105,99,3,3,0,0,0,0,0,669,0,41,710,1140
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2395,2,2,105,137,4,94,16,71,61,2,5,0,0,0,0,0,495,0,22,517,877
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2396,2,2,145,58,8,156,11,12,33,13,9,0,0,0,0,0,445,0,12,457,894
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2397,2,2,182,17,4,113,27,28,34,2,4,1,0,0,0,0,412,0,17,429,882
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2398,3,3,214,47,7,353,50,23,88,3,5,0,0,0,0,0,790,0,55,845,1844
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2399,3,3,195,85,8,233,23,384,168,2,2,0,0,0,0,0,1100,3,43,1146,2215
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2400,2,2,110,8,5,234,49,61,88,2,0,0,0,0,0,0,557,1,63,621,1158
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2401,2,2,175,16,3,360,22,44,87,5,1,0,0,0,0,0,713,0,20,733,1376
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2402,2,2,96,19,4,72,16,91,47,2,0,0,0,0,0,0,347,0,10,357,764
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2403,1,1,156,29,3,60,12,12,49,4,2,0,0,0,0,0,327,0,19,346,685
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2404,1,1,67,10,2,194,16,24,16,0,2,0,0,0,0,0,331,0,10,341,595
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2405,3,3,92,26,0,339,7,388,41,2,2,0,0,0,0,0,897,3,46,946,1802
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2406,2,2,181,6,0,258,49,18,67,1,1,1,0,0,0,0,582,0,37,619,1418
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2407,3,3,247,37,3,214,113,42,62,7,2,0,0,0,0,0,727,0,50,777,1804
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2408,3,3,218,39,5,236,57,52,76,0,8,0,0,0,0,0,691,0,33,724,1677
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2409,4,4,231,80,6,392,130,75,103,10,3,0,1,0,0,0,1031,0,56,1087,2252
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2410,2,2,113,87,0,115,9,13,45,4,2,0,1,0,0,0,389,0,21,410,839
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2411,2,2,46,19,5,159,31,38,98,2,0,0,0,0,0,0,398,1,23,422,978
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2412,2,2,96,13,4,129,42,17,57,6,1,0,0,0,0,0,365,0,34,399,946
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2413,4,4,320,19,73,222,52,111,125,5,1,1,1,0,0,0,930,2,49,981,2268
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2414,3,3,304,71,4,339,48,57,184,11,7,0,0,0,0,0,1025,0,29,1054,2046
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2415,2,2,132,70,4,229,14,39,94,2,5,1,1,0,0,0,591,0,29,620,1310
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2416,1,1,73,8,0,119,2,4,62,2,0,0,0,0,0,0,270,1,31,302,599
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2417,3,3,268,31,2,178,22,30,71,4,4,1,0,0,0,0,611,1,28,640,1687
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2418,1,1,153,10,1,45,13,18,59,5,2,0,0,0,0,0,306,0,11,317,609
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2419,1,1,72,11,2,85,6,28,22,2,2,0,0,0,0,0,230,0,13,243,540
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2420,2,2,261,48,4,266,30,42,59,5,1,1,0,0,0,0,717,0,23,740,1443
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2421,2,2,104,29,6,239,62,19,55,0,4,0,0,0,0,0,518,0,36,554,1201
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2422,2,2,247,13,5,181,27,56,109,6,1,0,0,0,0,0,645,0,6,651,1359
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2423,2,2,171,16,5,153,16,28,64,3,3,0,0,0,0,0,459,0,23,482,883
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2424,2,2,100,31,9,164,26,37,44,3,2,1,0,0,0,0,417,0,28,445,947
2,11,GUANAJUATO,1,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,30,SAN FELIPE,2425,2,2,118,18,4,272,23,28,43,1,1,0,0,0,0,0,508,0,24,532,1088
