ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PSI,MORENA,NAP,FXM,PAN_PRI_PRD_PSI,PAN_PRI_PRD,PAN_PRI_PSI,PAN_PRD_PSI,PRI_PRD_PSI,PAN_PRI,PAN_PRD,PAN_PSI,PRI_PRD,PRI_PSI,PRD_PSI,PT_PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA_NAP,PT_PVEM_MORENA_FXM,PT_PVEM_NAP_FXM,PT_MORENA_NAP_FXM,PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA,PT_PVEM_NAP,PT_PVEM_FXM,PT_MORENA_NAP,PT_MORENA_FXM,PT_NAP_FXM,PVEM_MORENA_NAP,PVEM_MORENA_FXM,PVEM_NAP_FXM,MORENA_NAP_FXM,PT_PVEM,PT_MORENA,PT_NAP,PT_FXM,PVEM_MORENA,PVEM_NAP,PVEM_FXM,MORENA_NAP,MORENA_FXM,NAP_FXM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,28,CAMOCUAUTLA,2,4,4,3,934,2,0,6,51,3,787,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1828,0,28,1856,2154,
21,PUEBLA,29,CAÑADA MORELOS,9,27,27,292,2432,108,0,1311,2817,105,2017,0,0,82,81,15,1,3,57,5,1,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9347,1,480,9828,15221,
21,PUEBLA,30,CAXHUACAN,2,5,6,8,449,2,436,53,423,67,638,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2302,0,96,2398,2992,
21,PUEBLA,46,CHALCHICOMULA DE SESMA,24,62,63,1818,237,465,643,246,15222,93,2685,95,137,0,0,110,0,0,56,0,10,0,1,0,199,42,9,15,16,13,49,6,3,8,4,1,12,5,5,3,24,24,1,7,75,5,4,2,12,1,0,0,0,0,0,0,22363,30,1472,23865,35324,
21,PUEBLA,47,CHAPULCO,3,9,9,1206,741,6,20,600,368,354,326,18,648,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4299,0,144,4443,5784,
21,PUEBLA,48,CHIAUTLA,18,38,38,331,3963,38,132,716,53,39,3953,25,0,113,44,9,7,9,49,2,1,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9724,16,538,10278,17301,
21,PUEBLA,49,CHIAUTZINGO,8,24,24,760,338,32,2181,734,895,426,3537,26,53,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,9081,4,375,9460,15573,
21,PUEBLA,51,CHICHIQUILA,10,31,31,4829,4176,20,104,787,46,17,839,21,543,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,32,0,0,0,0,0,0,0,0,0,0,0,11639,0,688,12327,17242,
21,PUEBLA,50,CHICONCUAUTLA,7,22,22,286,3517,141,119,191,68,2463,1373,34,0,0,175,0,0,0,84,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8477,0,789,9266,12457,
21,PUEBLA,52,CHIETLA,21,51,51,99,97,24,8167,112,4451,25,3787,77,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,18,11,0,0,0,0,0,0,0,0,0,16995,3,895,17893,28120,
