ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PSI,MORENA,NAP,FXM,PAN_PRI_PRD_PSI,PAN_PRI_PRD,PAN_PRI_PSI,PAN_PRD_PSI,PRI_PRD_PSI,PAN_PRI,PAN_PRD,PAN_PSI,PRI_PRD,PRI_PSI,PRD_PSI,PT_PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA_FXM,PT_PVEM_NAP_FXM,PT_MORENA_NAP_FXM,PT_PVEM_MORENA,PT_PVEM_FXM,PT_MORENA_NAP,PT_MORENA_FXM,PT_NAP_FXM,PVEM_MORENA_NAP,PVEM_NAP_FXM,MORENA_NAP_FXM,PT_PVEM,PT_MORENA,PT_NAP,PT_FXM,PVEM_MORENA,PVEM_NAP,MORENA_NAP,MORENA_FXM,NAP_FXM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,1,ACAJETE,20,75,76,0,0,0,5612,1074,4477,0,8859,467,126,5069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25684,1,1584,27269,48801,
21,PUEBLA,2,ACATENO,8,15,15,0,0,0,0,0,16,14,0,12,0,0,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,3377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5534,2,199,5735,7466,
21,PUEBLA,3,ACATLAN,18,54,54,0,0,0,3919,0,63,559,4082,1935,0,0,2451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4031,0,0,0,0,0,0,0,0,0,0,0,17040,2,871,17913,29270,
21,PUEBLA,4,ACATZINGO,17,67,67,0,0,0,6670,0,262,0,0,1034,195,0,0,0,0,0,0,0,5471,1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7886,0,0,0,0,0,0,0,0,0,0,0,0,0,22587,95,1135,23817,41293,
21,PUEBLA,5,ACTEOPAN,3,5,5,0,0,0,16,0,9,0,0,0,5,0,0,0,0,0,0,0,1132,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1848,0,102,1950,2319,
21,PUEBLA,6,AHUACATLAN,7,19,19,0,0,0,32,3855,55,0,2530,0,24,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8896,0,394,9290,11390,
21,PUEBLA,7,AHUATLAN,4,5,5,495,359,13,0,0,8,0,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1508,0,51,1559,2400,
21,PUEBLA,8,AHUAZOTEPEC,4,15,15,0,0,0,77,1455,122,0,991,0,0,1590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978,0,0,0,0,0,0,5213,3,391,5607,8532,
21,PUEBLA,9,AHUEHUETITLA,1,4,4,0,2,0,349,496,4,0,404,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261,0,25,1286,1865,
21,PUEBLA,10,AJALPAN,26,81,81,0,0,199,3744,0,221,0,0,8849,0,0,0,9649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12120,0,0,0,0,0,0,0,0,0,0,0,0,0,34782,9,2216,37007,49205,
