CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PSI,MORENA,NAP,FXM,PAN_PRI_PRD_PSI,PAN_PRI_PRD,PAN_PRI_PSI,PAN_PRD_PSI,PRI_PRD_PSI,PAN_PRI,PAN_PRD,PAN_PSI,PRI_PRD,PRI_PSI,PRD_PSI,PT_PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA_NAP,PT_PVEM_MORENA_FXM,PT_PVEM_NAP_FXM,PT_MORENA_NAP_FXM,PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA,PT_PVEM_NAP,PT_PVEM_FXM,PT_MORENA_NAP,PT_MORENA_FXM,PT_NAP_FXM,PVEM_MORENA_NAP,PVEM_MORENA_FXM,PVEM_NAP_FXM,MORENA_NAP_FXM,PT_PVEM,PT_MORENA,PT_NAP,PT_FXM,PVEM_MORENA,PVEM_NAP,PVEM_FXM,MORENA_NAP,MORENA_FXM,NAP_FXM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,101,NAUPAN,834,2,2,25,386,9,21,14,10,14,453,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,81,1031,1299
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,883,2,2,129,35,77,49,55,8,19,450,0,0,11,7,0,1,0,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877,0,39,916,1275
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,884,2,2,177,28,78,80,49,0,7,456,0,0,11,6,4,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928,0,37,965,1266
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,885,2,2,125,24,49,35,27,8,7,309,0,0,5,9,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,2,37,658,850
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,886,2,2,42,16,11,63,11,3,4,83,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,7,245,360
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,887,2,2,209,24,71,194,24,6,7,248,0,0,6,9,2,1,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,0,53,868,1137
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,888,1,1,60,22,25,171,9,5,1,140,0,0,5,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0,26,472,686
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,889,3,3,132,30,39,348,27,10,7,243,0,0,10,11,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871,0,47,918,1318
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,890,4,4,59,125,202,384,84,5,25,625,0,0,5,3,0,0,0,1,8,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1567,0,91,1658,2662
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,891,1,1,22,19,30,91,43,3,2,164,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0,26,409,619
