ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_NAY,PAN_PRI,PAN_NAY,PRI_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,1,ABALA,6,11,11,1346,933,11,64,323,323,1444,93,4,2,1,0,17,2,5,15,4583,0,133,4716,5248,
31,YUCATAN,2,ACANCEH,7,19,19,2794,250,39,233,198,1704,3765,1134,0,25,0,0,31,15,19,9,10216,0,477,10693,12757,
31,YUCATAN,3,AKIL,5,15,15,1229,1378,12,127,2617,29,830,37,47,71,4,1,0,0,0,66,6448,0,295,6743,8704,
31,YUCATAN,4,BACA,5,9,9,739,326,12,668,51,841,1370,28,0,19,0,0,40,10,27,3,4134,3,144,4281,4854,
31,YUCATAN,5,BOKOBA,2,4,4,135,703,2,11,7,24,699,6,0,4,0,0,5,0,2,1,1599,0,28,1627,2042,
31,YUCATAN,6,BUCTZOTZ,6,13,13,2100,240,11,50,44,93,3069,4,3,18,0,0,25,3,6,9,5675,1,91,5767,7431,
31,YUCATAN,7,CACALCHEN,4,10,10,1032,1266,39,101,40,67,2155,64,0,7,0,0,15,6,2,2,4796,0,201,4997,6028,
31,YUCATAN,8,CALOTMUL,4,7,7,343,865,8,56,29,24,696,4,0,3,0,0,0,0,0,3,2031,0,88,2119,3613,
31,YUCATAN,9,CANSAHCAB,6,9,9,690,506,18,60,699,75,1067,56,1,1,1,0,21,7,3,12,3217,0,110,3327,3866,
31,YUCATAN,10,CANTAMAYEC,3,4,4,293,24,4,23,13,26,613,127,0,0,1,0,0,0,0,0,1124,0,20,1144,1973,
31,YUCATAN,11,CELESTUN,4,10,10,1070,88,9,399,90,49,2381,10,2,7,0,0,9,2,6,24,4146,0,128,4274,6391,
31,YUCATAN,12,CENOTILLO,5,7,7,1200,47,3,29,23,31,1227,7,3,11,0,1,9,5,7,6,2609,0,36,2645,3263,
31,YUCATAN,13,CONKAL,7,23,23,4097,2585,53,178,100,273,2351,21,28,66,6,8,82,7,32,18,9905,4,293,10202,13232,
