ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PCHU,MORENA,PMCH,PPCH,PES,RSP,FXM,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
7,CHIAPAS,59,OCOSINGO,86,293,294,1165,2090,389,44383,4885,1135,306,41855,,111,705,1028,438,,,,98490,17,4386,102893,166145,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_59_ACTA_COMPUTO.pdf
7,CHIAPAS,60,OCOTEPEC,3,14,15,2,2839,4,0,4083,2,,5,,,,0,,,,,6935,0,28,6963,9496,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_60_ACTA_COMPUTO.pdf
7,CHIAPAS,61,OCOZOCOAUTLA DE ESPINOSA,30,109,109,678,510,576,11861,854,660,1605,8852,9807,104,180,334,703,,,,36724,10,1883,38617,69830,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_61_ACTA_COMPUTO.pdf
7,CHIAPAS,62,OSTUACAN,11,26,27,68,577,23,79,140,60,451,3222,1971,,,2935,,,,,9526,0,531,10057,13742,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_62_ACTA_COMPUTO.pdf
7,CHIAPAS,63,OSUMACINTA,2,5,5,1419,24,27,7,3,4,1202,14,,,,0,,,,,2700,0,77,2777,3307,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_63_ACTA_COMPUTO.pdf
7,CHIAPAS,65,PALENQUE,39,159,160,204,301,123,26128,11505,320,76,22457,226,,220,418,,,,,61978,27,1905,63910,96105,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_65_ACTA_COMPUTO.pdf
7,CHIAPAS,67,PANTEPEC,5,17,17,2883,2,0,24,19,468,3638,99,,2,,4,,,,,7139,0,173,7312,9245,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_67_ACTA_COMPUTO.pdf
7,CHIAPAS,68,PICHUCALCO,18,46,47,,383,41,190,245,443,46,6003,643,,1714,4897,65,,,,14670,10,911,15591,24018,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_68_ACTA_COMPUTO.pdf
7,CHIAPAS,69,PIJIJIAPAN,27,73,74,240,959,116,,386,245,184,8946,255,,,7752,,,,,19083,5,756,19844,38220,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_69_ACTA_COMPUTO.pdf
7,CHIAPAS,70,EL PORVENIR,5,20,20,46,141,,23,2400,11,1260,62,146,14,58,1897,492,,,,6550,0,422,6972,10510,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_70_ACTA_COMPUTO.pdf
7,CHIAPAS,71,PUEBLO NUEVO SOLISTAHUACAN,10,33,33,,49,68,33,,,44,5948,6958,,260,52,,,,,13412,0,437,13849,18664,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_71_ACTA_COMPUTO.pdf
7,CHIAPAS,72,RAYON,3,13,14,10,8,2,11,12,412,1868,29,9,1,70,3457,,,,,5889,0,225,6114,7209,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_72_ACTA_COMPUTO.pdf
7,CHIAPAS,73,REFORMA,20,57,58,78,362,98,283,214,9733,119,7162,124,85,98,90,129,,,,18575,7,745,19327,31942,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_73_ACTA_COMPUTO.pdf
7,CHIAPAS,74,LAS ROSAS,12,36,36,54,97,40,4654,95,90,45,6427,95,21,44,52,62,,,,11776,12,1913,13701,20517,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_74_ACTA_COMPUTO.pdf
7,CHIAPAS,75,SABANILLA,11,36,36,,64,,21,6335,,9,9729,121,,,38,,,,,16317,0,221,16538,20850,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_75_ACTA_COMPUTO.pdf
7,CHIAPAS,76,SALTO DE AGUA,24,79,79,103,121,76,15482,137,197,520,14585,492,,283,197,,,,,32193,31,1100,33324,46228,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_76_ACTA_COMPUTO.pdf
7,CHIAPAS,77,SAN CRISTOBAL DE LAS CASAS,60,242,243,4730,8616,2999,6043,16611,5206,1460,24197,432,271,528,3143,764,,,,75000,161,6791,81952,148730,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_77_ACTA_COMPUTO.pdf
7,CHIAPAS,78,SAN FERNANDO,15,53,54,164,156,38,5721,1359,852,2008,2235,161,,1730,4932,49,,,,19405,14,1022,20441,29626,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_78_ACTA_COMPUTO.pdf
