ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PCHU,MORENA,PMCH,PPCH,PES,RSP,FXM,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
7,CHIAPAS,99,LA TRINITARIA,36,103,104,164,341,76,7669,191,317,60,31869,597,,,93,,,,,41377,2,1401,42780,62717,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_99_ACTA_COMPUTO.pdf
7,CHIAPAS,100,TUMBALA,12,46,46,92,135,38,11742,138,124,47,3166,,,,3147,,,,,18629,0,952,19581,25538,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_100_ACTA_COMPUTO.pdf
7,CHIAPAS,101,TUXTLA CHICO,22,56,56,475,4485,165,4627,312,191,918,2028,88,,2566,3687,,,,,19542,3,947,20492,32842,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_101_ACTA_COMPUTO.pdf
7,CHIAPAS,102,TUXTLA GUTIERREZ,255,757,758,63520,16106,6024,11422,9376,17396,2230,94893,1323,1213,1186,1359,1456,,,,227504,178,7016,234698,467347,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_102_ACTA_COMPUTO.pdf
7,CHIAPAS,103,TUZANTAN,16,40,40,103,90,33,5426,5913,47,12,799,440,,,94,23,,,,12980,1,655,13636,23326,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_103_ACTA_COMPUTO.pdf
7,CHIAPAS,104,TZIMOL,7,23,23,33,88,28,77,72,69,2971,913,,,78,4584,,,,,8913,0,696,9609,12678,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_104_ACTA_COMPUTO.pdf
7,CHIAPAS,105,UNION JUAREZ,8,22,22,64,40,20,51,1517,1705,1660,1271,363,,191,1668,,,,,8550,0,432,8982,12588,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_105_ACTA_COMPUTO.pdf
7,CHIAPAS,106,VENUSTIANO CARRANZA,28,80,80,343,345,187,2739,12580,,205,4533,,,185,157,,,,,21274,3,1887,23164,48266,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_106_ACTA_COMPUTO.pdf
7,CHIAPAS,107,VILLACOMALTITLAN,16,42,42,28,48,11,7381,48,504,252,5964,95,,,23,,,,,14354,0,438,14792,23295,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_107_ACTA_COMPUTO.pdf
7,CHIAPAS,108,VILLA CORZO,26,84,85,395,484,114,14765,189,172,103,10692,126,43,75,67,,,,,27225,40,1420,28685,48459,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_108_ACTA_COMPUTO.pdf
7,CHIAPAS,109,VILLAFLORES,48,142,143,1419,880,328,4627,4182,458,77,53568,137,3718,41,34,69,,,,69538,44,2547,72129,82824,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_109_ACTA_COMPUTO.pdf
7,CHIAPAS,110,YAJALON,13,51,52,51,109,32,9160,3811,23,17,151,,,7816,22,23,,,,21215,2,899,22116,29502,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_110_ACTA_COMPUTO.pdf
7,CHIAPAS,111,ZINACANTAN,15,60,60,,25130,,385,280,,,3706,,,,112,,,,,29613,0,695,30308,34274,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_111_ACTA_COMPUTO.pdf
7,CHIAPAS,112,ALDAMA,2,9,9,13,1884,9,26,42,,,752,,,,,,,,,2726,0,146,2872,5069,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_112_ACTA_COMPUTO.pdf
7,CHIAPAS,113,BENEMERITO DE LAS AMERICAS,6,26,26,38,176,41,,204,,3070,896,64,16,367,22,993,,,,5887,0,808,6695,13948,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_113_ACTA_COMPUTO.pdf
7,CHIAPAS,114,MARAVILLA TENEJAPA,5,25,25,,19,,,106,,17,4017,,19,,1598,,,,,5776,0,219,5995,9490,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_114_ACTA_COMPUTO.pdf
7,CHIAPAS,115,MARQUES DE COMILLAS,7,18,18,,14,,,2864,15,2543,92,,3,,401,,,,,5932,0,313,6245,8525,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_115_ACTA_COMPUTO.pdf
7,CHIAPAS,116,MONTECRISTO DE GUERRERO,4,11,11,35,38,11,,11,19,866,1377,40,,,2007,,,,,4404,0,190,4594,6273,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_116_ACTA_COMPUTO.pdf
7,CHIAPAS,117,SAN ANDRES DURAZNAL,3,6,6,,6,,,15,,20,1384,1570,,,0,,,,,2995,0,101,3096,4003,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_117_ACTA_COMPUTO.pdf
7,CHIAPAS,118,SANTIAGO EL PINAR,1,5,5,0,1,,2,1354,2,0,1144,6,1,2,0,,,,,2512,0,17,2529,2985,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_118_ACTA_COMPUTO.pdf
7,CHIAPAS,119,CAPITAN LUIS ANGEL VIDAL,2,6,6,5,11,5,792,,,,713,225,,4,129,,,,,1884,0,55,1939,3030,https://computos2024extra.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_119_ACTA_COMPUTO.pdf 
7,CHIAPAS,120,RINCON CHAMULA SAN PEDRO,2,9,9,16,15,23,,1657,,20,1837,29,,13,21,,,,,3631,0,145,3776,5366,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_120_ACTA_COMPUTO.pdf
7,CHIAPAS,121,EL PARRAL,5,20,20,,52,,2202,2464,20,120,2521,56,10,20,968,,,,,8433,0,265,8590,12481,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_121_ACTA_COMPUTO.pdf
7,CHIAPAS,122,EMILIANO ZAPATA,4,15,15,42,44,19,173,75,68,138,3254,71,20,40,2309,,,,,6253,0,321,6574,9217,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_122_ACTA_COMPUTO.pdf
7,CHIAPAS,123,MEZCALAPA,14,35,36,50,114,33,135,146,74,157,4798,,,3892,1512,,,,,10911,2,784,11697,17490,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_123_ACTA_COMPUTO.pdf
7,CHIAPAS,124,HONDURAS DE LA SIERRA,3,11,11,2,57,7,22,15,7,454,67,1327,,,784,10,,,,2752,0,178,2930,6060,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_124_ACTA_COMPUTO.pdf
