ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,1,PANUCO,242,400,402,17661,8293,1460,7427,2644,5344,62249,2075,1091,486,53,63,2750,364,1149,396,113505,35,3753,117291,197277,
30,VERACRUZ,2,TANTOYUCA,205,380,381,28305,8791,3090,7937,3689,5350,53759,2357,1220,467,107,54,2154,408,691,293,118672,18,4595,123285,199892,
30,VERACRUZ,3,TUXPAN,166,390,392,13915,6775,5040,7526,4064,11076,61054,2968,1343,322,91,39,3537,339,1002,512,119603,248,4108,123959,220578,
30,VERACRUZ,4,ALAMO TEMAPACHE,210,408,409,17953,13464,2852,9052,5322,9258,57040,3197,1205,395,91,50,,,,,119879,39,8950,128868,216984,
30,VERACRUZ,5,POZA RICA DE HIDALGO,142,323,325,13072,6694,2213,3423,2148,10582,61193,2712,1308,200,52,32,3634,219,795,519,108796,79,2740,111615,187023,
30,VERACRUZ,6,PAPANTLA,155,374,375,13208,9353,11592,8556,3462,9953,58860,1978,1611,256,102,91,2527,350,689,326,122914,19,4477,127410,213200,
30,VERACRUZ,7,MARTINEZ DE LA TORRE,181,365,367,12413,5848,5837,5980,1990,6588,54871,2159,1141,224,84,67,2540,290,844,344,101220,53,3219,104492,190192,
30,VERACRUZ,8,MISANTLA,215,402,405,13964,6984,1621,11314,7323,8376,52893,5397,983,308,50,35,2476,512,920,560,113716,32,4245,117993,199164,
30,VERACRUZ,9,PEROTE,132,363,364,8105,18092,1196,10076,3199,12344,50301,2428,1408,517,30,78,2399,355,960,342,111830,48,4505,116383,198396,
30,VERACRUZ,10,XALAPA,111,318,319,29128,17177,1838,3824,1887,10542,43326,2962,3364,712,71,25,2879,142,718,396,118991,120,3263,122374,192591,
30,VERACRUZ,11,XALAPA,157,345,346,21900,16152,1604,4498,2178,12612,52007,4413,2906,616,51,30,3580,207,815,467,124036,101,3850,127987,201620,
30,VERACRUZ,12,COATEPEC,123,345,346,14473,18333,1633,5138,4775,9097,54339,3221,1793,545,65,62,2771,386,780,556,117967,72,4675,122714,201027,
30,VERACRUZ,13,EMILIANO ZAPATA,170,375,376,15132,9761,1166,5037,2717,14359,60850,3501,1394,396,39,36,2732,224,814,444,118602,53,3314,121969,203685,
30,VERACRUZ,14,VERACRUZ,170,401,402,36955,5219,859,4349,2125,10026,63217,1624,2126,544,65,15,4443,256,1039,499,133361,91,2933,136385,236988,
30,VERACRUZ,15,VERACRUZ,206,427,428,49163,7256,970,4827,3097,10503,60273,2067,2746,710,79,39,4084,194,1000,593,147601,66,3087,150754,248519,
30,VERACRUZ,16,BOCA DEL RIO,157,364,366,47599,6770,834,12165,1626,6708,43876,1239,2426,655,93,12,,,,,124003,40,6238,130281,213360,
30,VERACRUZ,17,ALVARADO,172,388,390,27477,9580,1762,7981,2477,6299,53370,2076,1757,584,105,34,2814,419,1212,393,118340,29,4338,122707,206490,
30,VERACRUZ,18,HUATUSCO,121,341,344,19877,14085,2229,6751,3037,10845,42945,3144,2139,834,105,47,1867,357,786,285,109333,48,5264,114645,197703,
30,VERACRUZ,19,CORDOBA,158,372,373,20174,9887,1281,5350,2576,10398,65607,2263,1474,479,34,23,3309,203,962,524,124544,103,3454,128101,210719,
30,VERACRUZ,20,ORIZABA,168,397,399,21383,14722,2165,5357,2886,22468,59967,5365,2157,466,73,48,3511,265,859,535,142227,130,4629,146986,224656,
30,VERACRUZ,21,RIO BLANCO,120,318,320,12372,7737,3353,9162,2639,11271,52130,2961,1165,294,103,52,2964,326,917,395,107841,64,4254,112159,187893,
30,VERACRUZ,22,ZONGOLICA,134,338,339,15307,16385,3330,8006,4027,5544,37176,2750,1340,629,120,107,1706,405,637,288,97757,37,5894,103688,190012,
30,VERACRUZ,23,COSAMALOAPAN,203,386,387,14275,8373,974,4360,2385,7269,63061,3926,1056,381,27,47,2632,385,846,431,110428,69,3774,114273,201118,
30,VERACRUZ,24,SANTIAGO TUXTLA,182,358,360,9121,6280,8683,5225,3023,7703,57294,1901,1198,262,108,110,2944,398,890,452,105592,19,4638,110249,197417,
30,VERACRUZ,25,SAN ANDRES TUXTLA,138,338,339,9854,5884,1742,3575,2890,12818,46792,1836,1189,305,61,33,2776,319,639,472,91185,25,3882,95092,192396,
30,VERACRUZ,26,COSOLEACAQUE,136,338,339,7283,16291,1844,3100,2836,5419,62361,2648,1111,283,56,136,2796,260,579,468,107471,87,4043,111601,191665,
30,VERACRUZ,27,ACAYUCAN,176,395,397,9510,5897,4695,12333,2872,5672,66589,3130,817,230,94,126,3050,427,1096,396,116934,48,4217,121199,211478,
30,VERACRUZ,28,MINATITLAN,156,337,338,7383,5077,878,3520,3050,8462,65447,1848,697,170,33,39,3121,264,718,467,101174,71,2818,104063,174546,
30,VERACRUZ,29,COATZACOALCOS,172,343,344,8184,6728,745,2676,2816,18335,62569,2223,1040,187,36,41,3988,180,694,679,111121,70,2671,113862,191074,
30,VERACRUZ,30,COATZACOALCOS,159,356,358,4576,6354,1436,2790,3131,8865,66092,1860,681,161,28,41,3658,296,705,626,101300,24,3317,104641,183102,
