ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,1,PANUCO,242,400,402,18295,8932,1880,9100,3940,5344,63939,2075,113505,35,3753,117293,197277,
30,VERACRUZ,2,TANTOYUCA,205,380,381,29000,9458,3576,9204,4757,5350,54970,2357,118672,18,4595,123285,199892,
30,VERACRUZ,3,TUXPAN,166,390,392,14570,7404,5551,9376,5668,11076,62990,2968,119603,248,4108,123959,220578,
30,VERACRUZ,4,ALAMO TEMAPACHE,210,408,409,18599,14088,3323,9052,5322,9258,57040,3197,119879,39,8950,128868,216984,
30,VERACRUZ,5,POZA RICA DE HIDALGO,142,323,325,13634,7246,2691,5141,3727,10582,63063,2712,108796,79,2740,111615,187023,
30,VERACRUZ,6,PAPANTLA,155,374,375,13924,10063,12226,9917,4642,9953,60211,1978,122914,19,4477,127410,213200,
30,VERACRUZ,7,MARTINEZ DE LA TORRE,181,365,367,12948,6374,6292,7394,3153,6588,56312,2159,101220,53,3219,104492,190192,
30,VERACRUZ,8,MISANTLA,215,402,405,14471,7484,1990,12855,8684,8376,54459,5397,113716,32,4245,117993,199164,
30,VERACRUZ,9,PEROTE,132,363,364,8849,18858,1719,11534,4346,12344,51752,2428,111830,48,4505,116383,198396,
30,VERACRUZ,10,XALAPA,111,318,319,30642,18667,3006,5214,3115,10542,44843,2962,118991,120,3263,122374,192591,
30,VERACRUZ,11,XALAPA,157,345,346,23203,17444,2612,6202,3707,12612,53843,4413,124036,101,3850,127987,201620,
30,VERACRUZ,12,COATEPEC,123,345,346,15376,19235,2293,6645,6169,9097,55931,3221,117967,72,4675,122714,201027,
30,VERACRUZ,13,EMILIANO ZAPATA,170,375,376,15815,10442,1667,6467,3961,14359,62390,3501,118602,53,3314,121969,203685,
30,VERACRUZ,14,VERACRUZ,170,401,402,37969,6208,1606,6477,3983,10026,65468,1624,133361,91,2933,136385,236988,
30,VERACRUZ,15,VERACRUZ,206,427,428,50474,8546,1943,6785,4851,10503,62432,2067,147601,66,3087,150754,248519,
30,VERACRUZ,16,BOCA DEL RIO,157,364,366,48783,7912,1694,12165,1626,6708,43876,1239,124003,40,6238,130281,213360,
30,VERACRUZ,17,ALVARADO,172,388,390,28408,10475,2416,9735,3820,6299,55111,2076,118340,29,4338,122707,206490,
30,VERACRUZ,18,HUATUSCO,121,341,344,21060,15239,3017,7945,3979,10845,44104,3144,109333,48,5264,114645,197703,
30,VERACRUZ,19,CORDOBA,158,372,373,20923,10629,1800,7036,4042,10398,67453,2263,124544,103,3454,128101,210719,
30,VERACRUZ,20,ORIZABA,168,397,399,22372,15698,2944,7089,4455,22468,61836,5365,142227,130,4629,146986,224656,
30,VERACRUZ,21,RIO BLANCO,120,318,320,12960,8298,3818,10771,3987,11271,53775,2961,107841,64,4254,112159,187893,
30,VERACRUZ,22,ZONGOLICA,134,338,339,16128,17201,3889,9096,4941,5544,38208,2750,97757,37,5894,103688,190012,
30,VERACRUZ,23,COSAMALOAPAN,203,386,387,14832,8939,1362,5853,3671,7269,64578,3926,110430,69,3774,114273,201118,
30,VERACRUZ,24,SANTIAGO TUXTLA,182,358,360,9706,6866,9190,6850,4429,7703,58947,1901,105592,19,4638,110249,197417,
30,VERACRUZ,25,SAN ANDRES TUXTLA,138,338,339,10435,6449,2184,4979,4210,12818,48274,1836,91185,25,3882,95092,192396,
30,VERACRUZ,26,COSOLEACAQUE,136,338,339,7822,16872,2310,4451,4132,5419,63817,2648,107471,87,4043,111601,191665,
30,VERACRUZ,27,ACAYUCAN,176,395,397,9945,6347,5077,14112,4299,5672,68352,3130,116934,48,4217,121199,211478,
30,VERACRUZ,28,MINATITLAN,156,337,338,7718,5414,1145,5051,4455,8462,67081,1848,101174,71,2818,104063,174546,
30,VERACRUZ,29,COATZACOALCOS,172,343,344,8643,7189,1129,4442,4574,18335,64586,2223,111121,70,2671,113862,191074,
30,VERACRUZ,30,COATZACOALCOS,159,356,358,4897,6683,1697,4509,4811,8865,67978,1860,101300,24,3317,104641,183102,
