CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MA,FXMG,PSG,PES,PAC,MLGRO,PBG,REGENERACION,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1204,B,1,0,B,0,12,40,12,16,8,51,153,0,4,5,6,13,5,1,1,3,0,0,0,7,0,0,0,337,2,21,360,712,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1204,C,1,0,C01,0,18,28,10,10,13,50,126,1,0,4,9,10,6,5,1,0,0,0,0,4,0,1,2,298,0,24,322,712,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1204,C,2,0,C02,0,23,39,15,12,6,51,118,2,3,5,6,7,11,4,2,5,0,0,1,8,2,1,2,323,0,24,347,712,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1204,C,3,0,C03,0,10,47,9,15,6,48,137,1,5,8,8,8,6,3,4,0,0,0,0,6,2,0,0,323,1,24,348,712,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1204,C,4,0,C04,0,9,25,13,8,7,62,135,0,1,5,8,4,5,8,2,4,0,0,1,6,1,1,0,305,0,29,334,712,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1204,C,5,0,C05,0,9,30,20,17,8,64,125,2,1,7,6,10,7,10,0,1,0,0,0,4,0,1,0,322,0,14,336,712,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1204,C,6,0,C06,0,12,30,19,13,6,44,146,1,2,12,5,2,11,1,0,4,1,0,1,5,1,0,2,318,1,21,340,712,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1204,C,7,0,C07,0,5,26,14,10,12,62,121,2,0,8,5,7,9,2,2,7,0,0,0,8,2,0,2,304,0,18,322,712,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1204,C,8,0,C08,0,6,21,16,18,18,56,125,0,1,5,13,9,15,7,1,3,0,0,0,11,0,0,0,325,0,17,342,712,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1204,C,9,0,C09,0,7,36,13,10,15,46,138,1,1,5,9,8,9,2,4,3,0,0,3,10,0,0,2,322,1,22,345,712,GRUPO DE RECUENTO,,,
