ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MA,FXMG,PSG,PES,PAC,MLGRO,PBG,REGENERACION,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
12,GUERRERO,57,TECOANAPA,39,65,65,2887,806,1160,4188,626,7278,3563,19,47,6,44,147,20,45,21,132,27,40,18,177,91,13,113,21468,0,21533,43001,33002,
12,GUERRERO,58,TECPAN DE GALEANA,66,105,106,305,1994,2324,2173,780,1676,16593,20,250,19,160,130,387,416,48,162,18,10,35,386,83,54,126,28149,12,1298,29459,50616,
12,GUERRERO,59,TELOLOAPAN,74,101,102,353,1005,8794,749,655,795,4707,167,115,0,0,46,40,224,0,82,8,29,39,169,87,36,62,18162,112,1740,20014,39302,
12,GUERRERO,60,TEPECOACUILCO DE TRUJANO,31,49,49,4026,529,183,313,216,3293,5101,222,0,9,23,59,27,77,80,104,52,15,0,145,40,27,43,14584,3,671,15258,25048,
12,GUERRERO,61,TETIPAC,23,27,27,270,1388,98,1969,337,282,848,24,29,0,16,9,10,19,6,54,19,4,2,113,93,8,55,5653,0,394,6047,9771,
12,GUERRERO,62,TIXTLA DE GUERRERO,29,60,61,327,2911,2968,1140,485,737,7219,39,0,151,72,74,73,354,69,190,14,13,114,227,52,46,88,17363,8,1001,18372,32950,
12,GUERRERO,63,TLACOACHISTLAHUACA,14,32,32,76,1303,151,4658,168,126,4218,4,29,0,18,28,18,106,72,8,5,0,1,3,5,5,23,11025,0,403,11428,16684,
12,GUERRERO,64,TLACOAPA,10,15,15,40,133,634,1543,590,277,1171,8,8,2,28,7,7,18,100,1,0,0,0,7,9,3,11,4597,1,318,4916,6754,
12,GUERRERO,65,TLALCHAPA,17,22,22,109,3883,153,93,72,58,1268,7,2,0,0,12,7,8,4,9,5,2,6,36,5,4,13,5756,9,236,6001,9727,
12,GUERRERO,66,TLALIXTAQUILLA DE MALDONADO,8,13,13,10,325,11,64,665,1114,1015,2,4,0,6,5,14,17,3,42,0,1,0,195,2,9,2,3506,0,201,3707,5732,
12,GUERRERO,67,TLAPA DE COMONFORT,36,114,114,327,7942,526,1278,5931,2022,8822,107,86,88,781,396,3895,3929,118,124,28,10,41,409,123,188,50,37221,135,3011,40367,67851,
12,GUERRERO,68,TLAPEHUALA,22,36,36,75,7774,127,110,91,91,2055,41,5,0,0,16,8,8,8,183,6,1,5,160,15,8,6,10793,0,235,11028,17056,
12,GUERRERO,69,LA UNION DE ISIDORO MONTES DE OCA,33,51,51,59,932,6620,789,154,83,5929,7,25,0,14,38,12,15,124,30,2,10,12,93,29,17,41,15035,4,587,15626,21830,
12,GUERRERO,70,XALPATLAHUAC,13,20,20,147,1619,217,185,187,1732,1438,8,28,9,104,48,38,158,18,5,8,1,4,15,9,2,4,5984,8,745,6737,10145,
12,GUERRERO,71,XOCHIHUEHUETLAN,8,12,12,46,52,769,94,102,82,2170,7,0,2,6,12,209,29,6,1,0,1,1,17,8,5,8,3627,0,160,3787,5968,
12,GUERRERO,72,XOCHISTLAHUACA,15,39,39,82,5166,59,301,258,296,7508,18,46,0,47,73,52,190,135,12,6,3,5,30,18,17,17,14339,1,662,15002,21765,
12,GUERRERO,73,ZAPOTITLAN TABLAS,9,16,16,36,155,633,137,1541,404,1420,0,17,8,25,235,187,89,6,9,1,3,7,12,12,15,2,4954,0,412,5366,7678,
12,GUERRERO,74,ZIRANDARO,22,32,33,106,875,2398,149,99,96,4123,5,0,0,3,131,7,10,0,91,6,14,44,63,14,22,16,8272,0,256,8528,13938,
12,GUERRERO,75,ZITLALA,19,33,34,500,2587,2847,267,305,114,2906,20,0,14,30,17,24,62,32,20,15,10,28,39,15,6,15,9873,1,541,10415,16416,
12,GUERRERO,76,ACATEPEC,26,67,67,88,57,8674,6879,141,69,2006,13,18,15,107,22,7,52,13,21,3,6,7,34,17,3,59,18311,17,424,18752,24372,
12,GUERRERO,77,JOSE JOAQUIN DE HERRERA,9,21,21,31,3654,65,1411,207,53,2089,8,0,0,19,15,8,44,43,7,5,0,3,0,0,0,0,7662,1,461,8124,11880,
12,GUERRERO,78,ILIATENCO,6,14,14,25,211,296,394,836,1806,720,3,19,5,543,25,4,58,10,0,0,0,0,3,11,5,4,4978,3,313,5293,7781,
12,GUERRERO,79,COCHOAPA EL GRANDE,16,33,33,732,87,333,2004,2195,101,1292,2191,53,27,26,43,36,73,14,7,2,2,2,2,15,9,5,9251,0,502,9753,15760,
12,GUERRERO,80,MARQUELIA,11,19,20,300,1187,175,1545,910,292,1801,15,12,69,12,13,0,20,0,42,14,3,8,0,0,0,0,6418,0,367,6785,10150,
12,GUERRERO,81,JUCHITAN,12,15,15,1387,149,53,542,138,321,1477,3,6,47,12,6,0,16,0,18,3,2,3,0,0,0,0,4183,0,212,4395,5690,
12,GUERRERO,82,NUU SAVI,12,20,20,57,141,602,236,173,38,1524,28,47,4,39,28,12,53,56,9,3,0,19,27,16,12,16,3140,1,369,3510,7596,
12,GUERRERO,83,LAS VIGAS,9,14,14,12,101,544,294,104,722,1466,0,4,2,10,44,4,32,1,5,0,1,6,49,23,10,30,3464,0,236,3700,7166,
12,GUERRERO,84,SAN NICOLAS,8,12,12,18,98,32,1011,330,123,617,5,2,6,48,4,0,376,0,2,0,0,3,0,0,0,0,2675,1,251,2927,5088,
12,GUERRERO,85,SANTA CRUZ DEL RINCON,3,9,9,12,37,83,55,919,107,438,2,14,7,117,15,414,448,3,0,1,1,0,18,10,8,1,2710,1,215,2925,4960,
