CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MA,FXMG,PSG,PES,PAC,MLGRO,PBG,REGENERACION,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1204,13,13,137,430,185,170,130,696,1720,14,20,81,97,104,105,53,20,46,3,2,6,89,12,7,14,4141,6,266,4413,9253
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1205,4,4,35,108,55,50,42,151,484,4,5,18,25,25,48,17,9,11,0,2,0,27,7,4,7,1134,4,58,1196,2557
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1206,3,3,24,104,37,34,48,127,357,0,4,11,29,18,3,16,2,4,0,0,2,15,7,4,3,849,2,54,905,1691
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1209,2,2,10,37,27,38,26,62,252,2,5,7,13,12,11,5,2,7,0,0,1,11,3,4,4,539,2,38,579,1223
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1210,5,5,50,130,74,76,43,178,626,6,3,29,27,18,20,19,8,9,0,1,2,20,6,6,7,1358,0,83,1441,3045
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1211,4,4,30,114,66,51,50,142,632,5,6,18,40,26,9,16,5,11,2,0,3,26,7,5,5,1269,0,72,1341,2743
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1212,4,4,65,151,91,63,47,273,603,5,7,41,21,30,30,31,10,18,2,1,3,28,5,10,8,1543,1,71,1615,2998
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1214,3,3,48,131,32,40,32,135,419,1,12,14,15,6,8,25,10,13,0,0,2,23,2,1,15,984,6,60,1050,1809
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1215,3,3,58,112,40,19,13,135,279,5,9,13,13,4,9,11,5,14,0,0,0,18,1,4,4,766,1,24,791,1155
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1216,4,4,61,195,55,56,32,188,496,5,7,17,32,8,7,11,7,11,4,0,3,24,4,2,2,1227,4,49,1280,2156
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1217,3,3,33,99,46,61,38,178,485,6,8,12,37,20,12,20,12,8,4,0,0,25,5,10,8,1127,2,68,1197,2246
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1219,2,2,26,72,39,25,17,113,344,1,3,14,17,11,12,22,8,7,2,0,0,22,3,2,2,762,1,59,822,1422
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1220,2,2,47,142,40,30,19,154,304,3,8,15,16,7,11,7,5,17,1,0,0,10,3,3,3,845,2,35,882,1464
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1221,4,4,26,144,55,54,42,150,530,2,13,27,27,18,9,40,6,14,0,0,1,18,2,8,9,1195,4,73,1272,2890
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1222,4,4,48,127,79,52,46,183,510,0,6,10,27,14,10,27,7,25,2,0,3,35,8,3,10,1232,1,78,1311,2742
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1223,2,2,37,65,29,30,25,85,266,5,9,16,10,4,4,13,5,11,0,0,2,25,5,3,3,652,2,44,698,1336
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1224,2,2,21,76,26,26,15,56,186,4,2,10,11,5,4,8,2,7,0,0,0,7,1,1,0,468,1,23,492,857
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1225,3,3,55,97,32,20,15,110,204,2,5,17,14,2,4,11,4,7,1,0,0,3,1,3,1,608,0,31,639,1069
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1226,3,3,40,133,51,28,20,129,397,5,5,22,21,7,9,33,0,15,0,0,0,20,2,2,5,944,2,37,983,1569
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1227,3,3,45,180,67,44,41,144,542,5,6,25,36,10,7,23,5,19,1,0,2,15,15,4,7,1243,4,59,1306,2214
