CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PUP,NAO,FXMO,MUJER,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,PVEM_MORENA_FXMO,PVEM_MORENA,PVEM_FXMO,MORENA_FXMO,C_PVEM_FXMO,PT_PUP,PT_NAO,PUP_NAO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,31,3,3,23,62,12,112,244,42,709,6,4,17,21,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1256,0,66,1322,2055
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,32,1,1,13,81,1,5,14,1,150,1,1,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,0,9,283,397
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,33,3,3,14,32,6,109,126,37,535,6,9,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891,0,89,980,1324
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,34,2,2,18,23,6,88,137,36,439,4,5,18,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787,0,53,840,1177
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,24,COSOLAPA,134,2,2,7,8,2,203,19,18,166,3,2,15,47,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,497,0,32,529,760
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,24,COSOLAPA,135,3,3,20,18,0,502,32,51,315,9,5,27,160,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1150,0,100,1250,1837
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,24,COSOLAPA,136,3,3,14,12,1,373,47,74,386,4,4,28,182,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1132,0,95,1227,1891
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,24,COSOLAPA,137,1,1,4,3,1,279,14,10,82,0,1,5,21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,422,0,25,447,595
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,24,COSOLAPA,138,1,1,0,2,3,260,9,15,84,3,0,7,23,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,411,0,26,437,629
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,24,COSOLAPA,139,2,2,12,14,2,398,14,33,215,8,6,30,68,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,802,1,72,875,1258
