CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,CAND_IND2,CAND_IND3,PVEM_MORENA,PAN_PRI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,27,TABASCO,13,CUNDUACAN,6,CUNDUACAN,655,3,3,1,7,6,22,0,7,377,,,290,,,710,0,49,759,1158
3,27,TABASCO,13,CUNDUACAN,6,CUNDUACAN,656,4,4,7,9,59,65,0,13,889,,,409,,,1451,0,76,1527,2315
3,27,TABASCO,13,CUNDUACAN,6,CUNDUACAN,657,2,2,1,9,4,33,0,14,269,,,242,,,572,0,35,607,1017
3,27,TABASCO,13,CUNDUACAN,6,CUNDUACAN,658,3,3,10,1,79,48,0,17,484,,,349,,,988,0,51,1039,1593
3,27,TABASCO,13,CUNDUACAN,6,CUNDUACAN,659,5,5,2,6,16,84,0,25,576,,,825,,,1534,0,126,1660,3144
3,27,TABASCO,13,CUNDUACAN,6,CUNDUACAN,660,1,1,0,2,6,12,0,7,194,,,176,,,397,0,31,428,662
3,27,TABASCO,13,CUNDUACAN,6,CUNDUACAN,661,2,2,2,5,5,78,0,3,307,,,245,,,645,0,33,678,1036
3,27,TABASCO,13,CUNDUACAN,6,CUNDUACAN,662,2,2,2,7,5,50,0,20,382,,,377,,,843,0,39,882,1482
3,27,TABASCO,13,CUNDUACAN,6,CUNDUACAN,663,5,5,8,6,17,73,0,38,801,,,1033,,,1976,0,148,2124,3490
3,27,TABASCO,13,CUNDUACAN,6,CUNDUACAN,664,2,2,2,13,11,33,0,7,375,,,260,,,701,0,53,754,1204
3,27,TABASCO,13,CUNDUACAN,6,CUNDUACAN,665,4,4,5,15,12,40,0,28,759,,,594,,,1453,0,116,1569,2412
3,27,TABASCO,13,CUNDUACAN,6,CUNDUACAN,666,3,3,4,16,14,54,0,27,602,,,302,,,1019,0,74,1093,1625
3,27,TABASCO,13,CUNDUACAN,6,CUNDUACAN,667,2,2,3,11,10,54,0,7,336,,,219,,,640,0,53,693,1171
3,27,TABASCO,13,CUNDUACAN,6,CUNDUACAN,1202,3,3,4,7,13,38,0,18,461,,,595,,,1136,0,56,1192,2022
3,27,TABASCO,13,CUNDUACAN,6,CUNDUACAN,1203,2,2,3,5,4,26,0,6,257,,,386,,,687,0,51,738,1245
3,27,TABASCO,14,EMILIANO ZAPATA,7,EMILIANO ZAPATA,0,0,1,0,0,0,0,0,1,0,,,,0,,1,0,0,1,2
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,0,0,1,0,0,0,0,0,0,1,,,,,,1,0,0,1,1
3,27,TABASCO,14,EMILIANO ZAPATA,7,EMILIANO ZAPATA,668,4,4,4,4,14,28,26,872,602,,,,15,,1565,0,37,1602,2287
3,27,TABASCO,14,EMILIANO ZAPATA,7,EMILIANO ZAPATA,669,2,2,1,1,7,8,17,393,266,,,,1,,694,0,17,711,1037
3,27,TABASCO,14,EMILIANO ZAPATA,7,EMILIANO ZAPATA,670,2,2,4,4,10,24,5,271,258,,,,7,,583,0,11,594,699
3,27,TABASCO,14,EMILIANO ZAPATA,7,EMILIANO ZAPATA,671,2,2,2,4,4,9,8,423,340,,,,10,,800,0,12,812,1025
3,27,TABASCO,14,EMILIANO ZAPATA,7,EMILIANO ZAPATA,672,3,3,3,2,13,21,28,682,592,,,,8,,1349,0,35,1384,2079
3,27,TABASCO,14,EMILIANO ZAPATA,7,EMILIANO ZAPATA,673,2,2,3,1,4,16,15,424,290,,,,4,,757,0,24,781,1019
3,27,TABASCO,14,EMILIANO ZAPATA,7,EMILIANO ZAPATA,674,6,6,9,4,11,45,64,1276,921,,,,6,,2336,0,65,2401,3669
3,27,TABASCO,14,EMILIANO ZAPATA,7,EMILIANO ZAPATA,675,2,2,3,0,1,8,11,328,228,,,,3,,582,0,14,596,812
3,27,TABASCO,14,EMILIANO ZAPATA,7,EMILIANO ZAPATA,676,2,2,3,2,3,16,19,349,355,,,,5,,752,0,23,775,1133
3,27,TABASCO,14,EMILIANO ZAPATA,7,EMILIANO ZAPATA,677,5,5,8,5,19,37,66,1278,983,,,,18,,2414,0,58,2472,3685
3,27,TABASCO,14,EMILIANO ZAPATA,7,EMILIANO ZAPATA,678,5,5,6,1,0,22,18,1145,1028,,,,15,,2235,0,76,2311,3280
3,27,TABASCO,14,EMILIANO ZAPATA,7,EMILIANO ZAPATA,679,3,3,1,1,2,14,63,381,350,,,,0,,812,0,21,833,1026
