CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES_BC,FXM_BC,PVEM_MORENA_FXM_BC,PVEM_MORENA,PVEM_FXM_BC,MORENA_FXM_BC,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,2,BAJA CALIFORNIA,1,MEXICALI,2,MEXICALI,645,7,7,268,71,12,103,95,71,844,21,27,0,0,0,0,1512,1,137,1650,4689
1,2,BAJA CALIFORNIA,1,MEXICALI,2,MEXICALI,693,2,2,56,24,8,27,22,22,409,5,18,0,0,0,0,591,0,39,630,1010
1,2,BAJA CALIFORNIA,1,MEXICALI,2,MEXICALI,1807,22,22,444,91,21,149,118,399,2967,74,121,0,0,0,0,4384,4,192,4580,15196
1,2,BAJA CALIFORNIA,1,MEXICALI,2,MEXICALI,1816,1,1,23,6,3,7,6,8,97,1,4,0,0,0,0,155,0,5,160,362
1,2,BAJA CALIFORNIA,1,MEXICALI,2,MEXICALI,1820,1,1,24,3,4,9,5,7,153,4,9,0,0,0,0,218,0,4,222,568
1,2,BAJA CALIFORNIA,1,MEXICALI,2,MEXICALI,1821,1,1,8,5,0,13,3,22,176,3,9,0,0,0,0,239,0,5,244,484
1,2,BAJA CALIFORNIA,1,MEXICALI,2,MEXICALI,1830,1,1,29,4,5,11,7,28,105,4,2,0,0,0,0,195,0,13,208,493
1,2,BAJA CALIFORNIA,1,MEXICALI,2,MEXICALI,1840,2,2,15,2,2,11,9,9,225,1,7,0,0,0,0,281,0,11,292,819
1,2,BAJA CALIFORNIA,1,MEXICALI,2,MEXICALI,1841,1,1,6,2,2,8,7,4,175,3,3,0,0,0,0,210,0,14,224,733
1,2,BAJA CALIFORNIA,1,MEXICALI,2,MEXICALI,1842,2,2,26,4,3,12,7,8,235,2,9,0,0,0,0,306,0,14,320,905
1,2,BAJA CALIFORNIA,1,MEXICALI,2,MEXICALI,1843,1,1,17,6,1,9,2,10,164,0,7,0,0,0,0,216,0,9,225,653
1,2,BAJA CALIFORNIA,1,MEXICALI,2,MEXICALI,1844,2,2,12,4,0,9,15,17,228,7,8,0,0,0,0,300,0,15,315,841
1,2,BAJA CALIFORNIA,1,MEXICALI,2,MEXICALI,1845,1,1,12,1,3,8,4,14,129,1,3,0,0,0,0,175,0,7,182,661
1,2,BAJA CALIFORNIA,1,MEXICALI,2,MEXICALI,1846,4,4,41,13,4,30,26,38,531,3,20,0,0,0,0,706,0,43,749,2645
1,2,BAJA CALIFORNIA,1,MEXICALI,2,MEXICALI,1944,3,3,50,18,5,27,17,43,438,7,32,0,0,0,0,637,0,41,678,2195
1,2,BAJA CALIFORNIA,1,MEXICALI,2,MEXICALI,1947,4,4,118,40,7,39,24,91,721,22,29,0,0,0,0,1091,3,44,1138,2620
1,2,BAJA CALIFORNIA,1,MEXICALI,2,MEXICALI,1948,4,4,84,13,1,36,24,48,698,10,24,0,0,0,0,938,0,47,985,2499
1,2,BAJA CALIFORNIA,1,MEXICALI,2,MEXICALI,1949,4,4,71,14,9,32,32,65,691,19,27,0,0,0,0,960,2,38,1000,2419
1,2,BAJA CALIFORNIA,1,MEXICALI,2,MEXICALI,1950,2,2,49,12,5,15,18,42,449,8,15,0,0,0,0,613,1,32,646,1441
1,2,BAJA CALIFORNIA,1,MEXICALI,2,MEXICALI,1951,4,4,54,9,6,50,19,54,670,10,13,0,0,0,0,885,0,34,919,2272
1,2,BAJA CALIFORNIA,1,MEXICALI,2,MEXICALI,1952,4,4,29,11,10,31,14,35,482,9,14,0,0,0,0,635,1,47,683,2304
1,2,BAJA CALIFORNIA,1,MEXICALI,2,MEXICALI,2054,4,4,38,21,3,26,31,29,613,5,15,0,0,0,0,781,0,51,832,2835
1,2,BAJA CALIFORNIA,1,MEXICALI,2,MEXICALI,2055,3,3,88,20,9,25,33,40,361,8,21,0,0,0,0,605,0,47,652,1543
