CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAZ,PES,FMZ,RPZ,MAZ,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_NAZ_PES,PT_NAZ,PT_PES,NAZ_PES,PVEM_MORENA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1865,1,1,36,18,4,10,32,40,78,4,3,29,11,9,4,0,0,0,0,0,0,1,10,0,289,0,21,310,572
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1866,1,1,33,26,7,3,44,66,101,1,2,16,10,8,2,0,0,1,0,0,1,0,9,0,330,0,21,351,570
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1867,1,1,29,19,6,7,22,33,62,2,4,10,5,5,6,1,0,0,0,0,0,0,4,0,215,0,15,230,384
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1868,2,2,67,66,10,15,92,102,220,7,8,57,25,30,17,1,0,0,0,0,0,1,23,0,741,3,46,790,1431
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1871,1,1,30,41,3,2,30,14,46,33,0,4,0,1,5,0,0,0,0,0,0,0,5,0,214,0,13,227,412
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1872,1,1,37,28,8,11,48,18,124,5,7,14,6,0,2,1,1,0,0,0,0,0,9,0,319,0,23,342,586
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1873,1,1,55,62,12,13,50,49,115,10,4,31,0,5,7,2,1,0,0,0,0,0,14,0,430,1,17,448,725
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1874,6,7,374,218,30,63,271,352,594,28,21,152,42,49,51,15,6,1,1,0,0,1,45,0,2314,4,105,2423,3422
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1875,3,3,100,74,5,31,120,86,211,13,9,38,9,7,11,2,0,0,1,1,0,0,31,0,749,0,56,805,1643
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1876,1,1,14,22,4,7,42,16,70,2,3,15,1,0,2,1,0,0,0,0,0,0,10,0,209,1,14,224,383
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1877,2,2,90,53,19,13,67,33,155,3,8,17,3,2,14,0,0,0,0,0,0,0,19,0,496,0,26,522,967
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1878,1,1,28,22,2,7,92,17,83,5,2,5,2,0,4,2,0,0,0,0,0,0,11,0,282,0,16,298,501
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1879,1,1,40,47,0,4,40,21,82,4,2,9,0,3,1,2,0,0,0,0,0,0,7,0,262,0,21,283,473
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1880,1,1,28,28,8,6,102,31,168,3,4,8,1,4,6,2,1,0,0,0,0,0,28,0,428,1,21,450,673
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1881,1,1,15,25,0,3,17,9,58,2,1,2,0,0,5,1,1,0,0,0,0,0,5,0,144,0,15,159,264
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1882,1,1,15,13,0,1,24,4,26,3,2,2,2,0,5,0,0,0,0,0,0,0,4,0,101,0,8,109,158
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1914,1,1,32,13,4,14,46,39,87,2,3,25,6,9,3,1,0,0,0,0,0,0,9,0,293,0,19,312,679
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1915,4,4,138,81,24,51,113,169,347,16,14,80,31,32,18,1,2,0,1,1,1,1,45,0,1166,2,74,1242,2429
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1916,4,4,148,112,14,48,149,263,419,24,21,138,44,46,30,2,3,0,0,0,0,0,31,0,1492,1,96,1589,2865
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1917,4,4,135,115,27,65,204,214,466,21,16,125,30,21,19,2,2,1,0,1,0,0,34,0,1498,3,100,1601,2946
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1918,4,4,184,140,30,34,137,274,497,32,11,154,48,43,15,4,2,0,0,0,1,0,45,0,1651,0,87,1738,2894
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1919,1,1,31,12,5,5,32,27,96,5,0,14,3,10,5,0,0,0,1,0,0,0,8,0,254,0,16,270,546
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1920,3,4,221,111,15,32,59,139,234,9,5,65,29,38,18,5,2,0,0,0,0,0,6,0,988,3,57,1048,1051
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1921,2,2,223,105,11,14,50,119,184,14,7,62,22,47,19,1,4,0,0,0,0,1,11,0,894,2,35,931,1276
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1922,2,2,247,98,18,16,52,160,157,15,9,65,30,13,27,2,0,0,0,0,2,0,15,0,926,0,34,960,1304
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1923,2,2,160,73,13,13,44,122,127,5,13,50,27,12,18,3,0,0,0,0,0,0,6,0,686,2,19,707,949
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1924,4,4,486,167,30,26,96,335,279,31,18,121,38,44,42,5,3,1,2,0,0,1,25,0,1750,5,41,1796,2459
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1925,2,2,118,43,8,29,78,126,216,9,11,55,23,19,23,2,0,0,1,0,0,0,21,0,782,1,26,809,1397
2,32,ZACATECAS,1,ZACATECAS,56,ZACATECAS,1926,3,3,279,123,17,35,78,227,320,27,15,115,35,46,39,16,1,0,0,0,0,1,19,0,1393,3,50,1446,2175
2,32,ZACATECAS,2,ZACATECAS,50,VETAGRANDE,1601,2,2,12,43,2,51,22,33,213,153,9,109,2,7,1,1,0,0,7,0,1,1,8,0,675,0,29,704,933
2,32,ZACATECAS,2,ZACATECAS,50,VETAGRANDE,1602,2,2,135,91,12,56,30,57,151,102,2,118,5,8,24,0,0,0,5,0,1,0,7,0,804,0,20,824,1143
2,32,ZACATECAS,2,ZACATECAS,50,VETAGRANDE,1603,2,2,72,36,19,56,32,43,204,171,5,107,2,7,5,2,1,0,4,3,0,4,5,0,778,0,49,827,1126
2,32,ZACATECAS,2,ZACATECAS,50,VETAGRANDE,1604,2,2,31,28,6,30,32,45,282,131,5,83,7,7,1,1,0,0,2,2,0,0,9,0,702,0,58,760,1145
2,32,ZACATECAS,2,ZACATECAS,50,VETAGRANDE,1605,1,1,19,16,2,2,9,9,49,6,1,51,0,0,0,0,1,0,0,0,0,0,4,0,169,0,6,175,250
2,32,ZACATECAS,2,ZACATECAS,50,VETAGRANDE,1606,2,2,38,35,4,30,25,36,295,131,5,91,5,10,4,0,0,0,0,2,0,0,12,0,723,0,35,758,1050
2,32,ZACATECAS,2,ZACATECAS,50,VETAGRANDE,1607,3,3,30,43,21,93,38,34,207,376,13,209,2,6,4,2,0,1,6,1,1,2,6,0,1095,1,60,1156,1577
2,32,ZACATECAS,2,ZACATECAS,50,VETAGRANDE,1608,2,2,32,32,16,85,41,32,175,286,18,150,3,5,4,0,0,0,6,3,1,1,2,0,892,0,63,955,1317
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1772,1,1,39,29,5,64,31,49,74,13,13,7,6,8,4,3,1,0,6,0,2,0,11,0,365,1,15,381,616
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1773,2,2,104,59,9,116,46,86,155,30,8,17,19,22,20,2,0,0,9,0,1,1,9,0,713,0,34,747,1132
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1774,2,2,63,57,5,140,54,64,185,14,5,15,7,16,7,1,0,0,7,2,0,1,31,0,674,1,32,707,1142
