CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,23,QUINTANA ROO,1,KANTUNILKIN,6,LAZARO CARDENAS,290,B,1,0,B,0,32,8,5,36,38,45,188,13,10,18,0,0,0,393,0,14,407,615,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,6,LAZARO CARDENAS,290,C,1,0,C01,0,44,4,7,28,47,38,186,5,0,8,2,2,4,375,0,28,403,615,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,6,LAZARO CARDENAS,290,C,2,0,C02,0,52,7,4,27,40,44,174,5,2,6,2,1,1,365,0,28,393,615,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,6,LAZARO CARDENAS,290,E,1,0,E01,0,42,1,1,6,88,57,108,2,0,0,0,0,0,305,0,2,307,343,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,6,LAZARO CARDENAS,291,B,1,0,B,0,43,3,4,22,65,39,228,13,2,3,3,0,3,428,0,14,442,603,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,6,LAZARO CARDENAS,291,E,1,0,E01,0,55,5,1,25,64,66,147,0,0,1,0,0,3,367,0,17,384,503,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,6,LAZARO CARDENAS,292,B,1,0,B,0,24,8,2,8,30,32,206,5,0,6,2,1,6,330,0,11,341,438,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,6,LAZARO CARDENAS,292,C,1,0,C01,0,23,1,4,3,43,31,197,1,0,6,1,1,4,315,0,8,323,438,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,6,LAZARO CARDENAS,292,E,1,0,E01,0,57,5,25,25,128,36,204,7,0,10,2,1,2,502,0,15,517,683,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,6,LAZARO CARDENAS,293,B,1,0,B,0,25,4,3,21,102,26,205,13,0,2,0,0,3,404,0,14,418,639,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,6,LAZARO CARDENAS,293,C,1,0,C01,0,43,0,11,13,91,27,181,10,0,7,0,0,6,389,0,16,405,638,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,6,LAZARO CARDENAS,293,C,2,0,C02,0,28,2,4,16,97,36,208,3,0,9,2,2,9,416,0,14,430,638,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,6,LAZARO CARDENAS,294,B,1,0,B,0,24,1,9,47,62,17,176,5,0,9,3,2,9,364,0,17,381,531,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,6,LAZARO CARDENAS,294,C,1,0,C01,0,16,4,1,28,62,13,225,1,0,13,5,2,3,373,0,7,380,530,RECONTADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,6,LAZARO CARDENAS,295,B,1,0,B,0,45,14,6,25,52,72,134,13,1,2,0,1,0,365,0,19,384,547,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,6,LAZARO CARDENAS,295,C,1,0,C01,0,51,5,4,26,35,70,142,5,1,4,2,1,1,347,0,32,379,546,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,6,LAZARO CARDENAS,296,B,1,0,B,0,34,6,5,22,120,15,169,4,1,4,0,2,0,382,0,11,393,556,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,6,LAZARO CARDENAS,296,C,1,0,C01,0,22,10,4,27,113,21,148,7,2,2,9,1,1,367,0,28,395,556,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,6,LAZARO CARDENAS,296,E,1,0,E01,0,39,8,6,16,53,14,82,4,2,3,0,0,0,227,0,14,241,282,COTEJADO EN PLENO,,,
