CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNA,PES,FPM,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,6,COLIMA,1,COLIMA,1,COLIMA,13,B,1,0,B,0,155,74,0,6,2,87,44,6,1,0,0,12,8,1,0,1,397,0,6,403,538,ACTA CASILLA,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,13,C,1,0,C01,0,129,61,2,3,4,96,55,5,5,0,0,5,5,1,0,0,371,0,7,378,538,ACTA DEL CONSEJO,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,13,C,2,0,C02,0,141,76,1,5,2,96,49,6,3,0,0,8,2,2,0,0,391,0,5,396,537,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,14,B,1,0,B,0,51,33,2,10,6,79,92,10,8,0,0,1,9,4,1,1,307,0,5,312,457,ACTA CASILLA,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,14,C,1,0,C01,0,47,41,2,8,7,57,92,6,5,0,0,4,4,0,3,0,276,0,11,287,456,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,15,B,1,0,B,0,54,49,0,7,5,95,72,5,3,0,0,8,5,1,0,2,306,0,6,312,466,ACTA CASILLA,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,16,B,1,0,B,0,80,64,5,8,5,97,76,6,4,0,0,7,5,0,0,0,357,1,13,371,560,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,17,B,1,0,B,0,101,44,6,5,6,76,90,14,9,0,0,9,7,1,0,2,370,0,10,380,589,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,18,B,1,0,B,0,62,54,3,9,2,65,58,9,4,0,0,4,5,2,0,0,277,0,8,285,408,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,18,C,1,0,C01,0,52,46,2,8,0,76,60,8,7,0,0,6,4,0,0,0,269,0,7,276,408,ACTA CASILLA,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,19,B,1,0,B,0,101,68,4,3,3,75,58,11,7,0,0,6,3,1,1,1,342,0,8,350,468,ACTA CASILLA,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,19,C,1,0,C01,0,101,56,3,8,2,79,57,9,1,0,0,13,7,0,0,2,338,0,12,350,467,ACTA CASILLA,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,20,B,1,0,B,0,115,70,4,2,0,66,42,4,5,0,0,9,2,0,0,0,319,0,9,328,418,ACTA CASILLA,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,20,C,1,0,C01,0,116,67,1,2,0,65,48,4,5,0,0,8,3,1,0,0,320,0,3,323,417,ACTA CASILLA,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,21,B,1,0,B,0,133,49,2,5,5,91,50,5,1,0,0,7,5,2,1,0,356,0,5,361,525,ACTA DEL CONSEJO,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,21,C,1,0,C01,0,157,65,1,3,3,64,57,10,4,0,0,15,3,3,0,2,387,0,9,396,525,ACTA DEL CONSEJO,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,22,B,1,0,B,0,42,30,0,5,4,47,68,3,5,0,0,2,12,3,1,0,222,1,9,232,408,ACTA DEL CONSEJO,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,22,C,1,0,C01,0,53,20,4,7,3,66,57,5,10,0,0,5,5,1,2,1,239,1,5,245,407,ACTA CASILLA,,,
5,6,COLIMA,3,COLIMA,1,COLIMA,23,B,1,0,B,0,67,41,4,10,9,77,114,7,6,0,0,4,9,6,0,1,355,0,16,371,733,ACTA DEL CONSEJO,,,
5,6,COLIMA,3,COLIMA,1,COLIMA,23,C,1,0,C01,0,70,28,5,13,6,102,144,9,11,0,0,6,6,0,0,0,400,0,23,423,732,ACTA DEL CONSEJO,,,
5,6,COLIMA,3,COLIMA,1,COLIMA,23,C,2,0,C02,0,77,36,8,17,12,78,107,4,6,0,0,7,4,1,3,0,360,0,15,375,732,ACTA DEL CONSEJO,,,
5,6,COLIMA,3,COLIMA,1,COLIMA,23,C,3,0,C03,0,72,32,1,12,10,75,111,10,7,0,0,2,4,3,1,0,340,0,12,352,732,ACTA DEL CONSEJO,,,
