ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,PVEM_PT_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,0,VOTO EN EL EXTRANJERO,0,0,13,22461,2160,1532,0,0,2418,0,0,12926,3045,329,97,31,44999,121,622,45742,50277,
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,347,697,701,66904,23380,6596,9,7,30857,92,0,134814,5914,963,204,99,269839,352,6257,276448,384044,
9,CIUDAD DE MEXICO,3,COYOACAN,403,974,981,129366,38790,23332,10,4,40315,86,0,169818,0,0,0,0,401721,583,16604,418908,572022,
9,CIUDAD DE MEXICO,4,CUAJIMALPA DE MORELOS,79,293,295,43260,14422,2180,13,1,13961,36,0,57696,0,0,0,0,131569,267,4861,136697,188127,
9,CIUDAD DE MEXICO,5,GUSTAVO A. MADERO,866,1856,1870,141029,62534,20237,39,22,77078,389,0,394091,14566,2478,631,300,713394,937,20246,734577,1056400,
9,CIUDAD DE MEXICO,6,IZTACALCO,299,638,642,57097,21315,5935,8,8,27493,128,0,126349,5810,924,401,96,245564,429,6486,252479,364050,
9,CIUDAD DE MEXICO,7,IZTAPALAPA,1011,2568,2590,143670,70076,37115,18423,11785,86534,152992,5406,418950,13303,2310,662,294,961520,1177,42169,1004866,1526203,
9,CIUDAD DE MEXICO,8,LA MAGDALENA CONTRERAS,149,359,360,29751,21845,3612,0,0,13853,0,0,71839,3076,686,110,80,144852,138,4104,149094,212554,
9,CIUDAD DE MEXICO,9,MILPA ALTA,45,183,184,6397,11428,1596,4956,8372,8373,30979,0,0,1176,253,31,47,73608,76,5287,78971,119675,
9,CIUDAD DE MEXICO,10,ALVARO OBREGON,445,1056,1066,128060,33056,12501,7,5,40670,48,0,202887,9325,1541,390,162,428652,530,11315,440497,621043,
9,CIUDAD DE MEXICO,11,TLAHUAC,152,504,510,28246,16954,5704,4644,2380,23847,30977,0,81377,3376,566,146,138,198355,262,8430,207047,318695,
9,CIUDAD DE MEXICO,12,TLALPAN,359,960,969,107472,30796,10713,7997,6038,37060,71423,0,107297,9213,1502,358,150,390019,614,15277,405910,578802,
9,CIUDAD DE MEXICO,13,XOCHIMILCO,177,581,588,54855,19232,6508,33,33,25367,345,0,123376,2066,347,66,26,232254,316,10045,242615,368019,
9,CIUDAD DE MEXICO,14,BENITO JUAREZ,254,644,648,159625,22012,7267,2,2,21412,23,0,72378,2880,543,116,30,286290,520,8559,295369,384081,
9,CIUDAD DE MEXICO,15,CUAUHTEMOC,389,858,863,86991,44884,10609,5,4,32552,56,0,144034,4620,822,206,108,324891,658,12666,338215,493555,
9,CIUDAD DE MEXICO,16,MIGUEL HIDALGO,257,560,563,97234,19160,4951,0,0,18823,12,0,90249,1981,366,73,31,232880,321,6851,240052,329179,
9,CIUDAD DE MEXICO,17,VENUSTIANO CARRANZA,336,700,705,59451,27477,7870,7,5,29279,88,0,142380,6426,1015,195,125,274318,351,7397,282066,404600,
