ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,PAN_PRI_PRD_NAEM,PAN_PRI_PRD,PAN_PRI_NAEM,PAN_PRD_NAEM,PRI_PRD_NAEM,PAN_PRI,PAN_PRD,PAN_NAEM,PRI_PRD,PRI_NAEM,PRD_NAEM,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CC_PAN_PRI_PRD_NAEM,CC_PVEM_PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,111,VALLE DE BRAVO,33,102,102,3253,9705,3649,1325,727,1910,18387,401,0,0,0,0,0,0,0,0,0,0,0,550,65,164,100,0,0,40236,31,1643,41910,59292,
15,MEXICO,112,VILLA DE ALLENDE,22,64,64,450,1906,6742,1183,510,721,11512,224,0,0,0,0,0,0,0,0,0,0,0,428,64,242,97,0,0,24079,12,1155,25246,38266,
15,MEXICO,113,VILLA DEL CARBON,21,68,68,3813,7304,368,0,0,1342,0,222,20,58,12,13,2,50,6,5,6,1,0,0,0,0,0,0,12107,25329,80,903,26312,38143,
15,MEXICO,114,VILLA GUERRERO,25,79,79,1139,3554,2647,0,0,8707,0,441,24,232,4,1,1,20,13,0,37,4,2,0,0,0,0,0,10896,27722,13,1296,29031,48508,
15,MEXICO,115,VILLA VICTORIA,53,131,131,1045,20894,1364,2732,753,1116,18308,313,0,0,0,0,0,0,0,0,0,0,0,2056,126,416,104,0,0,49227,26,2334,51587,76639,
15,MEXICO,116,XONACATLAN,16,75,75,2821,5175,249,3383,1069,4749,9856,685,161,149,7,4,3,47,5,4,7,3,1,4055,15,76,61,0,0,32585,22,1261,33868,48732,
15,MEXICO,117,ZACAZONAPAN,2,7,7,54,166,776,85,70,411,1105,24,0,0,0,0,0,0,0,0,0,0,0,24,3,12,11,0,0,2741,2,279,3022,4075,
15,MEXICO,118,ZACUALPAN,15,25,25,285,1465,71,343,236,185,4350,174,8,11,0,0,3,12,1,1,6,4,2,85,19,26,15,0,0,7302,9,325,7636,11095,
15,MEXICO,119,ZINACANTEPEC,53,233,233,8274,29200,1121,0,0,11497,0,1606,225,826,49,12,15,439,35,11,40,26,19,0,0,0,0,0,43676,97071,304,3574,100949,153874,
15,MEXICO,120,ZUMPAHUACAN,11,24,24,932,1128,112,0,0,1168,0,207,0,6,0,0,1,12,0,0,1,0,0,0,0,0,0,0,4862,8429,30,557,9016,13289,
15,MEXICO,121,ZUMPANGO,53,269,269,0,0,0,0,0,16668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32569,47107,96344,77,2895,99316,181302,
15,MEXICO,122,VALLE DE CHALCO SOLIDARIDAD,116,436,436,5893,14941,9991,10672,13162,11828,83148,2995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152630,135,11958,164723,282755,
15,MEXICO,123,LUVIANOS,27,49,49,375,3423,322,1000,1061,585,5043,79,18,60,2,10,0,15,4,0,7,3,0,149,62,50,54,0,0,12322,8,918,13248,22803,
15,MEXICO,124,SAN JOSE DEL RINCON,44,125,125,3786,9267,671,0,0,4646,0,654,150,225,22,6,3,224,20,6,22,16,7,0,0,0,0,0,19538,39263,39,2262,41564,75381,
15,MEXICO,125,TONANITLA,3,15,15,446,900,270,201,249,1083,3484,101,12,69,1,0,0,8,3,2,2,0,0,132,16,24,40,0,0,7043,7,302,7352,10703,
