ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,PAN_PRI_PRD_NAEM,PAN_PRI_PRD,PAN_PRI_NAEM,PAN_PRD_NAEM,PRI_PRD_NAEM,PAN_PRI,PAN_PRD,PAN_NAEM,PRI_PRD,PRI_NAEM,PRD_NAEM,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CC_PAN_PRI_PRD_NAEM,CC_PVEM_PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,10,VALLE DE BRAVO,178,472,473,8402,40589,25908,8731,5376,10393,70820,1558,,,,,,,,,,,,3510,381,1028,505,,,177201,117,9083,186401,270048,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO10.pdf
15,MEXICO,11,TULTITLAN DE MARIANO ESCOBEDO,131,423,424,,,,10786,4480,22221,80012,,,,,,,,,,,,,4541,394,1098,662,39616,,163810,185,4529,168524,268003,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO11.pdf
15,MEXICO,12,TEOLOYUCAN,127,460,461,26739,12290,2806,,,28176,,4292,330,755,40,19,8,257,59,21,19,7,22,,,,,,100499,176339,572,7360,184271,297241,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO12.pdf
15,MEXICO,13,ATLACOMULCO DE FABELA ,169,500,501,10387,54113,2165,,,16510,,2367,312,884,55,14,24,516,43,20,84,39,15,,,,,,95708,183256,377,7693,191326,297376,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO13.pdf
15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ ,184,516,518,20376,51061,2175,,,12830,,2175,295,694,57,49,23,485,77,20,59,28,11,,,,,,106696,197111,274,7517,204902,289241,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO14.pdf
15,MEXICO,15,IXTLAHUACA DE RAYON ,131,457,457,4634,58154,1957,,,19479,,2022,308,778,52,33,32,426,27,19,82,57,45,,,,,,96512,184617,342,7541,192500,283384,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO15.pdf
15,MEXICO,16,CIUDAD ADOLFO LOPEZ MATEOS,129,474,476,74155,17506,2444,7271,3686,13275,65419,2069,453,2898,86,29,18,852,108,39,40,9,39,4754,283,1036,746,,,197215,225,4725,202165,304150,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO16.pdf
15,MEXICO,17,HUIXQUILUCAN DE DEGOLLADO,135,460,462,77125,14408,2838,8413,3757,14149,63494,1522,138,2132,32,56,9,701,125,14,55,7,33,3470,321,929,685,,,194413,150,4471,199034,291779,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO17.pdf
15,MEXICO,18,TLALNEPANTLA DE BAZ,259,603,604,70751,39558,2892,7194,3993,17493,87805,2212,532,4277,81,42,8,1166,107,47,52,14,85,5727,315,1228,956,,,246535,265,4970,251770,351058,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO18.pdf
15,MEXICO,19,SANTA MARIA TULTEPEC,106,472,473,,,,11682,6360,21183,99699,,,,,,,,,,,,,3955,254,754,712,54222,,198821,363,5105,204289,313565,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO19.pdf
15,MEXICO,20,ZUMPANGO DE OCAMPO,96,408,409,,,,,,25024,,,,,,,,,,,,,,,,,,45715,84508,155247,124,5472,160843,270634,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO20.pdf
15,MEXICO,21,ECATEPEC DE MORELOS,136,451,452,11308,23490,2166,11384,9816,16246,75945,1979,247,1237,8,9,30,302,49,5,52,13,4,4162,368,1083,888,,,160791,209,5923,166923,283142,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO21.pdf
15,MEXICO,22,OJO DE AGUA,169,430,432,18013,29273,1965,6534,5479,20400,80901,2461,308,1729,86,27,22,558,61,19,42,32,62,3324,240,705,697,,,172938,169,4395,177502,265009,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO22.pdf
15,MEXICO,23,TEXCOCO DE MORA,107,419,420,,,,11231,5381,23962,77185,,,,,,,,,,,,,3317,255,970,563,41871,,164735,329,5041,170105,271420,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO23.pdf
15,MEXICO,24,CD. NEZAHUALCOYOTL,210,477,478,,,,9558,5470,25143,83219,,,,,,,,,,,,,3627,306,804,630,48058,,176815,251,4797,181863,279505,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO24.pdf
15,MEXICO,25,CD. NEZAHUALCOYOTL,254,552,554,,,,12597,6408,35474,94193,,,,,,,,,,,,,,,,,42466,,191138,163,10424,201725,313615,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO25.pdf
15,MEXICO,26,CUAUTITLAN IZCALLI,162,491,495,43862,20938,1959,7473,3961,17342,84730,2663,894,2366,39,29,7,666,82,19,37,4,62,6327,303,1157,764,,,195684,358,5043,201085,305432,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO26.pdf
15,MEXICO,27,VALLE DE CHALCO SOLIDARIDAD,116,436,436,5893,14941,9991,10672,13162,11828,83148,2995,,,,,,,,,,,,,,,,,,152630,135,11958,164723,282755,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO27.pdf
15,MEXICO,28,AMECAMECA DE JUAREZ,177,502,502,9538,28929,3431,22998,7596,21158,92155,4044,661,593,15,8,10,137,35,8,63,16,3,2183,263,1010,461,,,195315,238,7052,202605,308615,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO28.pdf
15,MEXICO,29,TIANGUISTENCO DE GALEANA,98,373,374,13361,29990,2890,,,17900,,3689,184,795,27,8,13,259,44,15,55,19,10,,,,,,84069,153328,221,6294,159843,237890,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO29.pdf
15,MEXICO,30,NAUCALPAN DE JUAREZ,267,604,606,46206,22671,2303,9141,4477,16893,96025,2312,511,2727,56,26,16,910,120,12,43,19,108,6757,450,1592,1076,,,214451,264,5512,220227,350609,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO30.pdf
15,MEXICO,31,LOS REYES ACAQUILPAN,118,446,446,6190,44376,2443,4891,3921,11091,80287,1581,270,1480,30,12,34,343,48,5,131,29,47,5122,353,1160,954,,,164798,182,5188,170168,287537,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO31.pdf
15,MEXICO,32,NAUCALPAN DE JUAREZ,150,467,468,60720,19178,2296,7603,3340,13283,65959,1600,200,2649,64,47,9,896,136,29,43,18,24,4565,242,1159,743,,,184803,195,4466,189464,288303,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO32.pdf
15,MEXICO,33,OJO DE AGUA,133,490,491,18135,51859,2161,6503,5758,13707,99394,3151,400,1616,80,12,16,625,54,22,62,47,68,3637,297,905,829,,,209338,186,5732,215256,318811,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO33.pdf
15,MEXICO,34,TOLUCA DE LERDO,158,505,507,32060,47521,2033,8881,4132,21491,78714,1704,363,2579,30,28,2,968,91,14,56,16,8,4387,280,1181,719,,,207258,300,5242,212800,314904,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO34.pdf
15,MEXICO,35,METEPEC,114,448,449,41412,46340,2681,,,20330,,2424,453,2416,59,32,10,824,72,20,56,20,19,,,,,,89370,206538,218,4712,211468,294495,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO35.pdf
15,MEXICO,36,SAN MIGUEL ZINACANTEPEC,98,428,430,20004,49519,2299,,,20017,,2870,442,1896,86,25,26,855,68,22,53,49,26,,,,,,81644,179901,396,5864,186161,284996,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO36.pdf
15,MEXICO,37,TLALNEPANTLA DE BAZ,153,466,467,15476,26687,1830,8115,7300,14342,87718,1702,195,1565,50,113,7,532,58,14,48,18,69,5977,430,1306,1242,,,174794,281,5417,180492,297087,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO37.pdf
15,MEXICO,38,COACALCO DE BERRIOZABAL,158,514,515,,,,10674,5180,25612,96239,,,,,,,,,,,,,5391,373,1023,883,64122,,209497,240,4876,214613,325449,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO38.pdf
15,MEXICO,39,TEPEXPAN,98,367,368,15588,27277,1643,10072,5336,12911,66224,1872,325,1009,33,26,10,311,48,12,55,15,20,2682,190,708,560,,,146927,172,4797,151896,237773,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO39.pdf
15,MEXICO,40,IXTAPALUCA,172,470,471,,,,21330,5018,16936,72839,,,,,,,,,,,,,3636,387,1284,595,43825,,165850,180,5130,171160,286295,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO40.pdf
15,MEXICO,41,CD. NEZAHUALCOYOTL,216,500,501,11741,17763,4639,7778,4896,24583,91087,1764,182,1429,29,2,1,204,43,4,55,4,23,4072,238,988,734,,,172259,167,5287,177713,285588,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO41.pdf
15,MEXICO,42,ECATEPEC DE MORELOS,205,492,495,16517,25738,2931,10125,8914,17581,79872,1841,422,2010,47,10,10,410,66,13,56,11,6,5112,355,1190,952,,,174189,249,5140,179578,284951,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO42.pdf
15,MEXICO,43,CUAUTITLAN IZCALLI,188,496,497,53509,19232,2514,6776,3812,20704,79550,2878,759,2627,64,38,12,861,99,41,33,4,14,4990,266,1124,718,,,200625,460,5362,206447,303589,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO43.pdf
15,MEXICO,44,NICOLAS ROMERO,110,478,479,34443,28758,13058,6642,3585,21936,57090,7022,,,,,,,,,,,,4229,295,1101,658,,,178817,290,8392,187499,313688,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO44.pdf
15,MEXICO,45,BARRIO LA CABECERA 3A SECCION,112,423,424,8303,43636,2367,15144,4864,25325,59174,2152,131,846,25,8,9,375,67,6,80,130,6,2269,302,961,604,,,166784,136,6295,173215,272884,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO45.pdf
