ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,10,VALLE DE BRAVO,178,472,473,8402,40589,25908,10858,6989,10393,72504,1558,177201,117,9083,186401,270048,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO10.pdf
15,MEXICO,11,TULTITLAN DE MARIANO ESCOBEDO,131,423,424,2773,18620,15847,13377,6522,22221,82074,2376,163810,185,4529,168524,268003,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO11.pdf
15,MEXICO,12,TEOLOYUCAN,127,460,461,27265,12783,3197,20099,20099,28176,60301,4419,176339,572,7360,184271,297241,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO12.pdf
15,MEXICO,13,ATLACOMULCO DE FABELA ,169,500,501,11074,54832,2621,19141,19141,16510,57426,2511,183256,377,7693,191326,297376,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO13.pdf
15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ ,184,516,518,21010,51679,2577,21339,21339,12830,64018,2319,197111,274,7517,204902,289241,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO14.pdf
15,MEXICO,15,IXTLAHUACA DE RAYON ,131,457,457,5237,58801,2392,19302,19302,19479,57908,2196,184617,342,7541,192500,283384,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO15.pdf
15,MEXICO,16,CIUDAD ADOLFO LOPEZ MATEOS,129,474,476,75774,19071,3633,9889,5785,13275,67521,2267,197215,225,4725,202165,304150,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO16.pdf
15,MEXICO,17,HUIXQUILUCAN DE DEGOLLADO,135,460,462,78322,15550,3710,10538,5417,14149,65114,1613,194413,150,4471,199034,291779,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO17.pdf
15,MEXICO,18,TLALNEPANTLA DE BAZ,259,603,604,73012,41763,4589,10353,6537,17493,90328,2460,246535,265,4970,251770,351058,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO18.pdf
15,MEXICO,19,SANTA MARIA TULTEPEC,106,472,473,3795,25485,21689,13861,8161,21183,101394,3253,198821,363,5105,204289,313565,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO19.pdf
15,MEXICO,20,ZUMPANGO DE OCAMPO,96,408,409,3200,21487,18286,16901,16901,25024,50706,2742,155247,124,5472,160843,270634,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO20.pdf
15,MEXICO,21,ECATEPEC DE MORELOS,136,451,452,11968,24161,2705,13942,11831,16246,77873,2065,160791,209,5923,166923,283142,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO21.pdf
15,MEXICO,22,OJO DE AGUA,169,430,432,19025,30279,2716,8463,7056,20400,82361,2638,172938,169,4395,177502,265009,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO22.pdf
15,MEXICO,23,TEXCOCO DE MORA,107,419,420,2930,19680,16749,13231,6896,23962,78775,2512,164735,329,5041,170105,271420,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO23.pdf
15,MEXICO,24,CD. NEZAHUALCOYOTL,210,477,478,3364,22588,19223,11637,7147,25143,84830,2883,176815,251,4797,181863,279505,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO24.pdf
15,MEXICO,25,CD. NEZAHUALCOYOTL,254,552,554,2972,19960,16987,12597,6408,35474,94193,2547,191138,163,10424,201725,313615,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO25.pdf
15,MEXICO,26,CUAUTITLAN IZCALLI,162,491,495,45282,22321,3072,10695,6603,17342,87417,2952,195684,358,5043,201085,305432,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO26.pdf
15,MEXICO,27,VALLE DE CHALCO SOLIDARIDAD,116,436,436,5893,14941,9991,10672,13162,11828,83148,2995,152630,135,11958,164723,282755,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO27.pdf
15,MEXICO,28,AMECAMECA DE JUAREZ,177,502,502,10001,29409,3849,24593,8686,21158,93387,4232,195315,238,7052,202605,308615,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO28.pdf
15,MEXICO,29,TIANGUISTENCO DE GALEANA,98,373,374,13843,30483,3262,27743,27743,17900,28583,3771,153328,221,6294,159843,237890,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO29.pdf
15,MEXICO,30,NAUCALPAN DE JUAREZ,267,604,606,47792,24220,3489,12953,7492,16893,99073,2539,214451,264,5512,220227,350609,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO30.pdf
15,MEXICO,31,LOS REYES ACAQUILPAN,118,446,446,6965,45211,3131,7833,6281,11091,82574,1712,164798,182,5188,170168,287537,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO31.pdf
15,MEXICO,32,NAUCALPAN DE JUAREZ,150,467,468,62222,20614,3349,10197,5355,13283,68059,1724,184803,195,4466,189464,288303,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO32.pdf
15,MEXICO,33,OJO DE AGUA,133,490,491,19156,52898,2900,8732,7533,13707,101058,3354,209338,186,5732,215256,318811,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO33.pdf
15,MEXICO,34,TOLUCA DE LERDO,158,505,507,33568,49003,3070,11434,6094,21491,80766,1832,207258,300,5242,212800,314904,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO34.pdf
15,MEXICO,35,METEPEC,114,448,449,42821,47732,3687,17874,17874,20330,53622,2598,206538,218,4712,211468,294495,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO35.pdf
15,MEXICO,36,SAN MIGUEL ZINACANTEPEC,98,428,430,21258,50779,3131,16328,16328,20017,48988,3072,179901,396,5864,186161,284996,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO36.pdf
15,MEXICO,37,TLALNEPANTLA DE BAZ,153,466,467,16404,27577,2528,11597,10128,14342,90363,1855,174794,281,5417,180492,297087,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO37.pdf
15,MEXICO,38,COACALCO DE BERRIOZABAL,158,514,515,4488,30138,25649,13611,7605,25612,98547,3847,209497,240,4876,214613,325449,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO38.pdf
15,MEXICO,39,TEPEXPAN,98,367,368,16213,27900,2133,11695,6605,12911,67472,1998,146927,172,4797,151896,237773,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO39.pdf
15,MEXICO,40,IXTAPALUCA,172,470,471,3068,20598,17530,23675,6721,16936,74693,2629,165850,180,5130,171160,286295,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO40.pdf
15,MEXICO,41,CD. NEZAHUALCOYOTL,216,500,501,12401,18428,5221,10116,6739,24583,92938,1833,172259,167,5287,177713,285588,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO41.pdf
15,MEXICO,42,ECATEPEC DE MORELOS,205,492,495,17558,26773,3776,13078,11271,17581,82171,1981,174189,249,5140,179578,284951,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO42.pdf
15,MEXICO,43,CUAUTITLAN IZCALLI,188,496,497,55112,20772,3668,9494,5967,20704,81775,3133,200625,460,5362,206447,303589,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO43.pdf
15,MEXICO,44,NICOLAS ROMERO,110,478,479,34443,28758,13058,9080,5471,21936,59049,7022,178817,290,8392,187499,313688,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO44.pdf
15,MEXICO,45,BARRIO LA CABECERA 3A SECCION,112,423,424,8855,44254,2764,16835,6073,25325,60410,2268,166784,136,6295,173215,272884,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO45.pdf
