ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,PAN_PRI_PRD_NAEM,PVEM_PT_MORENA,CC_PAN_PRI_PRD_NAEM,CC_PVEM_PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,21,ECATEPEC DE MORELOS,136,451,452,,,,,,16246,,,40899,103646,,,160791,209,5923,166923,283142,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO21.pdf
15,MEXICO,22,OJO DE AGUA,169,430,432,,,,,,20400,,,54658,97880,,,172938,169,4395,177502,265009,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO22.pdf
15,MEXICO,23,TEXCOCO DE MORA,107,419,420,,,,,,23962,,,,98902,41871,,164735,329,5041,170105,271420,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO23.pdf
15,MEXICO,24,CD. NEZAHUALCOYOTL,210,477,478,,,,,,25143,,,,103614,48058,,176815,251,4797,181863,279505,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO24.pdf
15,MEXICO,25,CD. NEZAHUALCOYOTL,254,552,554,,,,12597,6408,35474,94193,,,,42466,,191138,163,10424,201725,313615,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO25.pdf
15,MEXICO,26,CUAUTITLAN IZCALLI,162,491,495,,,,,,17342,,,73627,104715,,,195684,358,5043,201085,305432,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO26.pdf
15,MEXICO,27,VALLE DE CHALCO SOLIDARIDAD,116,436,436,5893,14941,9991,10672,13162,11828,83148,2995,,,,,152630,135,11958,164723,282755,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO27.pdf
15,MEXICO,28,AMECAMECA DE JUAREZ,177,502,502,,,,,,21158,,,47491,126666,,,195315,238,7052,202605,308615,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO28.pdf
15,MEXICO,29,TIANGUISTENCO DE GALEANA,98,373,374,,,,,,17900,,,51359,,,84069,153328,221,6294,159843,237890,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO29.pdf
15,MEXICO,30,NAUCALPAN DE JUAREZ,267,604,606,,,,,,16893,,,78040,119518,,,214451,264,5512,220227,350609,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO30.pdf
15,MEXICO,31,LOS REYES ACAQUILPAN,118,446,446,,,,,,11091,,,57019,96688,,,164798,182,5188,170168,287537,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO31.pdf
15,MEXICO,32,NAUCALPAN DE JUAREZ,150,467,468,,,,,,13283,,,87909,83611,,,184803,195,4466,189464,288303,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO32.pdf
15,MEXICO,33,OJO DE AGUA,133,490,491,,,,,,13707,,,78308,117323,,,209338,186,5732,215256,318811,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO33.pdf
15,MEXICO,34,TOLUCA DE LERDO,158,505,507,,,,,,21491,,,87473,98294,,,207258,300,5242,212800,314904,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO34.pdf
15,MEXICO,35,METEPEC,114,448,449,,,,,,20330,,,96838,,,89370,206538,218,4712,211468,294495,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO35.pdf
15,MEXICO,36,SAN MIGUEL ZINACANTEPEC,98,428,430,,,,,,20017,,,78240,,,81644,179901,396,5864,186161,284996,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO36.pdf
15,MEXICO,37,TLALNEPANTLA DE BAZ,153,466,467,,,,,,14342,,,48364,112088,,,174794,281,5417,180492,297087,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO37.pdf
15,MEXICO,38,COACALCO DE BERRIOZABAL,158,514,515,,,,,,25612,,,,119763,64122,,209497,240,4876,214613,325449,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO38.pdf
15,MEXICO,39,TEPEXPAN,98,367,368,,,,,,12911,,,48244,85772,,,146927,172,4797,151896,237773,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO39.pdf
15,MEXICO,40,IXTAPALUCA,172,470,471,,,,,,16936,,,,105089,43825,,165850,180,5130,171160,286295,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO40.pdf
15,MEXICO,41,CD. NEZAHUALCOYOTL,216,500,501,,,,,,24583,,,37883,109793,,,172259,167,5287,177713,285588,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO41.pdf
15,MEXICO,42,ECATEPEC DE MORELOS,205,492,495,,,,,,17581,,,50088,106520,,,174189,249,5140,179578,284951,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO42.pdf
15,MEXICO,43,CUAUTITLAN IZCALLI,188,496,497,,,,,,20704,,,82685,97236,,,200625,460,5362,206447,303589,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO43.pdf
15,MEXICO,44,NICOLAS ROMERO,110,478,479,34443,28758,13058,,,21936,,7022,,73600,,,178817,290,8392,187499,313688,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO44.pdf
15,MEXICO,45,BARRIO LA CABECERA 3A SECCION,112,423,424,,,,,,25325,,,58141,83318,,,166784,136,6295,173215,272884,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/MR/ACTA_DTO45.pdf
