ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PCHU,MORENA,PMCH,PPCH,PES,RSP,FXM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
7,CHIAPAS,1,TUXTLA GUTIERREZ,126,295,297,10397,6243,1464,4798,3871,14709,915,39302,537,541,472,625,556,84430,160,4749,89339,179730,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP_RP/DIP_RP_1_ACTA_COMPUTO.pdf
7,CHIAPAS,2,TUXTLA GUTIERREZ,72,282,289,11649,5277,1258,14150,4388,8906,2781,36809,1381,576,1459,3305,686,92625,168,6097,98890,175137,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP_RP/DIP_RP_2_ACTA_COMPUTO.pdf
7,CHIAPAS,3,CHIAPA DE CORZO,74,266,271,2452,2564,829,28228,16595,4459,1638,37121,1459,320,595,3056,423,99739,105,5921,105765,161471,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP_RP/DIP_RP_3_ACTA_COMPUTO.pdf
7,CHIAPAS,4,YAJALON,56,214,218,2781,4281,1527,40567,7664,4880,1040,14686,765,131,3774,2324,344,84764,44,7610,92418,123671,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP_RP/DIP_RP_4_ACTA_COMPUTO.pdf
7,CHIAPAS,5,SAN CRISTOBAL DE LAS CASAS,59,241,249,6124,8346,3129,6690,9615,12630,1250,26733,766,368,633,1494,580,78358,124,8164,86646,148321,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP_RP/DIP_RP_5_ACTA_COMPUTO.pdf
7,CHIAPAS,6,COMITAN DE DOMINGUEZ,89,275,278,3887,6376,1289,23160,23177,4649,3210,22749,1162,638,903,4265,531,95996,84,7201,103281,165595,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP_RP/DIP_RP_6_ACTA_COMPUTO.pdf
7,CHIAPAS,7,OCOSINGO,86,288,292,1225,2320,1198,30726,5860,2736,4559,36384,647,247,655,827,926,88310,67,4550,92927,162668,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP_RP/DIP_RP_7_ACTA_COMPUTO.pdf
7,CHIAPAS,8,SIMOJOVEL,79,280,283,1364,21819,976,15141,13400,1324,1173,31627,5689,266,654,6627,557,100617,42,5714,106373,153155,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP_RP/DIP_RP_8_ACTA_COMPUTO.pdf
7,CHIAPAS,9,PALENQUE,79,273,278,1104,1674,797,37069,10829,2654,1013,40333,1175,190,595,531,469,98433,18,4062,102513,160510,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP_RP/DIP_RP_9_ACTA_COMPUTO.pdf
7,CHIAPAS,10,LA TRINITARIA,80,215,217,2314,5729,,23830,2597,3976,897,45454,1077,168,450,207,209,86908,20,3936,90864,128574,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP_RP/DIP_RP_10_ACTA_COMPUTO.pdf
7,CHIAPAS,11,BOCHIL,75,260,265,2963,9780,4878,8448,10630,2264,4092,33780,9433,202,892,7812,543,95717,13,9456,105186,147971,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP_RP/DIP_RP_11_ACTA_COMPUTO.pdf
7,CHIAPAS,12,PICHUCALCO,124,318,330,2389,7663,2514,10047,8298,7795,4004,48101,2445,780,3845,7049,1110,106040,12,7610,113662,169096,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP_RP/DIP_RP_12_ACTA_COMPUTO.pdf
7,CHIAPAS,13,TUXTLA GUTIERREZ,96,313,317,15780,7985,1903,4639,4040,11498,877,39103,565,678,596,704,758,89126,174,4951,94251,192352,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP_RP/DIP_RP_13_ACTA_COMPUTO.pdf
7,CHIAPAS,14,CINTALAPA,92,281,283,2839,3230,1220,23060,7561,4145,2481,36850,6864,610,822,3398,925,94005,26,5758,99789,169102,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP_RP/DIP_RP_14_ACTA_COMPUTO.pdf
7,CHIAPAS,15,TONALA,127,342,349,3982,3897,798,23603,5348,4706,4674,42463,1433,443,1794,3258,663,97062,151,5592,102805,189924,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP_RP/DIP_RP_15_ACTA_COMPUTO.pdf
