ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAS,MORENA,PES,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
25,SINALOA,1,AHOME,477,715,716,32327,27636,4343,5200,6424,10828,14048,82115,1297,0,0,0,184218,101,9545,193864,352777,
25,SINALOA,2,ANGOSTURA,103,112,113,1848,3329,590,197,568,1977,5547,9407,423,0,0,0,23886,7,963,24856,37427,
25,SINALOA,3,BADIRAGUATO,58,66,67,157,405,124,298,,4750,580,5556,86,0,0,0,11956,2,676,12634,23079,
25,SINALOA,4,CONCORDIA,43,51,51,484,531,153,434,322,210,1389,6900,0,0,0,0,10423,1,579,11003,19849,
25,SINALOA,5,COSALA,32,39,39,401,694,43,62,445,407,2184,3760,59,0,0,0,8055,2,287,8344,13357,
25,SINALOA,6,CULIACAN,984,1497,1500,46304,52491,5163,9694,17594,22061,22363,202167,3583,0,0,0,381420,275,18810,400505,740258,
25,SINALOA,7,CHOIX,67,75,75,5543,613,305,323,307,224,467,6351,83,0,0,0,14216,2,641,14859,24087,
25,SINALOA,8,ELOTA,59,80,81,554,1685,173,2210,814,5574,1417,5537,426,0,0,0,18390,22,1015,19427,35030,
25,SINALOA,9,ESCUINAPA,63,88,88,1239,708,151,8911,5855,532,591,4328,33,0,0,0,22348,14,1000,23362,43402,
25,SINALOA,10,EL FUERTE,164,184,185,1261,1566,414,609,12844,1835,2232,18416,362,260,1237,341,41377,21,2073,43471,74276,
25,SINALOA,11,GUASAVE,394,472,473,5806,10738,956,2798,7912,8117,7938,57748,854,0,0,0,102867,47,6385,109299,199936,
25,SINALOA,12,MAZATLAN,523,796,798,42658,19204,3096,6109,6333,7028,12537,100124,1366,0,0,0,198455,86,8784,207325,400216,
25,SINALOA,13,MOCORITO,109,116,117,654,1796,253,1921,1191,1298,1357,10482,214,0,0,0,19166,4,1196,20366,36320,
25,SINALOA,14,ROSARIO,81,96,97,3474,1328,248,4674,1595,495,1145,8889,0,0,0,0,21848,0,1049,22897,39657,
25,SINALOA,15,SALVADOR ALVARADO,143,172,173,2201,7841,561,866,1304,2456,2005,19938,314,0,0,0,37486,24,1486,38996,66848,
25,SINALOA,16,SAN IGNACIO,37,44,44,344,386,80,446,395,107,1107,5767,110,0,0,0,8742,2,523,9267,16332,
25,SINALOA,17,SINALOA,174,189,190,1061,2556,223,2500,1997,1398,2370,18775,446,0,0,0,31326,16,2464,33806,64988,
25,SINALOA,18,NAVOLATO,172,237,238,4585,13659,697,4191,3920,1798,3500,22430,1099,0,0,0,55879,11,3464,59354,112626,
25,SINALOA,19,ELDORADO,52,64,65,669,1480,179,609,438,462,1593,9798,355,0,0,0,15583,1,993,16577,29771,
25,SINALOA,20,JUAN JOSE RIOS,55,66,66,639,1074,108,5112,479,1383,872,6201,77,0,0,0,15945,4,911,16860,30496,
