CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,PAN_PRI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,27,TABASCO,4,CENTLA,3,CENTLA,206,3,3,10,11,20,182,38,15,875,21,5,10,3,0,1190,0,29,1219,1782
3,27,TABASCO,4,CENTLA,3,CENTLA,207,3,3,2,6,25,126,28,12,814,9,2,4,4,0,1032,0,17,1049,1535
3,27,TABASCO,4,CENTLA,3,CENTLA,208,2,2,6,9,19,104,29,20,669,8,2,3,2,0,871,0,31,902,1295
3,27,TABASCO,4,CENTLA,3,CENTLA,209,4,4,18,36,78,110,64,52,975,25,6,9,14,1,1388,0,35,1423,2287
3,27,TABASCO,4,CENTLA,3,CENTLA,210,4,4,14,22,131,166,86,54,956,21,9,14,8,2,1483,0,41,1524,2423
3,27,TABASCO,4,CENTLA,3,CENTLA,211,3,3,9,31,92,173,70,36,762,20,3,11,8,0,1215,1,42,1258,2032
3,27,TABASCO,4,CENTLA,3,CENTLA,212,2,2,2,16,49,114,17,18,524,16,1,2,3,0,762,0,33,795,1337
3,27,TABASCO,4,CENTLA,3,CENTLA,213,2,2,8,20,56,114,26,24,565,10,4,4,3,1,835,0,19,854,1344
3,27,TABASCO,4,CENTLA,3,CENTLA,214,3,3,12,26,35,132,60,71,804,21,5,4,7,0,1177,2,45,1224,1863
3,27,TABASCO,4,CENTLA,3,CENTLA,215,1,1,3,4,4,12,2,2,100,1,0,0,0,0,128,0,0,128,171
3,27,TABASCO,4,CENTLA,3,CENTLA,216,2,2,6,19,25,124,31,21,740,3,0,0,3,0,972,0,15,987,1482
3,27,TABASCO,4,CENTLA,3,CENTLA,217,2,2,7,7,53,71,29,32,411,0,0,7,2,1,620,0,25,645,998
3,27,TABASCO,4,CENTLA,3,CENTLA,218,1,1,2,6,11,46,9,14,132,0,0,2,0,0,222,0,9,231,306
3,27,TABASCO,4,CENTLA,3,CENTLA,219,1,1,0,5,5,19,4,5,107,4,1,4,1,0,155,0,6,161,249
3,27,TABASCO,4,CENTLA,3,CENTLA,220,2,2,12,20,91,109,30,25,472,5,1,4,1,2,772,0,14,786,1138
3,27,TABASCO,4,CENTLA,3,CENTLA,221,2,2,2,8,24,67,14,5,359,5,2,7,1,0,494,0,19,513,725
3,27,TABASCO,4,CENTLA,3,CENTLA,222,3,3,0,4,14,118,67,9,790,16,3,9,13,0,1043,0,21,1064,1529
3,27,TABASCO,4,CENTLA,3,CENTLA,223,3,3,7,17,50,172,51,48,932,16,3,9,7,0,1312,0,60,1372,2093
3,27,TABASCO,4,CENTLA,3,CENTLA,224,3,3,6,22,49,201,41,31,887,8,2,14,5,0,1266,0,38,1304,2200
3,27,TABASCO,4,CENTLA,3,CENTLA,225,2,2,3,13,33,129,16,9,451,1,0,8,0,0,663,0,13,676,944
3,27,TABASCO,4,CENTLA,3,CENTLA,226,1,1,2,3,7,38,7,10,133,5,0,0,0,0,205,0,0,205,319
3,27,TABASCO,4,CENTLA,3,CENTLA,227,2,2,3,9,10,96,41,28,596,21,3,2,2,0,811,0,36,847,1302
3,27,TABASCO,4,CENTLA,3,CENTLA,228,3,3,1,11,30,67,13,27,528,11,1,8,3,0,700,0,22,722,1033
3,27,TABASCO,4,CENTLA,3,CENTLA,229,1,1,0,17,3,12,3,2,53,0,0,0,0,0,90,0,6,96,195
3,27,TABASCO,4,CENTLA,3,CENTLA,230,2,2,0,1,1,19,4,0,135,2,0,3,2,0,167,0,0,167,209
3,27,TABASCO,4,CENTLA,3,CENTLA,231,1,1,1,2,10,50,8,1,188,6,2,3,0,0,271,0,9,280,434
3,27,TABASCO,5,CENTRO,4,CENTRO,407,2,2,32,36,43,44,21,35,482,29,1,9,6,1,739,0,23,762,1294
3,27,TABASCO,5,CENTRO,4,CENTRO,411,3,3,25,38,30,49,28,43,611,40,2,7,11,1,885,2,27,914,1506
3,27,TABASCO,5,CENTRO,4,CENTRO,412,2,2,18,10,13,38,27,37,228,14,0,6,1,0,392,2,10,404,1112
3,27,TABASCO,5,CENTRO,4,CENTRO,418,5,5,175,99,116,115,81,197,831,95,7,16,15,18,1765,2,35,1802,3490
3,27,TABASCO,5,CENTRO,4,CENTRO,459,1,1,0,6,2,8,4,6,65,2,0,2,1,0,96,0,4,100,158
3,27,TABASCO,5,CENTRO,4,CENTRO,460,4,4,10,26,19,86,47,37,954,34,33,7,16,1,1270,0,25,1295,2429
3,27,TABASCO,5,CENTRO,4,CENTRO,461,2,2,3,21,12,70,18,20,508,4,5,6,3,0,670,0,17,687,1209
3,27,TABASCO,5,CENTRO,4,CENTRO,462,4,4,7,39,29,99,32,39,1186,58,3,20,8,0,1520,9,41,1570,2798
3,27,TABASCO,5,CENTRO,4,CENTRO,463,6,6,17,33,29,75,61,60,1607,65,6,18,18,1,1990,2,43,2035,3787
3,27,TABASCO,5,CENTRO,4,CENTRO,468,3,3,12,28,11,76,33,43,755,36,1,2,1,1,999,0,19,1018,1676
3,27,TABASCO,5,CENTRO,4,CENTRO,469,4,4,4,16,22,110,32,35,1043,41,3,21,4,1,1332,0,30,1362,2396
3,27,TABASCO,5,CENTRO,4,CENTRO,470,9,9,142,134,133,259,124,212,2217,154,11,47,39,20,3492,8,66,3566,6080
3,27,TABASCO,5,CENTRO,4,CENTRO,475,4,4,9,24,13,140,41,31,887,49,0,10,6,2,1212,0,20,1232,2606
3,27,TABASCO,5,CENTRO,4,CENTRO,476,7,7,60,72,60,180,117,144,1776,80,14,43,21,4,2571,3,67,2641,5138
3,27,TABASCO,5,CENTRO,4,CENTRO,477,6,6,16,54,32,162,64,79,1348,52,12,35,12,1,1867,0,52,1919,3760
3,27,TABASCO,5,CENTRO,4,CENTRO,479,5,5,99,108,100,162,64,140,1275,69,12,25,15,9,2078,0,43,2121,3585
3,27,TABASCO,5,CENTRO,4,CENTRO,480,8,8,134,169,108,246,147,228,1997,140,13,33,29,6,3250,0,77,3327,5913
3,27,TABASCO,5,CENTRO,4,CENTRO,481,5,5,31,31,31,117,68,102,1147,85,5,17,11,0,1645,0,48,1693,3005
3,27,TABASCO,5,CENTRO,4,CENTRO,482,3,3,12,15,30,48,47,64,653,56,1,12,4,1,943,0,15,958,1641
3,27,TABASCO,5,CENTRO,4,CENTRO,490,3,3,23,22,26,86,34,34,779,19,5,7,7,2,1044,1,15,1060,1893
3,27,TABASCO,5,CENTRO,4,CENTRO,491,3,3,8,32,32,117,61,38,868,35,9,21,5,1,1227,0,36,1263,2174
3,27,TABASCO,5,CENTRO,4,CENTRO,492,4,4,17,62,31,76,44,42,856,40,4,22,3,2,1199,0,48,1247,2421
3,27,TABASCO,5,CENTRO,4,CENTRO,494,7,7,44,80,102,157,76,109,1573,76,5,37,12,2,2273,22,79,2374,4543
3,27,TABASCO,5,CENTRO,4,CENTRO,495,5,5,20,53,25,100,69,40,1264,64,15,17,19,4,1690,0,77,1767,3207
3,27,TABASCO,5,CENTRO,4,CENTRO,496,2,2,10,31,11,50,20,34,517,31,1,6,1,2,714,0,15,729,1264
3,27,TABASCO,5,CENTRO,4,CENTRO,497,4,4,12,33,40,67,42,27,688,30,2,7,5,0,953,0,52,1005,2371
3,27,TABASCO,5,CENTRO,4,CENTRO,498,4,4,7,37,31,92,40,48,886,54,7,15,6,1,1224,0,78,1302,2449
3,27,TABASCO,5,CENTRO,4,CENTRO,507,2,2,5,22,8,38,18,8,510,18,6,9,6,2,650,0,24,674,1182
3,27,TABASCO,5,CENTRO,4,CENTRO,508,3,3,10,17,15,96,56,26,720,36,5,9,8,1,999,0,22,1021,1898
3,27,TABASCO,5,CENTRO,4,CENTRO,510,1,1,5,2,11,27,10,8,195,13,0,0,0,0,271,0,4,275,476
3,27,TABASCO,5,CENTRO,4,CENTRO,1168,3,3,10,28,21,58,32,42,718,26,2,18,3,3,961,0,13,974,2205
3,27,TABASCO,5,CENTRO,4,CENTRO,1169,4,4,16,40,29,80,33,43,928,68,2,23,12,3,1277,0,45,1322,2773
3,27,TABASCO,5,CENTRO,4,CENTRO,1170,3,3,75,79,46,75,53,100,881,6,1,4,2,1,1323,0,55,1378,2155
3,27,TABASCO,5,CENTRO,4,CENTRO,1171,4,4,66,66,57,110,80,147,1095,86,3,4,9,3,1726,0,36,1762,2887
3,27,TABASCO,6,CENTRO,4,CENTRO,419,1,1,1,3,11,35,18,4,327,13,0,0,8,0,420,0,4,424,580
3,27,TABASCO,6,CENTRO,4,CENTRO,420,3,3,4,16,24,63,108,20,919,37,2,8,7,0,1208,0,39,1247,1982
3,27,TABASCO,6,CENTRO,4,CENTRO,421,4,4,6,7,35,103,146,45,1354,70,5,16,12,0,1799,0,21,1820,2654
3,27,TABASCO,6,CENTRO,4,CENTRO,422,4,4,4,8,37,133,157,33,1462,47,14,10,25,1,1931,3,22,1956,2850
3,27,TABASCO,6,CENTRO,4,CENTRO,423,5,5,8,24,37,128,206,38,1661,84,12,11,25,2,2236,1,30,2267,3292
3,27,TABASCO,6,CENTRO,4,CENTRO,424,1,1,1,0,9,5,5,4,52,0,0,0,0,0,76,0,1,77,120
3,27,TABASCO,6,CENTRO,4,CENTRO,425,4,4,5,21,70,80,106,14,1058,49,15,12,21,0,1451,0,32,1483,2465
3,27,TABASCO,6,CENTRO,4,CENTRO,426,4,4,5,10,63,42,126,24,1113,31,5,8,15,0,1442,0,29,1471,2353
3,27,TABASCO,6,CENTRO,4,CENTRO,427,3,3,6,19,38,37,35,40,823,42,5,6,7,1,1059,1,25,1085,1658
3,27,TABASCO,6,CENTRO,4,CENTRO,428,3,3,21,43,36,50,39,31,738,53,1,6,4,1,1023,0,22,1045,1525
3,27,TABASCO,6,CENTRO,4,CENTRO,429,3,3,20,34,48,48,65,54,913,73,4,16,13,3,1291,0,44,1335,2133
3,27,TABASCO,6,CENTRO,4,CENTRO,430,7,7,22,34,64,147,83,96,1747,100,7,23,16,1,2340,0,42,2382,4902
3,27,TABASCO,6,CENTRO,4,CENTRO,431,3,3,20,31,60,48,50,40,779,72,4,9,6,0,1119,0,11,1130,1992
3,27,TABASCO,6,CENTRO,4,CENTRO,432,3,3,10,27,38,57,53,37,947,56,3,20,14,1,1263,0,24,1287,1457
3,27,TABASCO,6,CENTRO,4,CENTRO,433,3,3,15,23,40,59,40,30,794,62,1,8,12,3,1087,0,21,1108,1909
3,27,TABASCO,6,CENTRO,4,CENTRO,434,2,2,19,29,16,33,16,30,561,33,0,3,1,3,744,2,18,764,1231
3,27,TABASCO,6,CENTRO,4,CENTRO,436,4,4,9,11,43,76,102,28,1415,65,1,18,17,1,1786,0,46,1832,2982
3,27,TABASCO,6,CENTRO,4,CENTRO,437,3,3,8,14,38,76,85,18,809,44,4,4,16,1,1117,0,17,1134,1767
3,27,TABASCO,6,CENTRO,4,CENTRO,438,4,4,16,30,44,75,54,44,1040,28,7,6,3,6,1353,0,26,1379,2367
3,27,TABASCO,6,CENTRO,4,CENTRO,439,2,2,11,17,16,36,36,28,422,28,1,9,4,0,608,0,19,627,1164
3,27,TABASCO,6,CENTRO,4,CENTRO,441,5,5,14,48,28,115,51,22,808,17,0,12,3,0,1118,0,69,1187,2223
3,27,TABASCO,6,CENTRO,4,CENTRO,442,1,1,4,15,10,21,14,3,193,9,3,3,2,1,278,1,14,293,534
