CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,PAN_PRI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,27,TABASCO,2,CARDENAS,2,CARDENAS,99,B,1,0,B,0,2,10,27,11,13,4,187,6,1,3,4,0,268,0,16,284,473,Grupo de recuento,,,http://iepct.mx/computos/2024/GUB/2/acta_recuento/GRUPO01.pdf
3,27,TABASCO,2,CARDENAS,2,CARDENAS,99,C,1,0,C01,0,0,4,20,12,8,4,221,0,0,4,0,0,273,0,15,288,472,Acta casilla,,,http://iepct.mx/computos/2024/GUB/2/acta_casilla_consejo/GUB_0099_C01.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,99,E,1,0,E01,0,,,,,,,,,,,,,0,0,0,0,452,Paquete no entregado,,,
3,27,TABASCO,2,CARDENAS,2,CARDENAS,99,E,1,1,E01C01,0,2,13,27,12,8,5,144,6,0,5,0,0,222,0,15,237,452,Grupo de recuento,,,http://iepct.mx/computos/2024/GUB/2/acta_recuento/GRUPO01.pdf
3,27,TABASCO,2,CARDENAS,2,CARDENAS,100,B,1,0,B,0,3,8,46,11,6,9,229,10,4,0,0,0,326,0,24,350,710,Acta casilla,,,http://iepct.mx/computos/2024/GUB/2/acta_casilla_consejo/GUB_0100_B.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,100,C,1,0,C01,0,2,9,49,19,10,4,206,5,0,0,0,0,304,0,35,339,710,Acta casilla,,,http://iepct.mx/computos/2024/GUB/2/acta_casilla_consejo/GUB_0100_C01.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,100,C,2,0,C02,0,2,2,40,10,8,0,253,8,0,9,0,0,332,0,21,353,710,Acta casilla,,,http://iepct.mx/computos/2024/GUB/2/acta_casilla_consejo/GUB_0100_C02.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,101,B,1,0,B,0,2,6,24,8,0,1,171,9,0,6,6,0,233,0,11,244,407,Acta casilla,,,http://iepct.mx/computos/2024/GUB/2/acta_casilla_consejo/GUB_0101_B.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,101,C,1,0,C01,0,3,6,20,17,7,4,160,4,0,4,1,0,226,0,13,239,407,Grupo de recuento,,,http://iepct.mx/computos/2024/GUB/2/acta_recuento/GRUPO01.pdf
3,27,TABASCO,2,CARDENAS,2,CARDENAS,101,E,1,0,E01,0,0,3,13,7,8,3,166,2,0,1,5,0,208,0,5,213,406,Grupo de recuento,,,http://iepct.mx/computos/2024/GUB/2/acta_recuento/GRUPO01.pdf
