ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,PAN_PRI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
27,TABASCO,1,BALANCAN,44,84,84,299,277,1726,1241,1772,1167,19536,642,138,262,156,24,27240,18,1112,28370,43671,
27,TABASCO,2,CARDENAS,122,319,320,939,1807,10009,3851,2994,3204,70447,2514,290,896,467,88,97506,47,3425,100978,182050,
27,TABASCO,3,CENTLA,64,144,144,420,818,2000,7096,2232,2024,32548,756,147,377,234,48,48700,14,1590,50304,79935,
27,TABASCO,4,CENTRO,307,865,867,9340,11825,10899,18283,12334,16499,199202,12739,1061,2871,2519,1068,298640,217,7325,306182,529259,
27,TABASCO,5,COMALCALCO,100,276,277,697,1632,21295,2668,3626,1795,70781,1916,256,657,528,74,105925,54,3224,109203,163602,
27,TABASCO,6,CUNDUACAN,60,167,167,683,1456,2200,4034,2037,2399,44131,1171,168,362,291,70,59002,32,2891,61925,99869,
27,TABASCO,7,EMILIANO ZAPATA,16,44,44,201,125,353,597,566,4753,9830,149,20,65,47,3,16709,9,363,17081,24620,
27,TABASCO,8,HUIMANGUILLO,99,253,253,509,927,6582,1965,1738,9069,54056,1560,194,628,493,40,77761,26,2741,80528,137159,
27,TABASCO,9,JALAPA,28,55,56,209,363,344,3087,3250,683,10465,306,52,120,124,14,19017,1,513,19531,29065,
27,TABASCO,10,JALPA DE MENDEZ,37,113,113,283,690,7463,1264,2604,675,30952,742,168,127,327,33,45328,19,1394,46741,69371,
27,TABASCO,11,JONUTA,26,49,49,75,120,5248,250,286,450,12461,136,23,35,18,6,19108,15,355,19478,24515,
27,TABASCO,12,MACUSPANA,82,210,210,1366,1857,1944,4436,2289,2201,41425,2061,254,983,368,233,59417,41,2089,61547,121579,
27,TABASCO,13,NACAJUCA,53,169,169,1227,1638,1733,2068,16329,2172,34784,2466,401,256,792,134,64000,40,1548,65588,107528,
27,TABASCO,14,PARAISO,45,131,132,387,567,1901,1739,2072,4880,33849,826,122,179,239,42,46803,18,1289,48110,74852,
27,TABASCO,15,TACOTALPA,27,70,70,198,563,506,1524,1474,3736,13498,331,69,90,91,20,22100,6,1058,23164,35488,
27,TABASCO,16,TEAPA,27,72,72,247,493,490,776,4216,1760,14247,623,46,79,134,37,23148,13,883,24044,42416,
27,TABASCO,17,TENOSIQUE,44,90,90,706,535,597,821,5662,1184,16493,737,147,103,263,36,27284,20,724,28028,46648,
