ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PRS,MORENA,PHBCS,NABCS,FXMBCS,MLBCS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
3,BAJA CALIFORNIA SUR,3,LA PAZ,223,426,427,24015,23504,2554,20836,19610,7588,513,1838,510,19000,2597,2201,124766,96,3856,128718,228506,
3,BAJA CALIFORNIA SUR,4,LOS CABOS,168,452,453,22382,21906,2381,20482,19277,7164,477,1807,476,18676,8726,5569,129323,146,4503,133972,268418,
3,BAJA CALIFORNIA SUR,1,COMONDU,70,117,117,1696,1660,180,5718,5381,5957,37,504,36,5215,559,1112,28055,10,1151,29216,58393,
3,BAJA CALIFORNIA SUR,5,LORETO,10,28,28,1951,1910,207,1639,1543,138,44,144,41,1497,62,0,9176,1,236,9413,13530,
3,BAJA CALIFORNIA SUR,2,MULEGE,50,91,92,5676,5555,603,3742,3522,517,123,330,120,3414,1002,0,24604,35,944,25583,44774,
