CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN_PRI_PRD_PRS_PHBCS,MORENA_PT_PVEM_NABCS,MC,FXMBCS,MLBCS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,5,B,1,0,B,0,27,150,68,2,6,253,0,7,260,468,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,5,C,1,0,C01,0,30,149,74,1,4,258,0,7,265,467,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,6,B,1,0,B,0,30,92,49,4,10,185,0,4,189,390,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,6,C,1,0,C01,0,21,95,44,1,6,167,0,4,171,389,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,7,B,1,0,B,0,61,160,122,5,15,363,0,8,371,655,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,7,C,1,0,C01,0,76,128,112,8,9,333,0,6,339,655,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,8,B,1,0,B,0,23,131,69,8,13,244,0,11,255,456,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,8,S,1,0,S01,0,9,97,25,3,6,140,0,10,150,0,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,9,B,1,0,B,0,45,113,43,1,5,207,0,6,213,403,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,10,B,1,0,B,0,53,86,47,3,12,201,0,6,207,393,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,10,C,1,0,C01,0,36,100,61,5,8,210,0,1,211,392,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,11,B,1,0,B,0,32,124,56,2,6,220,0,5,225,424,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,12,B,1,0,B,0,45,80,48,1,5,179,0,4,183,331,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,13,B,1,0,B,0,52,176,68,7,13,316,0,4,320,585,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,13,C,1,0,C01,0,40,137,75,7,16,275,0,8,283,585,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,14,B,1,0,B,0,52,170,70,4,18,314,0,18,332,742,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,14,C,1,0,C01,0,56,162,59,11,27,315,0,14,329,742,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,15,B,1,0,B,0,52,179,70,14,14,329,0,10,339,586,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,16,B,1,0,B,0,26,165,80,2,16,289,0,9,298,503,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,16,C,1,0,C01,0,29,161,65,6,6,267,0,7,274,502,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,17,B,1,0,B,0,29,182,79,4,10,304,0,4,308,467,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,18,B,1,0,B,0,29,172,91,6,17,315,0,11,326,636,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,18,C,1,0,C01,0,36,152,99,4,14,305,0,14,319,635,Grupo de recuento,,,
