ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_NAY,PAN_PRI,PAN_NAY,PRI_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,1,MERIDA,100,182,182,0,0,278,0,0,2761,0,0,28613,0,0,0,28042,0,0,0,59694,37,1261,60992,94178,
31,YUCATAN,2,MERIDA,68,155,155,0,0,257,0,0,2766,0,0,38921,0,0,0,20022,0,0,0,61966,33,961,62960,88777,
31,YUCATAN,3,MERIDA,46,141,141,0,0,237,0,0,2198,0,0,41484,0,0,0,18711,0,0,0,62630,21,966,63617,86048,
31,YUCATAN,4,MERIDA,79,169,169,0,0,323,0,0,3009,0,0,26198,0,0,0,32387,0,0,0,61917,23,1409,63349,96321,
31,YUCATAN,5,MERIDA,66,158,158,0,0,292,0,0,2652,0,0,19035,0,0,0,32455,0,0,0,54434,10,1377,55821,92622,
31,YUCATAN,6,MERIDA,37,129,129,0,0,217,0,0,1616,0,0,11312,0,0,0,24526,0,0,0,37671,13,1066,38750,81581,
31,YUCATAN,7,MERIDA,58,159,159,0,0,297,0,0,3319,0,0,21587,0,0,0,32306,0,0,0,57509,27,1192,58728,94449,
31,YUCATAN,8,MERIDA,28,110,110,0,0,167,0,0,2478,0,0,20074,0,0,0,21661,0,0,0,44380,27,1048,45455,72278,
31,YUCATAN,9,MERIDA,19,113,113,0,0,161,0,0,1960,0,0,31278,0,0,0,19270,0,0,0,52669,16,864,53549,76609,
31,YUCATAN,10,KANASIN,25,103,103,0,0,173,0,0,1615,0,0,13233,0,0,0,21341,0,0,0,36362,13,1042,37417,68610,
31,YUCATAN,11,TECOH,44,119,119,0,0,403,0,0,2132,0,0,24341,0,0,0,28908,0,0,0,55784,59,1440,57283,74879,
31,YUCATAN,12,UMAN,45,133,133,0,0,279,0,0,4782,0,0,19056,0,0,0,31302,0,0,0,55419,22,1430,56871,80975,
31,YUCATAN,13,HUNUCMA,53,140,140,0,0,383,0,0,2549,0,0,20931,0,0,0,40860,0,0,0,64723,4,1468,66195,84360,
31,YUCATAN,14,PROGRESO,57,139,139,0,0,232,0,0,2543,0,0,23953,0,0,0,28944,0,0,0,55672,8,1351,57031,84247,
31,YUCATAN,15,MOTUL,59,135,135,0,0,583,0,0,2819,0,0,20491,0,0,0,28093,0,0,0,51986,6,1318,53310,78283,
31,YUCATAN,16,IZAMAL,83,161,161,0,0,1021,0,0,1322,0,0,28212,0,0,0,38967,0,0,0,69522,10,1314,70846,85253,
31,YUCATAN,17,TIZIMIN,62,146,146,0,0,163,0,0,623,0,0,22972,0,0,0,37826,0,0,0,61584,7,1474,63065,85902,
31,YUCATAN,18,TEMOZON,67,148,148,0,0,218,0,0,712,0,0,28536,0,0,0,33717,0,0,0,63183,1,965,64149,86086,
31,YUCATAN,19,VALLADOLID,52,136,136,0,0,227,0,0,693,0,0,22213,0,0,0,34648,0,0,0,57781,24,1144,58949,81501,
31,YUCATAN,20,TEKAX,59,141,141,0,0,226,0,0,1461,0,0,23511,0,0,0,36808,0,0,0,62006,8,1254,63268,86064,
31,YUCATAN,21,TICUL,53,147,147,0,0,260,0,0,828,0,0,27553,0,0,0,36982,0,0,0,65623,7,1442,67072,87049,
