ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_NAY,PAN_PRI,PAN_NAY,PRI_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,1,MERIDA,100,182,182,24273,2995,278,1199,1032,2761,23458,203,496,597,37,12,1687,83,339,244,59694,37,1261,60992,94178,
31,YUCATAN,2,MERIDA,68,155,155,34877,2384,257,1073,768,2766,16425,192,514,919,32,3,1290,74,204,188,61966,33,961,62960,88777,
31,YUCATAN,3,MERIDA,46,141,141,37308,2734,237,996,769,2198,15573,147,512,757,23,3,980,49,175,169,62630,21,966,63617,86048,
31,YUCATAN,4,MERIDA,79,169,169,22141,2524,323,1397,1225,3009,26633,216,713,580,20,4,2408,95,348,281,61917,23,1409,63349,96321,
31,YUCATAN,5,MERIDA,66,158,158,15847,2113,292,1339,1224,2652,26888,218,358,465,26,8,2033,107,505,359,54434,10,1377,55821,92622,
31,YUCATAN,6,MERIDA,37,129,129,9090,1626,217,992,940,1616,20453,113,159,301,14,9,1433,169,308,231,37671,13,1066,38750,81581,
31,YUCATAN,7,MERIDA,58,159,159,18221,2180,297,1213,1264,3319,27037,193,430,532,28,3,1982,117,351,342,57509,27,1192,58728,94449,
31,YUCATAN,8,MERIDA,28,110,110,17694,1394,167,772,775,2478,18405,140,389,423,24,10,1235,54,213,207,44380,27,1048,45455,72278,
31,YUCATAN,9,MERIDA,19,113,113,28314,1793,161,912,834,1960,16053,145,455,546,17,8,1022,58,205,186,52669,16,864,53549,76609,
31,YUCATAN,10,KANASIN,25,103,103,11995,564,173,1012,892,1615,17699,280,147,173,67,7,1183,75,323,157,36362,13,1042,37417,68610,
31,YUCATAN,11,TECOH,44,119,119,16726,5668,403,1956,1855,2132,24053,1498,129,236,66,18,604,102,202,136,55784,59,1440,57283,74879,
31,YUCATAN,12,UMAN,45,133,133,14484,3086,279,1265,2465,4782,26078,1162,99,161,34,30,800,93,371,230,55419,22,1430,56871,80975,
31,YUCATAN,13,HUNUCMA,53,140,140,15769,2022,383,7416,4217,2549,27164,2228,244,293,324,51,797,291,593,382,64723,4,1468,66195,84360,
31,YUCATAN,14,PROGRESO,57,139,139,18534,4727,232,1629,2814,2543,22828,151,187,325,25,4,894,66,203,510,55672,8,1351,57031,84247,
31,YUCATAN,15,MOTUL,59,135,135,16014,2867,583,2570,1621,2819,22460,1031,98,447,29,5,1044,73,202,123,51986,6,1318,53310,78283,
31,YUCATAN,16,IZAMAL,83,161,161,18290,7835,1021,1451,3329,1322,33059,1518,207,307,45,10,745,83,148,152,69522,10,1314,70846,85253,
31,YUCATAN,17,TIZIMIN,62,146,146,18552,3584,163,3593,1338,623,31013,184,178,439,22,13,1184,182,315,201,61584,7,1474,63065,85902,
31,YUCATAN,18,TEMOZON,67,148,148,20598,4071,218,6829,877,712,25370,3330,339,92,102,4,431,44,102,64,63183,1,965,64149,86086,
31,YUCATAN,19,VALLADOLID,52,136,136,12466,6587,227,2078,1393,693,29659,2509,248,291,94,18,932,101,197,288,57781,24,1144,58949,81501,
31,YUCATAN,20,TEKAX,59,141,141,14418,6569,226,4426,7015,1461,23626,1579,346,416,125,58,730,151,307,553,62006,8,1254,63268,86064,
31,YUCATAN,21,TICUL,53,147,147,19735,6417,260,2076,1845,828,31912,981,196,168,33,23,734,92,165,158,65623,7,1442,67072,87049,
