CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_NAY,PAN_PRI,PAN_NAY,PRI_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,31,YUCATAN,7,MERIDA,50,MERIDA,1091,C,1,0,C01,0,79,18,2,9,10,16,187,0,0,4,0,0,16,0,5,1,347,0,13,360,574,ACTA DE CASILLA,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1092,B,1,0,B,0,158,11,4,9,8,30,191,2,4,5,1,0,12,0,1,1,437,0,9,446,667,PUNTO DE RECUENTO,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1093,B,1,0,B,0,68,8,1,5,6,26,146,1,3,3,0,0,9,0,4,1,281,0,5,286,402,ACTA DE CASILLA,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1093,C,1,0,C01,0,70,13,3,4,7,19,118,1,2,1,0,0,12,1,0,3,254,0,3,257,401,PUNTO DE RECUENTO,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1094,B,1,0,B,0,102,12,1,12,8,17,174,4,1,2,0,0,9,0,1,2,345,0,8,353,504,ACTA DE CASILLA,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1095,B,1,0,B,0,102,10,1,4,15,19,158,1,1,4,0,0,10,0,2,1,328,0,3,331,469,ACTA DE CASILLA,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1095,C,1,0,C01,0,82,11,0,5,6,20,175,2,1,2,0,0,10,0,2,0,316,0,4,320,468,ACTA DE CASILLA,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1096,B,1,0,B,0,64,11,1,11,9,17,131,0,0,0,0,0,16,0,3,2,265,0,7,272,394,ACTA DE CASILLA,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1096,C,1,0,C01,0,55,9,0,1,4,11,116,0,1,3,0,0,15,1,5,4,225,0,11,236,394,ACTA DE CASILLA,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1097,B,1,0,B,0,84,14,4,15,8,15,198,1,2,4,0,0,22,1,5,2,375,0,10,385,676,ACTA DE CASILLA,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1098,B,1,0,B,0,50,9,1,4,4,8,116,1,3,1,0,0,13,2,3,3,218,0,7,225,403,ACTA DE CASILLA,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1098,C,1,0,C01,0,59,7,2,6,4,12,134,2,0,0,0,0,10,2,2,0,240,0,11,251,402,ACTA DE CASILLA,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1099,B,1,0,B,0,106,10,4,15,15,23,236,0,1,2,0,0,13,1,6,2,434,0,14,448,722,ACTA DE CASILLA,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1100,B,1,0,B,0,83,20,2,12,6,24,226,1,4,1,0,0,15,0,3,3,400,0,16,416,696,ACTA DE CASILLA,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1101,B,1,0,B,0,73,8,2,9,12,17,145,0,5,1,0,0,23,2,2,1,300,0,5,305,483,ACTA DE CASILLA,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1101,C,1,0,C01,0,57,9,0,5,9,23,165,1,0,1,1,0,9,1,2,2,285,0,6,291,482,ACTA DE CASILLA,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1102,B,1,0,B,0,74,6,3,4,3,10,136,0,2,3,0,0,5,0,1,0,247,0,7,254,390,ACTA DE CASILLA,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1102,C,1,0,C01,0,86,9,0,7,12,8,109,3,2,1,0,0,7,0,3,1,248,0,2,250,389,ACTA DE CASILLA,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1103,B,1,0,B,0,80,7,3,6,11,14,166,0,1,2,0,1,8,0,5,0,304,0,9,313,460,ACTA DE CASILLA,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1103,C,1,0,C01,0,63,12,2,6,1,9,166,0,2,1,0,0,14,1,4,4,285,0,6,291,459,ACTA DE CASILLA,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1104,B,1,0,B,0,64,12,3,9,4,19,166,1,2,1,0,0,13,0,0,2,296,0,6,302,512,ACTA DE CASILLA,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1104,C,1,0,C01,0,86,10,3,7,3,12,148,0,1,3,0,0,9,1,4,3,290,0,7,297,512,ACTA DE CASILLA,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1105,B,1,0,B,0,25,11,0,4,14,12,100,0,2,1,1,0,8,1,0,1,180,0,6,186,302,ACTA DE CASILLA,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1106,B,1,0,B,0,67,6,1,7,10,11,119,0,4,1,0,0,8,0,0,3,237,1,8,246,387,ACTA DE CASILLA,,,
3,31,YUCATAN,7,MERIDA,50,MERIDA,1106,C,1,0,C01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,0,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1107,B,1,0,B,0,66,10,0,16,9,6,122,0,1,2,0,0,15,0,3,4,254,0,12,266,506,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1107,C,1,0,C01,0,58,7,1,8,11,9,160,0,1,1,2,0,4,0,2,3,267,0,7,274,505,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1107,C,2,0,C02,0,42,8,0,7,13,12,166,0,0,0,0,0,12,2,0,0,262,0,16,278,505,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1108,B,1,0,B,0,322,13,1,2,3,20,154,0,4,7,1,0,11,1,2,0,541,0,5,546,743,PUNTO DE RECUENTO,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1108,C,1,0,C01,0,332,15,1,10,2,24,142,1,1,4,0,0,7,0,1,0,540,0,5,545,743,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1108,C,2,0,C02,0,308,10,1,4,14,26,140,1,7,0,0,0,9,0,0,1,521,0,1,522,743,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1108,C,3,0,C03,0,329,12,1,7,4,20,113,2,7,11,0,0,6,0,1,2,515,1,7,523,743,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1108,C,4,0,C04,0,302,16,4,3,7,19,132,2,11,4,0,0,17,0,2,4,523,1,6,530,743,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1108,C,5,0,C05,0,329,10,0,5,4,36,145,1,5,4,0,0,3,0,0,1,543,0,6,549,743,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1108,C,6,0,C06,0,313,16,1,4,8,24,122,1,3,7,0,0,11,1,1,1,513,0,7,520,743,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1108,C,7,0,C07,0,311,21,1,4,6,17,138,1,13,10,0,0,11,0,0,1,534,1,4,539,742,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1108,C,8,0,C08,0,285,12,2,3,3,21,137,3,3,5,0,0,4,0,0,2,480,0,8,488,742,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1109,B,1,0,B,0,257,17,2,1,6,23,114,2,1,5,0,1,4,3,0,1,437,0,6,443,563,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1109,C,1,0,C01,0,244,23,1,4,3,15,106,1,3,4,0,0,5,1,2,2,414,1,5,420,563,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1109,C,2,0,C02,0,255,14,2,5,4,24,92,1,3,10,0,0,10,0,0,1,421,0,5,426,563,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1109,C,3,0,C03,0,247,15,0,7,6,26,107,2,5,8,0,0,11,0,1,0,435,1,4,440,563,ACTA DE CASILLA,,,
