CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_NAY,PAN_PRI,PAN_NAY,PRI_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,31,YUCATAN,6,MERIDA,50,MERIDA,1142,4,4,239,37,7,31,45,39,559,3,3,7,1,0,41,6,15,5,1038,0,27,1065,2825
3,31,YUCATAN,6,MERIDA,50,MERIDA,1143,4,4,199,54,3,33,15,53,556,3,3,4,0,3,35,21,9,4,995,1,31,1027,2666
3,31,YUCATAN,6,MERIDA,50,MERIDA,1144,5,5,335,60,19,38,35,53,829,2,8,8,2,0,64,6,21,7,1487,1,45,1533,3262
3,31,YUCATAN,6,MERIDA,50,MERIDA,1145,3,3,217,30,6,20,26,36,469,3,3,7,1,0,36,4,6,7,871,0,27,898,1931
3,31,YUCATAN,6,MERIDA,50,MERIDA,1146,5,5,292,48,8,27,40,58,692,5,11,7,0,0,45,6,10,9,1258,2,34,1294,3414
3,31,YUCATAN,6,MERIDA,50,MERIDA,1147,4,4,184,31,2,15,14,44,504,2,1,7,3,6,39,4,6,4,866,0,25,891,2402
3,31,YUCATAN,6,MERIDA,50,MERIDA,1148,4,4,350,62,11,34,35,56,827,2,9,11,0,0,58,8,10,9,1482,0,30,1512,2963
3,31,YUCATAN,6,MERIDA,50,MERIDA,1149,3,3,266,44,3,34,27,35,670,3,3,6,0,0,41,1,4,4,1141,1,28,1170,2201
3,31,YUCATAN,6,MERIDA,50,MERIDA,1150,3,3,214,32,2,29,17,39,523,0,6,9,0,0,51,10,7,3,942,0,26,968,1903
3,31,YUCATAN,8,MERIDA,50,MERIDA,1151,5,5,766,49,12,31,32,154,988,8,24,15,1,0,58,1,11,8,2158,2,28,2188,3719
3,31,YUCATAN,8,MERIDA,50,MERIDA,1152,5,5,576,32,13,37,28,107,959,6,20,16,0,0,71,0,4,11,1880,1,32,1913,3418
3,31,YUCATAN,3,MERIDA,50,MERIDA,1153,4,4,1418,67,1,13,7,29,193,3,20,25,1,0,14,0,2,2,1795,0,23,1818,2286
3,31,YUCATAN,3,MERIDA,50,MERIDA,1154,3,3,1260,60,4,12,9,14,155,4,17,14,0,1,2,4,0,2,1558,1,12,1571,1949
3,31,YUCATAN,3,MERIDA,50,MERIDA,1155,3,3,770,61,11,22,23,75,445,3,10,24,0,0,23,0,4,3,1474,0,24,1498,2245
3,31,YUCATAN,3,MERIDA,50,MERIDA,1156,4,4,794,69,5,36,21,96,513,4,8,22,1,0,39,1,9,6,1624,0,32,1656,2353
3,31,YUCATAN,3,MERIDA,50,MERIDA,1157,2,2,242,27,5,19,10,49,341,2,3,7,0,0,22,0,4,3,734,0,18,752,1129
3,31,YUCATAN,3,MERIDA,50,MERIDA,1158,4,4,545,87,11,36,26,82,669,5,10,20,1,0,58,1,9,7,1567,0,25,1592,2363
3,31,YUCATAN,9,MERIDA,50,MERIDA,1159,2,2,270,27,7,21,37,35,494,3,3,5,1,0,28,1,6,5,943,0,20,963,1449
3,31,YUCATAN,9,MERIDA,50,MERIDA,1160,3,3,354,69,4,38,39,44,799,2,1,6,0,0,31,5,7,4,1403,0,37,1440,2198
3,31,YUCATAN,12,UMAN,101,UMAN,1161,4,4,527,48,14,51,77,355,651,22,4,4,0,0,23,4,2,3,1785,16,37,1838,2708
3,31,YUCATAN,12,UMAN,101,UMAN,1162,3,3,330,25,5,48,18,200,545,15,2,1,0,0,23,5,5,6,1228,1,27,1256,2074
3,31,YUCATAN,10,KANASIN,41,KANASIN,1163,3,3,89,6,2,12,10,12,180,1,0,0,1,2,18,1,3,1,338,1,5,344,2024
3,31,YUCATAN,10,KANASIN,41,KANASIN,1164,4,4,343,15,14,43,39,56,773,5,3,7,4,0,67,4,26,6,1405,1,29,1435,2547
3,31,YUCATAN,10,KANASIN,41,KANASIN,1165,4,4,373,23,8,31,29,72,955,1,4,6,0,0,30,2,5,4,1543,1,28,1572,2963
3,31,YUCATAN,10,KANASIN,41,KANASIN,1166,2,2,232,18,2,11,10,23,224,3,6,7,1,0,13,1,6,3,560,0,10,570,995
3,31,YUCATAN,10,KANASIN,41,KANASIN,1167,1,1,74,6,3,5,7,11,139,1,1,0,0,0,11,1,2,0,261,0,6,267,484
3,31,YUCATAN,10,KANASIN,41,KANASIN,1168,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2805
3,31,YUCATAN,10,KANASIN,41,KANASIN,1169,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006
3,31,YUCATAN,10,KANASIN,41,KANASIN,1170,4,4,334,25,4,39,25,41,705,15,4,9,3,0,43,1,6,6,1260,1,34,1295,2686
3,31,YUCATAN,7,MERIDA,50,MERIDA,1171,4,4,556,63,6,46,45,108,832,8,14,16,1,0,55,3,17,13,1783,2,27,1812,2835
3,31,YUCATAN,7,MERIDA,50,MERIDA,1172,4,4,532,57,9,38,30,100,862,5,6,16,0,0,56,4,15,9,1739,1,34,1774,2947
3,31,YUCATAN,7,MERIDA,50,MERIDA,1173,4,4,431,56,8,28,37,87,801,4,14,17,0,0,73,2,8,11,1577,0,24,1601,2633
3,31,YUCATAN,7,MERIDA,50,MERIDA,1174,2,2,215,30,5,28,13,40,362,3,10,6,0,0,22,0,8,6,748,0,22,770,1137
3,31,YUCATAN,7,MERIDA,50,MERIDA,1175,3,3,291,25,2,13,22,61,525,5,8,4,2,0,45,0,2,3,1008,0,14,1022,1735
3,31,YUCATAN,7,MERIDA,50,MERIDA,1176,4,4,255,28,4,18,30,59,542,1,6,8,1,0,40,1,8,8,1009,1,16,1026,2375
3,31,YUCATAN,7,MERIDA,50,MERIDA,1177,4,4,453,31,7,20,35,90,688,4,11,5,1,0,46,0,5,13,1409,1,21,1431,2279
3,31,YUCATAN,7,MERIDA,50,MERIDA,1178,2,2,164,23,0,7,13,38,343,1,6,5,0,0,24,0,5,4,633,0,9,642,1110
3,31,YUCATAN,7,MERIDA,50,MERIDA,1179,3,3,406,40,3,16,25,71,528,2,16,11,3,0,33,2,4,4,1164,0,21,1185,1977
3,31,YUCATAN,7,MERIDA,50,MERIDA,1180,2,2,204,32,5,16,12,48,350,5,8,5,0,0,19,0,2,1,707,0,3,710,1092
3,31,YUCATAN,7,MERIDA,50,MERIDA,1181,3,3,406,38,5,19,27,43,395,3,12,17,1,0,27,1,7,3,1004,1,24,1029,1504
3,31,YUCATAN,2,MERIDA,50,MERIDA,1182,4,4,1159,60,5,19,22,75,425,9,17,26,0,0,33,1,1,4,1856,1,16,1873,2621
3,31,YUCATAN,2,MERIDA,50,MERIDA,1183,4,4,1085,55,9,22,24,107,570,4,24,35,1,0,32,1,2,4,1975,0,28,2003,2754
3,31,YUCATAN,2,MERIDA,50,MERIDA,1184,4,4,922,61,9,27,19,104,582,4,23,13,1,0,40,0,4,7,1816,2,25,1843,2580
3,31,YUCATAN,2,MERIDA,50,MERIDA,1185,6,6,1027,60,8,35,20,84,532,15,20,17,1,0,37,0,3,8,1867,0,23,1890,2959
3,31,YUCATAN,2,MERIDA,50,MERIDA,1186,3,3,786,60,8,29,22,78,405,3,14,22,1,0,38,0,9,3,1478,0,26,1504,2165
3,31,YUCATAN,13,HUNUCMA,38,HUNUCMA,1187,1,1,97,5,6,18,9,3,144,49,0,3,1,0,2,1,0,0,338,0,7,345,414
3,31,YUCATAN,13,HUNUCMA,38,HUNUCMA,1188,4,4,561,26,16,100,118,90,893,116,5,4,10,1,7,3,7,3,1960,0,88,2048,2710
3,31,YUCATAN,9,MERIDA,50,MERIDA,1189,4,4,1759,75,7,11,10,36,210,4,19,20,0,0,12,0,4,3,2170,0,23,2193,2864
3,31,YUCATAN,9,MERIDA,50,MERIDA,1190,2,2,436,34,4,33,15,38,256,5,3,15,0,0,23,1,1,3,867,0,17,884,1215
3,31,YUCATAN,20,TEKAX,79,TEKAX,1191,4,4,322,53,7,20,48,17,486,5,1,5,0,0,3,0,2,5,974,0,25,999,2773
3,31,YUCATAN,20,TEKAX,79,TEKAX,1192,1,1,89,28,1,5,13,5,146,2,0,5,0,0,1,1,1,3,300,0,7,307,364
