CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,PNAM,MORENA,PES,MAS,PROGRESA,RSPM,PAN_PRI_PRD_RSPM,PAN_PRI_PRD,PAN_PRI_RSPM,PAN_PRD_RSPM,PRI_PRD_RSPM,PAN_PRI,PAN_PRD,PAN_RSPM,PRI_PRD,PRI_RSPM,PRD_RSPM,MC_PROGRESA,MORENA_PNAM_PES_MAS,MORENA_PNAM_PES,MORENA_PNAM_MAS,MORENA_PES_MAS,PNAM_PES_MAS,MORENA_PNAM,MORENA_PES,MORENA_MAS,PNAM_PES,PNAM_MAS,PES_MAS,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,0,A,6,0,VA06,0,7,3,1,0,0,1,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,22,0,ACTA CASILLA,,,
4,17,MORELOS,6,JIUTEPEC,11,JIUTEPEC,0,A,11,0,VA11,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,ACTA CASILLA,,,
4,17,MORELOS,11,JOJUTLA,25,TLAQUILTENANGO,0,A,18,0,VA18,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,ACTA CASILLA,,,
4,17,MORELOS,12,YAUTEPEC,29,YAUTEPEC,0,A,17,0,VA17,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,ACTA CASILLA,,,
4,17,MORELOS,11,JOJUTLA,31,ZACATEPEC,0,A,19,0,VA19,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,ACTA LEVANTADA EN CONSEJO,,,
4,17,MORELOS,11,JOJUTLA,12,JOJUTLA,0,A,16,0,VA16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,188,B,1,0,B,0,87,14,7,19,16,40,5,140,2,7,7,3,4,4,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,363,2,20,385,673,GRUPO DE RECUENTO,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,188,C,1,0,C01,0,83,17,15,19,13,50,9,141,4,4,3,4,0,4,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,373,1,16,390,672,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,188,C,2,0,C02,0,90,11,9,19,13,54,5,144,2,1,7,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,26,388,672,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,188,C,3,0,C03,0,75,10,5,22,17,56,9,131,5,7,6,3,0,6,2,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,359,0,17,376,672,ACTA CASILLA,,,
