CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_ELECCION,NOMBRE_PARTICIPANTE,NUMERO_LISTA,CANDIDATO,SEXO_CANDIDATO,RUTA_CONSTANCIA,PARTIDO
1,18,NAYARIT,,,14,SANTA MARIA DEL ORO,1,SANTA MARIA DEL ORO 01,REG,NAN_MLN,1,NESTOR EDUARDO RUVALCABA CRUZ,1,,MLN
1,18,NAYARIT,,,14,SANTA MARIA DEL ORO,2,SANTA MARIA DEL ORO 02,REG,PAN_PRI_PRD,1,NELSON YOET GARCIA ESTRADA,1,,PAN
1,18,NAYARIT,,,14,SANTA MARIA DEL ORO,3,SANTA MARIA DEL ORO 03,REG,PVEM_PT_MORENA_FXMN,1,ROSALIO LOMELI MARISCAL,1,,PT
1,18,NAYARIT,,,14,SANTA MARIA DEL ORO,4,SANTA MARIA DEL ORO 04,REG,PVEM_PT_MORENA_FXMN,1,SILVIA BUSTAMANTE OCAMPO,2,,MORENA
1,18,NAYARIT,,,14,SANTA MARIA DEL ORO,5,SANTA MARIA DEL ORO 05,REG,PVEM_PT_MORENA_FXMN,1,MARIA ELIZABETH ORTEGA CABANILLA,2,,MORENA
1,18,NAYARIT,,,14,SANTA MARIA DEL ORO,6,SANTA MARIA DEL ORO 06,REG,PVEM_PT_MORENA_FXMN,1,ANGEL ARMANDO CASTILLO BAÑUELOS,1,,FMXN
1,18,NAYARIT,,,14,SANTA MARIA DEL ORO,7,SANTA MARIA DEL ORO 07,REG,NAN_MLN,1,MARIA GUADALUPE HERNANDEZ RODRIGUEZ,2,,NAN
1,18,NAYARIT,,,15,SANTIAGO IXCUINTLA,1,SANTIAGO IXCUINTLA 01,REG,PVEM_PT_MORENA_FXMN,1,GUADALUPE MISAEL MANZANO COSIO,1,,MORENA
1,18,NAYARIT,,,15,SANTIAGO IXCUINTLA,2,SANTIAGO IXCUINTLA 02,REG,PVEM_PT_MORENA_FXMN,1,CLAUDIA YANETH GUILLEN GARCIA,2,,MORENA
1,18,NAYARIT,,,15,SANTIAGO IXCUINTLA,3,SANTIAGO IXCUINTLA 03,REG,MC,1,LUIS MIGUEL MEDINA TORRES,1,,MC
1,18,NAYARIT,,,15,SANTIAGO IXCUINTLA,4,SANTIAGO IXCUINTLA 04,REG,PVEM_PT_MORENA_FXMN,1,ENRIQUE MACEDO ROMERO,1,,MORENA
1,18,NAYARIT,,,15,SANTIAGO IXCUINTLA,5,SANTIAGO IXCUINTLA 05,REG,PVEM_PT_MORENA_FXMN,1,MIRTHA ROMERO BENITEZ,2,,PT
1,18,NAYARIT,,,15,SANTIAGO IXCUINTLA,6,SANTIAGO IXCUINTLA 06,REG,PVEM_PT_MORENA_FXMN,1,JORGE EMMANUEL RUVALCABA HERNANDEZ,1,,MORENA
1,18,NAYARIT,,,15,SANTIAGO IXCUINTLA,7,SANTIAGO IXCUINTLA 07,REG,PVEM_PT_MORENA_FXMN,1,JUAN CARLOS VILLANUEVA TRUJILLO,1,,PT
