CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,VIDA_NL,ESO,LIBERAL,PESNL,JUSTICIALISTA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_MORENA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,379,2,2,490,31,0,1,7,84,24,14,0,0,1,0,0,0,0,0,0,91,743,0,14,757,974
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,380,3,3,936,28,0,3,8,71,70,27,0,0,9,0,0,0,0,0,0,284,1436,1,25,1462,1962
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,381,2,2,376,9,0,3,3,45,22,3,0,0,0,0,0,0,0,0,0,75,536,0,4,540,787
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,382,3,3,870,23,0,2,1,54,11,7,0,0,1,0,0,0,0,0,0,277,1246,2,7,1255,1610
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,383,2,2,576,19,0,0,1,39,18,7,0,0,0,0,0,0,0,0,0,161,821,0,7,828,1061
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,384,2,2,767,23,0,1,5,40,16,15,0,0,1,0,0,0,0,0,0,264,1132,0,7,1139,1439
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,385,2,2,769,23,0,5,1,33,20,6,0,0,0,0,0,0,0,0,0,258,1115,0,6,1121,1401
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,386,3,3,931,23,0,0,5,46,26,12,0,0,3,0,0,0,0,0,0,346,1392,0,17,1409,1851
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,387,3,3,1167,32,0,1,4,54,23,15,0,0,2,0,0,0,0,0,0,222,1520,0,16,1536,1931
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,388,6,6,1601,56,0,58,11,303,163,30,0,0,2,0,0,0,0,0,0,283,2507,0,66,2573,3880
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,389,8,8,3087,59,0,4,11,161,50,31,0,0,3,0,0,0,0,0,0,985,4391,0,30,4421,5445
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,390,8,8,3094,67,0,2,3,170,58,40,0,0,2,0,0,0,0,0,0,766,4202,0,25,4227,5415
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,391,3,3,1126,23,0,0,1,47,17,18,0,0,0,0,0,0,0,0,0,306,1538,2,14,1554,1983
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,392,3,3,889,21,0,5,0,40,15,12,0,0,0,0,0,0,0,0,0,194,1176,0,7,1183,1511
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,393,2,2,620,25,0,4,0,50,9,9,0,0,0,0,0,0,0,0,0,140,857,1,8,866,1143
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,394,2,2,567,15,0,1,2,30,14,11,0,0,0,0,0,0,0,0,0,159,799,3,6,808,1043
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,395,2,2,437,10,0,0,6,21,9,3,0,0,0,0,0,0,0,0,0,109,595,0,5,600,789
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,396,1,1,436,8,0,1,1,30,10,5,0,0,0,0,0,0,0,0,0,102,593,0,6,599,744
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,397,2,2,713,18,0,1,1,45,22,10,0,0,0,0,0,0,0,0,0,256,1066,0,8,1074,1349
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,398,2,2,777,33,0,6,1,42,13,11,0,0,0,0,0,0,0,0,0,256,1139,0,11,1150,1408
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,399,2,2,603,13,0,4,1,31,14,7,0,0,1,0,0,0,0,0,0,194,868,0,7,875,1086
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,400,2,2,517,8,0,3,3,26,11,6,0,0,0,0,0,0,0,0,0,162,736,0,5,741,937
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,401,3,3,820,18,0,4,4,107,51,10,0,0,3,0,0,0,0,0,0,186,1203,0,23,1226,1658
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,402,4,4,1583,29,0,3,4,80,35,14,0,0,0,0,0,0,0,0,0,567,2315,1,10,2326,2878
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,403,3,3,957,17,0,4,3,61,28,6,0,0,2,0,0,0,0,0,0,331,1409,0,15,1424,1856
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,404,3,3,950,23,0,2,2,51,23,10,0,0,0,0,0,0,0,0,0,450,1511,0,9,1520,1883
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,405,2,2,538,6,0,3,3,18,13,10,0,0,0,0,0,0,0,0,0,178,769,0,9,778,972
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,406,2,2,605,24,0,4,4,78,45,28,0,0,2,0,0,0,0,0,0,133,923,0,16,939,1311
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,407,2,2,666,27,0,3,5,49,30,20,0,0,0,0,0,0,0,0,0,218,1018,0,7,1025,1364
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,408,3,3,873,12,0,1,1,48,14,7,0,0,0,0,0,0,0,0,0,233,1189,0,5,1194,1492
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,409,4,4,1407,26,0,4,1,69,27,10,0,0,1,0,0,0,0,0,0,459,2004,0,9,2013,2487
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,410,4,4,1520,34,0,7,0,88,35,13,0,0,0,0,0,0,0,0,0,692,2389,0,11,2400,2959
