ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,VIDA_NL,ESO,LIBERAL,PESNL,JUSTICIALISTA,PAN_PRI_PRD,PVEM_MORENA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
19,NUEVO LEON,18,GARCIA,144,408,410,0,0,0,17718,2134,23994,51857,5933,1127,0,0,209,11307,0,0,114279,31,2985,117295,247937,
19,NUEVO LEON,19,SAN PEDRO GARZA GARCIA,62,186,187,50613,1408,0,586,484,6495,3662,884,0,0,78,0,0,0,14213,78423,20,1493,79936,112772,
19,NUEVO LEON,20,GRAL. BRAVO,6,12,12,1581,542,0,0,1251,196,0,5,0,0,0,0,0,155,0,3730,0,166,3896,6497,
19,NUEVO LEON,21,GRAL. ESCOBEDO,170,552,554,0,0,0,0,5900,35673,0,3466,1176,0,533,1109,35373,77758,0,160988,75,6487,167550,345360,
19,NUEVO LEON,22,GRAL. TERAN,15,25,25,0,0,0,123,102,4387,659,0,0,0,0,0,2467,0,0,7738,1,387,8126,13935,
19,NUEVO LEON,23,GRAL. TREVIÑO,2,4,4,0,0,0,0,0,567,0,6,0,0,0,0,734,12,0,1319,0,51,1370,2134,
19,NUEVO LEON,24,GRAL. ZARAGOZA,5,10,11,0,0,0,20,0,1574,72,0,2157,0,0,0,65,0,0,3888,0,226,4114,5132,
19,NUEVO LEON,25,GRAL. ZUAZUA,45,104,104,0,0,0,867,604,7898,9808,948,299,0,516,0,4893,0,0,25833,9,939,26781,58333,
19,NUEVO LEON,26,GUADALUPE,310,896,899,0,0,0,0,11701,110800,0,8882,0,0,0,1195,79782,86897,0,299257,163,11626,311046,553201,
19,NUEVO LEON,27,LOS HERRERAS,6,6,6,0,0,0,304,0,902,0,0,0,0,0,0,899,0,0,2105,0,50,2155,3073,
19,NUEVO LEON,28,HIDALGO,9,22,23,1128,44,0,687,2773,2390,1263,0,0,0,0,25,0,0,0,8310,4,246,8560,13314,
19,NUEVO LEON,29,HIGUERAS,2,3,3,0,0,0,12,0,115,0,4,240,0,0,0,826,0,0,1197,0,20,1217,1541,
19,NUEVO LEON,30,HUALAHUISES,8,13,13,0,0,0,20,11,1989,65,0,0,0,0,0,2262,0,0,4347,0,139,4486,6568,
19,NUEVO LEON,31,ITURBIDE,4,7,7,0,0,0,0,25,1702,0,0,0,0,0,0,79,832,0,2638,0,104,2742,3299,
19,NUEVO LEON,32,JUAREZ,171,498,499,0,0,0,0,3066,66659,0,0,601,0,343,225,33900,31777,0,136571,35,4438,141044,302856,
19,NUEVO LEON,33,LAMPAZOS DE NARANJO,4,9,9,0,0,0,0,0,991,0,13,0,0,0,0,2345,123,0,3472,0,141,3613,5240,
19,NUEVO LEON,34,LINARES,47,119,120,0,0,0,0,647,2937,0,251,260,0,0,0,12618,15039,0,31752,18,1480,33250,68797,
19,NUEVO LEON,35,MARIN,3,10,10,0,0,0,0,9,1580,0,0,5,0,0,0,68,1840,0,3502,0,138,3640,5319,
19,NUEVO LEON,36,MELCHOR OCAMPO,2,4,4,0,0,0,0,921,78,0,0,327,0,0,0,23,16,0,1365,0,88,1453,2087,
19,NUEVO LEON,37,MIER Y NORIEGA,9,14,14,1319,16,0,0,33,1317,0,0,0,0,0,0,0,2102,0,4787,0,148,4935,6927,
19,NUEVO LEON,38,MINA,7,11,11,0,0,0,0,71,2790,0,0,3,0,85,0,360,144,0,3453,2,137,3592,5093,
19,NUEVO LEON,39,MONTEMORELOS,42,99,100,0,0,0,0,1412,5493,0,93,1211,0,0,0,13057,4915,0,26181,4,1153,27338,57739,
19,NUEVO LEON,40,MONTERREY,734,1642,1647,0,0,0,0,11129,175742,0,79359,8867,0,0,750,213948,64189,0,553984,155,17853,571992,963363,
19,NUEVO LEON,41,PARAS,3,4,4,1255,0,0,0,0,493,0,2,0,0,0,0,0,11,0,1761,0,25,1786,2195,
19,NUEVO LEON,42,PESQUERIA,46,145,145,11507,443,130,866,492,13333,7999,0,0,116,0,0,0,0,0,34886,0,1302,36188,91887,
19,NUEVO LEON,43,LOS RAMONES,12,14,15,0,0,0,328,881,25,124,449,0,0,134,0,1207,0,0,3148,1,122,3271,5937,
19,NUEVO LEON,44,RAYONES,5,6,6,0,0,0,0,13,483,0,0,2,0,0,0,1781,88,0,2367,0,96,2463,3040,
19,NUEVO LEON,45,SABINAS HIDALGO,24,54,55,0,0,0,0,392,7389,0,12,120,0,0,0,7584,2732,0,18229,2,610,18841,30772,
19,NUEVO LEON,46,SALINAS VICTORIA,27,99,99,0,0,0,0,367,16599,0,492,0,58,0,0,1245,3224,0,21985,20,927,22932,60909,
19,NUEVO LEON,47,SAN NICOLAS DE LOS GARZA,242,597,599,82822,8956,668,4357,3302,72726,37668,2546,0,0,548,0,0,0,0,213593,52,8006,221651,360374,
19,NUEVO LEON,48,SANTA CATARINA,107,365,367,0,0,0,2641,2443,50458,19398,1068,0,0,929,0,47586,0,0,124523,42,4542,129107,235982,
19,NUEVO LEON,49,SANTIAGO,25,75,76,0,0,0,330,585,2522,3582,0,0,97,0,0,18921,0,0,26037,6,732,26775,44320,
19,NUEVO LEON,50,VALLECILLO,6,6,6,0,0,0,0,1040,38,0,0,0,0,0,0,564,14,0,1656,0,47,1703,2445,
19,NUEVO LEON,51,VILLALDAMA,5,7,7,7,31,0,975,0,1758,79,0,3,0,0,0,0,0,0,2853,0,49,2902,3841,
