ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,VIDA_NL,ESO,LIBERAL,PESNL,JUSTICIALISTA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
19,NUEVO LEON,13,CHINA,11,19,19,28,30,5,5057,31,1766,77,0,0,0,0,0,0,6994,0,256,7250,10567,
19,NUEVO LEON,14,DR. ARROYO,37,56,56,143,11397,0,155,269,726,8374,0,90,0,0,0,0,21154,11,1033,22198,30230,
19,NUEVO LEON,15,DR. COSS,5,6,6,11,18,3,780,166,832,0,0,0,0,0,0,0,1810,0,70,1880,2900,
19,NUEVO LEON,16,DR. GONZALEZ,4,7,7,24,1132,12,77,0,656,359,0,0,0,0,0,0,2260,0,83,2343,3331,
19,NUEVO LEON,17,GALEANA,37,64,64,270,10320,163,327,145,7495,841,0,0,0,0,0,0,19561,3,1380,20944,30786,
19,NUEVO LEON,18,GARCIA,144,408,410,7406,3349,552,17718,2134,23994,51857,5933,1127,0,0,209,0,114279,31,2985,117295,247937,
19,NUEVO LEON,19,SAN PEDRO GARZA GARCIA,62,186,187,50613,1408,0,586,484,6495,3662,884,0,0,78,0,14213,78423,20,1493,79936,112772,
19,NUEVO LEON,20,GRAL. BRAVO,6,12,12,1581,542,0,52,1251,196,103,5,0,0,0,0,0,3730,0,166,3896,6497,
19,NUEVO LEON,21,GRAL. ESCOBEDO,170,552,554,23724,10307,1342,11778,5900,35673,65980,3466,1176,0,533,1109,0,160988,75,6487,167550,345360,
19,NUEVO LEON,22,GRAL. TERAN,15,25,25,208,2208,51,123,102,4387,659,0,0,0,0,0,0,7738,1,387,8126,13935,
19,NUEVO LEON,23,GRAL. TREVIÑO,2,4,4,710,15,9,4,0,567,8,6,0,0,0,0,0,1319,0,51,1370,2134,
19,NUEVO LEON,24,GRAL. ZARAGOZA,5,10,11,6,53,6,20,0,1574,72,0,2157,0,0,0,0,3888,0,226,4114,5132,
19,NUEVO LEON,25,GRAL. ZUAZUA,45,104,104,4020,650,223,867,604,7898,9808,948,299,0,516,0,0,25833,9,939,26781,58333,
19,NUEVO LEON,26,GUADALUPE,310,896,899,45737,31534,2511,10023,11701,110800,76874,8882,0,0,0,1195,0,299257,163,11626,311046,553201,
19,NUEVO LEON,27,LOS HERRERAS,6,6,6,170,699,30,304,0,902,0,0,0,0,0,0,0,2105,0,50,2155,3073,
19,NUEVO LEON,28,HIDALGO,9,22,23,1128,44,0,687,2773,2390,1263,0,0,0,0,25,0,8310,4,246,8560,13314,
19,NUEVO LEON,29,HIGUERAS,2,3,3,788,21,17,12,0,115,0,4,240,0,0,0,0,1197,0,20,1217,1541,
