ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAH,C_PAN_PRI_PRD,C_MORENA_NAH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
13,HIDALGO,42,MOLANGO DE ESCAMILLA,15,19,20,0,0,0,430,535,1151,0,0,504,3279,5899,7,312,6218,8460,
13,HIDALGO,43,NICOLAS FLORES,19,20,20,0,0,0,108,138,48,0,0,1436,1985,3715,1,184,3900,5430,
13,HIDALGO,44,NOPALA DE VILLAGRAN,10,21,21,0,0,0,841,1245,1533,0,0,1812,2447,7878,5,435,8318,12175,
13,HIDALGO,45,OMITLAN DE JUAREZ,10,14,14,0,0,0,370,427,211,0,0,1033,2958,4999,5,220,5224,7749,
13,HIDALGO,46,PACULA,10,11,11,0,0,0,213,87,58,0,0,871,1512,2741,2,197,2940,4259,
13,HIDALGO,47,PACHUCA DE SOTO,141,410,417,95,137,5,12198,8391,18174,473,11,40538,73935,153957,132,7290,161379,248574,
13,HIDALGO,48,PISAFLORES,20,28,28,0,0,0,623,2867,162,0,0,2180,1916,7748,7,826,8581,13712,
13,HIDALGO,49,PROGRESO DE OBREGON,12,31,31,0,0,0,7322,456,507,0,0,1610,2640,12535,4,496,13035,19237,
13,HIDALGO,50,SAN AGUSTIN METZQUITITLAN,13,18,19,0,0,0,1068,647,169,0,0,553,2890,5327,3,250,5580,7913,
13,HIDALGO,51,SAN AGUSTIN TLAXIACA,18,46,47,0,0,0,1171,1827,3900,0,0,2326,8308,17532,19,913,18464,27388,
13,HIDALGO,52,SAN BARTOLO TUTOTEPEC,17,30,30,0,0,0,301,390,291,0,0,2515,5389,8886,7,697,9590,13626,
13,HIDALGO,53,SAN FELIPE ORIZATLAN,24,55,57,5,11,0,7499,2184,658,36,2,2143,6320,18858,9,1306,20173,29468,
