CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAH,C_PAN_PRI_PRD,C_MORENA_NAH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1539,8,8,0,0,0,255,158,183,0,0,303,1337,2236,4,167,2407,5271
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1540,1,1,0,0,0,41,34,35,0,0,91,166,367,0,20,387,589
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1541,1,1,0,0,0,33,34,17,0,0,43,176,303,0,28,331,634
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1542,2,2,0,0,0,37,21,20,0,0,102,316,496,1,30,527,1083
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1543,3,3,0,0,0,79,48,72,0,0,97,560,856,1,82,939,1865
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1544,5,5,0,0,0,151,88,65,0,0,143,947,1394,2,127,1523,3237
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1545,4,4,0,0,0,159,59,106,0,0,258,840,1422,1,84,1507,2737
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1546,2,2,0,0,0,78,14,26,0,0,54,229,401,2,32,435,844
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1547,1,1,0,0,0,24,6,4,0,0,18,100,152,0,10,162,281
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1548,7,7,0,0,0,546,142,223,0,0,440,1406,2757,2,134,2893,5078
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1549,7,7,0,0,0,367,151,270,0,0,441,1222,2451,8,118,2577,4952
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1550,2,2,0,0,0,125,30,65,0,0,160,216,596,0,36,632,1123
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1551,3,3,0,0,0,156,47,68,0,0,154,560,985,0,73,1058,1969
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1552,2,2,0,0,0,113,35,28,0,0,65,282,523,0,38,561,990
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1553,2,2,0,0,0,69,41,37,0,0,164,308,619,1,34,654,1211
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1554,14,15,14,20,1,539,258,371,84,2,724,2371,4384,7,328,4719,8712
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1555,2,2,0,0,0,68,32,30,0,0,137,264,531,0,28,559,923
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1790,3,3,0,0,0,105,50,72,0,0,103,632,962,1,56,1019,1845
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1791,4,4,0,0,0,143,87,95,0,0,168,782,1275,4,118,1397,2876
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1792,3,3,0,0,0,71,46,53,0,0,125,435,730,2,54,786,1540
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1793,1,1,0,0,0,33,14,25,0,0,37,205,314,0,23,337,678
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1818,3,3,0,0,0,157,65,100,0,0,195,610,1127,2,67,1196,2219
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1819,4,4,0,0,0,199,75,88,0,0,196,703,1261,3,64,1328,2306
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1820,4,4,0,0,0,122,66,112,0,0,160,775,1235,2,68,1305,2753
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1821,3,3,0,0,0,133,42,74,0,0,146,470,865,0,54,919,1806
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1822,3,3,0,0,0,321,94,82,0,0,214,484,1195,2,72,1269,2132
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1865,4,4,0,0,0,254,63,162,0,0,604,603,1686,1,48,1735,2559
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1866,3,3,0,0,0,146,57,104,0,0,174,557,1038,0,34,1072,1676
4,13,HIDALGO,11,TULANCINGO DE BRAVO,76,TULANCINGO DE BRAVO,1867,2,2,0,0,0,44,15,66,0,0,97,360,582,1,34,617,948
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,911,3,3,0,0,0,76,72,182,0,0,256,713,1299,1,62,1362,2067
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,913,3,3,0,0,0,91,63,148,0,0,226,661,1189,0,64,1253,1973
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,914,4,4,0,0,0,94,117,182,0,0,259,746,1398,3,71,1472,2304
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,915,2,2,0,0,0,62,57,97,0,0,140,428,784,2,44,830,1405
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,916,3,3,0,0,0,66,81,129,0,0,199,598,1073,0,58,1131,1667
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,918,4,4,0,0,0,110,111,247,0,0,329,873,1670,3,88,1761,2730
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,939,5,5,0,0,0,108,121,263,0,0,725,946,2163,0,82,2245,3203
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,940,6,6,0,0,0,101,132,224,0,0,916,972,2345,2,84,2431,3875
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,941,2,2,0,0,0,70,37,46,0,0,111,247,511,0,29,540,809
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,942,2,2,0,0,0,50,40,62,0,0,171,306,629,1,34,664,922
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,943,2,2,0,0,0,52,61,81,0,0,294,277,765,1,28,794,1035
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,944,4,4,0,0,0,79,89,220,0,0,666,712,1766,5,54,1825,2614
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,945,1,1,0,0,0,26,18,57,0,0,80,244,425,0,16,441,625
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,946,2,2,0,0,0,22,32,54,0,0,100,298,506,0,43,549,796
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,947,2,2,0,0,0,36,20,56,0,0,118,283,513,0,17,530,765
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,948,5,5,0,0,0,158,139,350,0,0,795,1050,2492,3,97,2592,3606
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,949,2,2,0,0,0,37,29,85,0,0,138,314,603,3,44,650,978
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,950,4,6,43,72,2,79,70,153,198,4,204,368,1193,0,61,1254,1134
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,951,5,5,0,0,0,154,116,267,0,0,561,868,1966,4,67,2037,3207
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,952,6,6,0,0,0,144,139,350,0,0,608,1073,2314,0,107,2421,4111
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,953,3,3,0,0,0,75,67,165,0,0,383,484,1174,3,42,1219,1771
