CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAH,C_PAN_PRI_PRD,C_MORENA_NAH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,67,C,2,0,C02,0,0,0,0,11,48,80,0,0,45,154,338,0,22,360,527,Grupo de recuento,,,
4,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,68,B,1,0,B,0,0,0,0,6,39,69,0,0,57,158,329,0,17,346,512,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,68,C,1,0,C01,0,0,0,0,4,45,66,0,0,63,129,307,0,34,341,512,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,68,C,2,0,C02,0,0,0,0,12,50,50,0,0,48,145,305,0,11,316,512,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,331,B,1,0,B,0,0,0,0,19,30,37,0,0,99,218,403,0,20,423,647,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,331,C,1,0,C01,0,0,0,0,17,34,36,0,0,118,255,460,0,18,478,647,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,331,C,2,0,C02,0,0,0,0,27,24,32,0,0,95,265,443,0,17,460,647,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,331,C,3,0,C03,0,0,0,0,20,14,43,0,0,118,245,440,1,15,456,646,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,332,B,1,0,B,0,0,0,0,27,94,45,0,0,90,220,476,0,17,493,686,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,332,C,1,0,C01,0,0,0,0,27,111,31,0,0,113,210,492,1,15,508,685,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,333,B,1,0,B,0,0,0,0,24,51,25,0,0,70,147,317,0,19,336,565,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,333,C,1,0,C01,0,0,0,0,24,45,37,0,0,62,154,322,2,21,345,565,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,334,B,1,0,B,0,0,0,0,20,35,23,0,0,39,101,218,0,16,234,307,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,335,B,1,0,B,0,0,0,0,14,17,23,0,0,56,141,251,7,12,270,461,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,335,C,1,0,C01,0,0,0,0,23,24,19,0,0,58,157,281,0,18,299,461,Acta casilla,,,
