CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_ELECCION,NOMBRE_PARTICIPANTE,NUMERO_LISTA,PERSONA_CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,,,,,DIP_LOC_MR,PAN_PRI_PRD,1,CLAUDIA GABRIELA CABALLERO CHAVEZ,2,,,PAN
2,19,NUEVO LEON,19,SANTA CATARINA,,,,,DIP_LOC_MR,PAN_PRI_PRD,1,MIGUEL ANGEL GARCIA LECHUGA,1,CANDIDATURAS DE PERSONAS JOVENES,,PAN
2,19,NUEVO LEON,20,GARCIA,,,,,DIP_LOC_MR,MORENA,1,GRETA PAMELA BARRA HERNANDEZ,2,CANDIDATURAS DE PERSONAS JOVENES,,MORENA
2,19,NUEVO LEON,21,CIENEGA DE FLORES,,,,,DIP_LOC_MR,MC,1,ARMANDO VICTOR GUTIERREZ CANALES,1,,,MC
2,19,NUEVO LEON,22,JUAREZ,,,,,DIP_LOC_MR,MC,1,MARIO ALBERTO SALINAS TREVIÑO,1,,,MC
2,19,NUEVO LEON,23,JUAREZ,,,,,DIP_LOC_MR,MC,1,ROCIO MAYBE MONTALVO ADAME,2,,,MC
2,19,NUEVO LEON,24,LINARES,,,,,DIP_LOC_MR,PAN_PRI_PRD,1,JAVIER CABALLERO GAONA,1,,,PRI
2,19,NUEVO LEON,25,GRAL. ESCOBEDO,,,,,DIP_LOC_MR,PVEM_MORENA,1,BRENDA VELAZQUEZ VALDEZ,2,,,MORENA
2,19,NUEVO LEON,26,CADEREYTA JIMENEZ,,,,,DIP_LOC_MR,PAN_PRI_PRD,1,AILE TAMEZ DE LA PAZ,2,CANDIDATURAS DE PERSONAS JOVENES,,PAN
2,19,NUEVO LEON,FORMULA PLURINOMINAL,,,,,,DIP_LOC_RP,PT,1,MARIA GUADALUPE RODRIGUEZ MARTINEZ,2,,,PT
2,19,NUEVO LEON,FORMULA PLURINOMINAL,,,,,,DIP_LOC_RP,PVEM,1,CLAUDIA MAYELA CHAPA MARMOLEJO,2,,,PVEM
2,19,NUEVO LEON,FORMULA PLURINOMINAL,,,,,,DIP_LOC_RP,PRI,1,ARMIDA SERRATO FLORES,2,,,PRI
2,19,NUEVO LEON,FORMULA PLURINOMINAL,,,,,,DIP_LOC_RP,PAN,1,IGNACIO CASTELLANOS AMAYA,1,,,PAN
2,19,NUEVO LEON,FORMULA PLURINOMINAL,,,,,,DIP_LOC_RP,MORENA,1,TOMAS ROBERTO MONTOYA DIAZ,1,,,MORENA
2,19,NUEVO LEON,FORMULA PLURINOMINAL,,,,,,DIP_LOC_RP,MC,1,MIGUEL ANGEL FLORES SERNA,1,,,MC
2,19,NUEVO LEON,FORMULA PLURINOMINAL,,,,,,DIP_LOC_RP,PRI,2,HERIBERTO TREVIÑO CANTU,1,,,PRI
2,19,NUEVO LEON,FORMULA PLURINOMINAL,,,,,,DIP_LOC_RP,PAN,2,CECILIA SOFIA ROBLEDO SUAREZ,2,CANDIDATURAS DE PERSONAS JOVENES,,PAN
2,19,NUEVO LEON,FORMULA PLURINOMINAL,,,,,,DIP_LOC_RP,MORENA,2,GRECIA BENAVIDES FLORES,2,,,MORENA
2,19,NUEVO LEON,FORMULA PLURINOMINAL,,,,,,DIP_LOC_RP,MC,2,SANDRA ELIZABETH PAMANES ORTIZ,2,,,MC
2,19,NUEVO LEON,21,CIENEGA DE FLORES,,,,,DIP_LOC_RP,PAN,1,JOSE LUIS SANTOS MARTINEZ,1,,,PAN
2,19,NUEVO LEON,14,GUADALUPE,,,,,DIP_LOC_RP,MORENA,1,ESTHER BERENICE MARTINEZ DIAZ,2,,,MORENA
2,19,NUEVO LEON,19,SANTA CATARINA,,,,,DIP_LOC_RP,MC,1,MARISOL GONZALEZ ELIAS,2,CANDIDATURAS DE PERSONAS JOVENES,,MC
2,19,NUEVO LEON,13,GUADALUPE,,,,,DIP_LOC_RP,MC,1,PAOLA CRISTINA LINARES LOPEZ,2,,,MC
2,19,NUEVO LEON,22,JUAREZ,,,,,DIP_LOC_RP,PRI,1,JOSE MANUEL VALDEZ SALAZAR,1,,,PRI
2,19,NUEVO LEON,22,JUAREZ,,,,,DIP_LOC_RP,MORENA,1,REYNA REYES MOLINA,2,,,MORENA
2,19,NUEVO LEON,,,1,ABASOLO,,,PRES_MUN,MC,1,REYNALDO JAVIER CANTU MONTES,1,,,MC
2,19,NUEVO LEON,,,1,ABASOLO,,,REG_MR,MC,1,NELLY GARZA GUTIERREZ,2,,,MC
2,19,NUEVO LEON,,,1,ABASOLO,,,REG_MR,MC,2,CARLOS ENRIQUE CAVAZOS SANCHEZ,1,CANDIDATURAS DE PERSONAS JOVENES,,MC
2,19,NUEVO LEON,,,1,ABASOLO,,,REG_MR,MC,3,BIANCA ARELI SANCHEZ CARDENAS,2,,,MC
2,19,NUEVO LEON,,,1,ABASOLO,,,REG_MR,MC,4,GILBERTO ESPARZA MARTINEZ,1,,,MC
2,19,NUEVO LEON,,,1,ABASOLO,,,SIND_MR,MC,1,PATRICIA CANTU LOPEZ,2,,,MC
2,19,NUEVO LEON,,,2,AGUALEGUAS,,,PRES_MUN,PAN_PRI_PRD,1,ALDO CASTELLANOS AMAYA,1,,,PAN
2,19,NUEVO LEON,,,2,AGUALEGUAS,,,REG_MR,PAN_PRI_PRD,1,IDALIA CHAPA VELA,2,,,PAN
2,19,NUEVO LEON,,,2,AGUALEGUAS,,,REG_MR,PAN_PRI_PRD,2,CESAR GONZALEZ HERNANDEZ,1,CANDIDATURAS DE PERSONAS JOVENES,,PAN
2,19,NUEVO LEON,,,2,AGUALEGUAS,,,REG_MR,PAN_PRI_PRD,3,NINFA JOHANYSS HILDALGUER TORRES VILLARREAL,2,,,PAN
2,19,NUEVO LEON,,,2,AGUALEGUAS,,,REG_MR,PAN_PRI_PRD,4,DANTE ALEJANDRO RUIZ ,1,CANDIDATURAS DE PERSONAS JOVENES,,PRI
2,19,NUEVO LEON,,,2,AGUALEGUAS,,,SIND_MR,PAN_PRI_PRD,1,PATRICIA NOHEMI GARZA VAZQUEZ,2,,,PAN
2,19,NUEVO LEON,,,3,LOS ALDAMAS,,,PRES_MUN,PAN_PRI_PRD,1,JANETT LEAL LEAL,2,,,PAN
2,19,NUEVO LEON,,,3,LOS ALDAMAS,,,REG_MR,PAN_PRI_PRD,1,EVELIO VERA LOZANO,1,,,PAN
2,19,NUEVO LEON,,,3,LOS ALDAMAS,,,REG_MR,PAN_PRI_PRD,2,MICAELA SANCHEZ CERVANTES,2,,,PAN
2,19,NUEVO LEON,,,3,LOS ALDAMAS,,,REG_MR,PAN_PRI_PRD,3,JOSE MANUEL PEÑA PEÑA,1,,,PRI
2,19,NUEVO LEON,,,3,LOS ALDAMAS,,,REG_MR,PAN_PRI_PRD,4,ALMA ALICIA HINOJOSA PEÑA,2,,,PRD
2,19,NUEVO LEON,,,3,LOS ALDAMAS,,,SIND_MR,PAN_PRI_PRD,1,ARMANDO GARCIA BENITEZ,1,CANDIDATURAS DE PERSONAS JOVENES,,PAN
2,19,NUEVO LEON,,,4,ALLENDE,,,PRES_MUN,PAN,1,EDUARDO LEAL BUENFIL,1,CANDIDATURAS DE PERSONAS JOVENES,,PAN
2,19,NUEVO LEON,,,4,ALLENDE,,,REG_MR,PAN,1,LISSBET NOHEMI RODRIGUEZ RAMOS,2,CANDIDATURAS DE PERSONAS JOVENES,,PAN
2,19,NUEVO LEON,,,4,ALLENDE,,,REG_MR,PAN,2,AARON ALEJANDRO TAMEZ AGUIRRE,1,CANDIDATURAS DE PERSONAS JOVENES,,PAN
2,19,NUEVO LEON,,,4,ALLENDE,,,REG_MR,PAN,3,WENDY CITLALI MARTINEZ MARTINEZ,2,CANDIDATURAS DE PERSONAS JOVENES,,PAN
2,19,NUEVO LEON,,,4,ALLENDE,,,REG_MR,PAN,4,RAUL EDUARDO MONTEMAYOR GONZALEZ,1,CANDIDATURAS DE PERSONAS JOVENES,,PAN
2,19,NUEVO LEON,,,4,ALLENDE,,,REG_MR,PAN,5,SYLVIA YAZMIN FRANCO ALMAGUER,2,,,PAN
2,19,NUEVO LEON,,,4,ALLENDE,,,REG_MR,PAN,6,ADRIAN DEL BOSQUE RAMOS,1,CANDIDATURAS DE PERSONAS JOVENES,,PAN
2,19,NUEVO LEON,,,4,ALLENDE,,,SIND_MR,PAN,1,MELANY ALEJANDRA CANO MARROQUIN,2,CANDIDATURAS DE PERSONAS JOVENES,,PAN
2,19,NUEVO LEON,,,4,ALLENDE,,,SIND_MR,PAN,2,EDGAR CHAVEZ TREVIÑO,1,CANDIDATURAS DE PERSONAS JOVENES,,PAN
2,19,NUEVO LEON,,,5,ANAHUAC,,,PRES_MUN,PAN_PRI_PRD,1,JUAN MANUEL MORTON GONZALEZ,1,,,PRI
