ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,PAN_PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,SONORA,24,IMURIS,8,19,19,460,1479,24,,1335,1291,,,,769,,,,,,,,,,5358,21,160,5539,10476,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_IMURIS.pdf
26,SONORA,48,LA COLORADA,5,6,6,,,,,,899,,,,301,921,,77,,,,,,,2198,0,79,2277,2704,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_LA%20COLORADA.pdf
26,SONORA,25,MAGDALENA,15,44,45,,,,,,134,,,,,7407,,1905,,,3931,,,,13377,0,403,13780,26227,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_MAGDALENA.pdf
26,SONORA,50,MAZATAN,1,3,3,,,,,,365,,,,421,67,,430,,,,,,,1283,0,26,1309,1517,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_MAZATAN.pdf
26,SONORA,26,MOCTEZUMA,4,9,9,,,,,,16,,,,40,1756,,1449,,,,,,,3261,2,60,3323,4671,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_MOCTEZUMA.pdf
26,SONORA,27,NACO,4,10,10,1558,253,5,208,,1302,,,,,,,,,,,,,,3326,5,50,3381,4928,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_NACO.pdf
26,SONORA,28,NACORI CHICO,2,4,4,,,,,,327,,,,1,236,,550,,,,,,,1114,0,27,1141,1483,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_NACORI%20CHICO.pdf
26,SONORA,29,NACOZARI DE GARCIA,10,19,19,,,,,,,,,,,309,,2688,,,,3606,,,6603,2,156,6761,10432,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_NACOZARI%20DE%20GARCIA.pdf
26,SONORA,65,NAVOJOA,78,216,218,,,,,,7516,,,,2347,9762,,44996,,,,,,,64621,33,1810,66464,128238,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_NAVOJOA.pdf
26,SONORA,30,NOGALES,142,353,355,,,,,,9355,,,,2093,14866,,42219,15267,,,,,,83800,44,2163,86007,216091,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_NOGALES.pdf
