CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1181,C,1,0,C01,0,2,12,2,0,0,52,0,0,0,30,2,0,0,0,0,235,0,27,0,0,0,0,362,1,14,377,730,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1181,C,2,0,C02,0,5,16,2,0,0,47,0,0,0,21,3,0,0,0,0,288,0,24,0,0,0,0,406,0,21,427,729,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1182,B,1,0,B,0,1,4,0,0,0,74,0,0,0,57,0,0,0,0,0,192,0,49,0,0,0,0,377,0,20,397,716,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1182,C,1,0,C01,0,1,4,2,0,0,59,0,0,0,67,1,0,0,0,0,187,0,45,0,0,0,0,366,2,21,389,715,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1183,B,1,0,B,0,0,0,0,0,0,51,0,0,0,45,24,0,0,0,0,179,0,36,0,0,0,0,335,0,16,351,625,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1183,C,1,0,C01,0,3,11,1,0,0,54,0,0,0,43,2,0,0,0,0,181,0,40,0,0,0,0,335,0,18,353,625,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1183,C,2,0,C02,0,3,13,1,0,0,47,0,0,0,41,0,0,1,0,0,204,0,24,0,0,0,0,334,0,18,352,625,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1184,B,1,0,B,0,4,14,3,0,0,45,0,0,0,79,2,0,0,0,0,180,0,6,0,0,0,0,333,0,13,346,572,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1184,C,1,0,C01,0,5,9,1,0,0,62,0,0,0,67,0,0,0,0,0,180,0,16,0,0,0,0,340,0,11,351,571,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1184,C,2,0,C02,0,0,11,4,0,0,52,0,0,0,93,0,0,0,0,0,145,0,14,0,0,0,0,319,0,10,329,571,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1184,C,3,0,C03,0,1,11,1,0,0,54,0,0,0,63,0,0,0,0,0,157,0,8,0,0,0,0,295,0,19,314,571,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1185,B,1,0,B,0,0,11,1,0,0,120,0,0,0,8,0,0,0,0,0,102,0,22,0,0,0,0,264,0,7,271,463,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1185,C,1,0,C01,0,1,16,0,0,0,142,0,0,0,3,0,0,0,0,0,105,0,10,0,0,0,0,277,0,0,277,463,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1186,B,1,0,B,0,0,12,2,0,0,57,0,0,0,41,1,0,0,0,0,120,0,12,0,0,0,0,245,0,11,256,523,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1186,C,1,0,C01,0,3,17,0,0,0,61,0,0,0,41,2,0,0,0,0,123,0,4,0,0,0,0,251,0,11,262,523,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1186,C,2,0,C02,0,8,8,1,0,0,52,0,0,0,58,1,0,0,0,0,124,0,8,0,0,0,0,260,0,8,268,522,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1187,B,1,0,B,0,0,0,0,0,0,50,0,0,0,29,15,0,0,0,0,117,0,43,0,0,0,0,254,0,15,269,527,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1187,C,1,0,C01,0,2,5,9,0,0,36,0,0,0,24,0,0,0,0,0,124,0,41,0,0,0,0,241,0,10,251,526,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1187,C,2,0,C02,0,3,16,6,0,0,48,0,0,0,20,0,0,0,0,0,116,0,30,0,0,0,0,239,0,4,243,526,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1188,B,1,0,B,0,2,5,2,0,0,70,0,0,0,21,0,0,0,0,0,110,0,44,0,0,0,0,254,0,12,266,599,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1188,C,1,0,C01,0,1,9,0,0,0,47,0,0,0,25,0,0,0,0,0,122,0,52,0,0,0,0,256,0,14,270,599,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1188,C,2,0,C02,0,2,4,0,0,0,65,0,0,0,13,0,0,0,0,0,130,0,60,0,0,0,0,274,0,17,291,598,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,0,A,27,0,VA27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1270,B,1,0,B,0,6,19,1,0,0,16,0,0,0,2,0,0,0,0,0,188,0,0,0,0,0,0,232,0,10,242,575,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1270,C,1,0,C01,0,13,12,3,0,0,17,0,0,0,5,1,0,0,0,0,206,0,0,0,0,0,0,257,0,8,265,575,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1270,C,2,0,C02,0,9,15,6,0,0,20,0,0,0,4,0,0,0,0,0,197,0,0,0,0,0,0,251,0,11,262,575,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1271,B,1,0,B,0,3,51,4,0,0,14,0,0,0,4,0,0,0,0,0,229,0,0,0,0,0,0,305,0,23,328,636,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1271,C,1,0,C01,0,5,30,1,0,0,19,0,0,0,3,0,0,0,0,0,222,0,0,0,0,0,0,280,0,23,303,635,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1272,B,1,0,B,0,10,21,8,0,0,24,0,0,0,6,0,0,0,0,0,147,0,0,0,0,0,0,216,0,17,233,474,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1273,B,1,0,B,0,11,24,6,0,0,21,0,0,0,9,0,1,0,0,0,209,0,0,0,0,0,0,281,0,10,291,566,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1275,B,1,0,B,0,3,9,5,0,0,6,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,223,0,10,233,414,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1275,C,1,0,C01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1276,B,1,0,B,0,10,25,3,0,0,0,0,0,0,22,0,0,0,0,0,166,0,0,0,0,0,0,226,0,8,234,468,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1276,C,1,0,C01,0,8,27,6,0,0,14,0,0,0,4,1,0,0,0,0,152,0,0,0,0,0,0,212,0,8,220,468,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1277,B,1,0,B,0,7,18,1,0,0,25,0,0,0,8,0,1,0,1,0,209,0,0,0,0,0,0,270,0,8,278,535,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1277,C,1,0,C01,0,4,20,1,0,0,23,0,0,0,10,2,0,0,0,0,202,0,0,0,0,0,0,262,0,7,269,535,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1277,C,2,0,C02,0,4,9,4,0,0,17,0,0,0,5,3,0,1,0,0,185,0,0,0,0,0,0,228,0,14,242,534,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1278,B,1,0,B,0,7,43,7,0,0,29,0,0,0,11,3,0,1,1,0,175,0,0,0,0,0,0,277,0,14,291,643,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1278,C,1,0,C01,0,7,25,3,0,0,29,0,0,0,13,0,0,0,0,0,210,0,0,0,0,0,0,287,0,8,295,643,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1278,C,2,0,C02,0,8,17,7,0,0,29,0,0,0,11,1,0,0,0,0,191,0,0,0,0,0,0,264,0,11,275,642,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1279,B,1,0,B,0,4,9,5,0,0,47,0,0,0,2,0,0,0,0,0,173,0,0,0,0,0,0,240,0,8,248,514,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1279,C,1,0,C01,0,9,12,4,0,0,41,0,0,0,10,0,0,0,0,0,159,0,0,0,0,0,0,235,1,8,244,513,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1279,C,2,0,C02,0,5,14,1,0,0,35,0,0,0,9,3,1,0,0,0,155,0,0,0,0,0,0,223,0,12,235,513,GRUPO DE RECUENTO,,,
